period,period_start,period_end,metric,value,top_x,period_type
2000,2000,2000,n_papers,5,NA,annual
2000,2000,2000,n_authors,21,NA,annual
2000,2000,2000,hhi,1.3200000000000007,NA,annual
2000,2000,2000,top_x_share,0.8,1,annual
2000,2000,2000,top_x_share,0.8,3,annual
2000,2000,2000,top_x_share,1,5,annual
2000,2000,2000,top_x_share,1,10,annual
2001,2001,2001,n_papers,5,NA,annual
2001,2001,2001,n_authors,23,NA,annual
2001,2001,2001,hhi,1.8400000000000007,NA,annual
2001,2001,2001,top_x_share,0.6,1,annual
2001,2001,2001,top_x_share,1,3,annual
2001,2001,2001,top_x_share,1,5,annual
2001,2001,2001,top_x_share,1,10,annual
2002,2002,2002,n_papers,7,NA,annual
2002,2002,2002,n_authors,28,NA,annual
2002,2002,2002,hhi,2.2244897959183656,NA,annual
2002,2002,2002,top_x_share,0.7142857142857143,1,annual
2002,2002,2002,top_x_share,0.7142857142857143,3,annual
2002,2002,2002,top_x_share,0.7142857142857143,5,annual
2002,2002,2002,top_x_share,0.7142857142857143,10,annual
2003,2003,2003,n_papers,11,NA,annual
2003,2003,2003,n_authors,49,NA,annual
2003,2003,2003,hhi,1.5950413223140478,NA,annual
2003,2003,2003,top_x_share,0.6363636363636364,1,annual
2003,2003,2003,top_x_share,0.7272727272727273,3,annual
2003,2003,2003,top_x_share,1,5,annual
2003,2003,2003,top_x_share,1,10,annual
2004,2004,2004,n_papers,13,NA,annual
2004,2004,2004,n_authors,66,NA,annual
2004,2004,2004,hhi,1.1420118343195282,NA,annual
2004,2004,2004,top_x_share,0.6153846153846154,1,annual
2004,2004,2004,top_x_share,0.6153846153846154,3,annual
2004,2004,2004,top_x_share,0.9230769230769231,5,annual
2004,2004,2004,top_x_share,0.9230769230769231,10,annual
2005,2005,2005,n_papers,14,NA,annual
2005,2005,2005,n_authors,57,NA,annual
2005,2005,2005,hhi,1.1836734693877533,NA,annual
2005,2005,2005,top_x_share,0.42857142857142855,1,annual
2005,2005,2005,top_x_share,0.5,3,annual
2005,2005,2005,top_x_share,0.9285714285714286,5,annual
2005,2005,2005,top_x_share,0.9285714285714286,10,annual
2006,2006,2006,n_papers,26,NA,annual
2006,2006,2006,n_authors,75,NA,annual
2006,2006,2006,hhi,0.8535502958579868,NA,annual
2006,2006,2006,top_x_share,0.5,1,annual
2006,2006,2006,top_x_share,0.5769230769230769,3,annual
2006,2006,2006,top_x_share,0.8076923076923077,5,annual
2006,2006,2006,top_x_share,0.8461538461538461,10,annual
2007,2007,2007,n_papers,18,NA,annual
2007,2007,2007,n_authors,72,NA,annual
2007,2007,2007,hhi,1.2530864197530878,NA,annual
2007,2007,2007,top_x_share,0.4444444444444444,1,annual
2007,2007,2007,top_x_share,0.8888888888888888,3,annual
2007,2007,2007,top_x_share,0.8888888888888888,5,annual
2007,2007,2007,top_x_share,1,10,annual
2008,2008,2008,n_papers,24,NA,annual
2008,2008,2008,n_authors,95,NA,annual
2008,2008,2008,hhi,1.2881944444444478,NA,annual
2008,2008,2008,top_x_share,0.5,1,annual
2008,2008,2008,top_x_share,0.8333333333333334,3,annual
2008,2008,2008,top_x_share,0.9166666666666666,5,annual
2008,2008,2008,top_x_share,0.9166666666666666,10,annual
2009,2009,2009,n_papers,27,NA,annual
2009,2009,2009,n_authors,90,NA,annual
2009,2009,2009,hhi,0.6776406035665272,NA,annual
2009,2009,2009,top_x_share,0.3333333333333333,1,annual
2009,2009,2009,top_x_share,0.5555555555555556,3,annual
2009,2009,2009,top_x_share,0.8518518518518519,5,annual
2009,2009,2009,top_x_share,0.9629629629629629,10,annual
2010,2010,2010,n_papers,20,NA,annual
2010,2010,2010,n_authors,72,NA,annual
