author_raw,n_papers,last_name,initials
Bromberger JT,79,Bromberger,JT
Bromberger J,14,Bromberger,J
Brooks MM,36,Brooks,MM
Brooks M,9,Brooks,M
Burnett-Bowie SM,15,Burnett-Bowie,SM
Burnett-Bowie SA,6,Burnett-Bowie,SA
Chang Y,18,Chang,Y
Chang YF,6,Chang,YF
Chen HY,6,Chen,HY
Chen X,6,Chen,X
Chen Y,5,Chen,Y
Colvin A,29,Colvin,A
Colvin AB,9,Colvin,AB
Crawford SL,54,Crawford,SL
Crawford S,37,Crawford,S
Derby CA,41,Derby,CA
Derby C,14,Derby,C
Dugan SA,30,Dugan,SA
Dugan S,5,Dugan,S
Gold EB,103,Gold,EB
Gold E,9,Gold,E
Green R,9,Green,R
Green RR,5,Green,RR
Greendale GA,130,Greendale,GA
Greendale G,9,Greendale,G
Hall MH,22,Hall,MH
Hall M,8,Hall,M
Harlow SD,112,Harlow,SD
Harlow S,17,Harlow,S
Huang MH,26,Huang,MH
Huang M,9,Huang,M
Johnston J,10,Johnston,J
Johnston JM,10,Johnston,JM
Karlamangla AS,51,Karlamangla,AS
Karlamangla A,5,Karlamangla,A
Karvonen-Gutierrez CA,69,Karvonen-Gutierrez,CA
Karvonen-Gutierrez C,39,Karvonen-Gutierrez,C
Lasley B,12,Lasley,B
Lasley BL,7,Lasley,BL
Lee JS,6,Lee,JS
Lee C,5,Lee,C
Li Y,16,Li,Y
Li D,12,Li,D
Matthews KA,138,Matthews,KA
Matthews K,24,Matthews,K
McConnell D,21,McConnell,D
McConnell DS,15,McConnell,DS
Powell LH,44,Powell,LH
Powell L,5,Powell,L
Reeves AN,5,Reeves,AN
Reeves KW,5,Reeves,KW
Ruppert K,29,Ruppert,K
Ruppert KM,5,Ruppert,KM
Sowers M,38,Sowers,M
Sowers MR,32,Sowers,MR
Sowers MF,11,Sowers,MF
Thurston RC,83,Thurston,RC
Thurston R,5,Thurston,R
Wang X,17,Wang,X
Wang D,9,Wang,D
Wang NC,5,Wang,NC
