author_raw,author_id,notes,merged_by,merged_date
Allshouse A,Allshouse AA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Allsworth J,Allsworth JE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Appelhans B,Appelhans BM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Avery E,Avery EF,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Avery EA,Avery EF,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Avis N,Avis NE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Azari R,Azari RA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bair Y,Bair YA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Barinas-Mitchell EJM,Barinas-Mitchell E,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Barinas-Mitchell EJ,Barinas-Mitchell E,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Brockwell SE,Brockwell S,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bromberger J,Bromberger JT,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Brooks M,Brooks MM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Buckwalter G,Buckwalter GJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Burnett-Bowie SA,Burnett-Bowie SM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Cain V,Cain VS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Capra A,Capra AM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Catov J,Catov JM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Cauley J,Cauley JA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chae C,Chae CU,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chang CH,Chang CC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chang YF,Chang Y,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chu JH,Chu J,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Colvin AB,Colvin A,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Crandall C,Crandall CJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Crawford S,Crawford SL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Cyranowski J,Cyranowski JM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Derby C,Derby CA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Dugan S,Dugan SA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Finkelstein J,Finkelstein JS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Ganz P,Ganz PA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Gibson C,Gibson CJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Goldbacher E,Goldbacher EM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Gold E,Gold EB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Greendale G,Greendale GA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Green RR,Green R,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Green RS,Green R,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Hall MJ,Hall MH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Hall M,Hall MH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Harkey M,Harkey MR,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Harlow S,Harlow SD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Harvey DJ,Harvey D,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Hedderson M,Hedderson MM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Hollenberg S,Hollenberg SM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Hood M,Hood MM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Huang H,Huang HH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Huang M,Huang MH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Jackson E,Jackson EA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Jacobson JA,Jacobson J,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Jannausch ML,Jannausch M,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Johannes C,Johannes CB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Johnston J,Johnston JM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
