pmid,title,abstract,pub_year,text,has_abstract
42336651,"Letter: Associations between vasomotor symptoms, sleep disturbances, and frequent mood changes individually and within symptom groups across the menopausal transition and early postmenopause: observations from the Study of Women's Health Across the Nation.",NA,2026,"Letter: Associations between vasomotor symptoms, sleep disturbances, and frequent mood changes individually and within symptom groups across the menopausal transition and early postmenopause: observations from the Study of Women's Health Across the Nation. ",FALSE
42320873,Anti-Mullerian Hormone Rebound and Estradiol Changes in the Study of Women's Health Across the Nation.,"OBJECTIVE: To characterize the prevalence of re-detectable anti-Mullerian hormone (AMH) over the menopause transition and correlation with other ovarian hormones indicating rebound in ovarian function. DESIGN: Multi-site prospective observational cohort study. SUBJECTS: Participants in the Study of Women's Health Across the Nation (SWAN) with an observed final menstrual period and 3 or more AMH measurements with at least one AMH measurement below the lower limit of detection. EXPOSURE: Age at final menstrual period, oligomenorrhea, body mass index, and time to final menstrual period from AMH limit of detection. MAIN OUTCOME MEASURES: The main outcome measures were AMH levels after becoming undetectable and E2 change after undetectable AMH utilizing ultrasensitive assay. Secondary outcomes were FSH and inhibin B hormone levels after AMH limit of detection. RESULTS: Of 1,558 participants with AMH data, 406 met inclusion criteria. Of these, 220 (54.2%) had a subsequently detectable AMH after reaching the lower limit. Of women with AMH rebound, 107 (48.6%) also had a concurrent rise in E2. AMH rebound was associated with younger age at the detectable limit of AMH (AMH+E2 48.5 years [SD 2.7], AMH only 49.9 [2.6], no rebound 51.7 [2.6], p<0.001) lower BMI (AMH+E2 24.5 kg/m2 [IQR 21.6-30.9], AMH only 25.0 [22.4-31.8], no rebound 27.5 [IQR 23.5-34.6], p=0.002) and a lower FSH at the AMH limit of detection (AMH+E2 28.6 mIU/ml [IQR 15.3-57.8], AMH only 29.8 [12.9-64.2], no rebound 62.5 [38.3-95.1], p<0.001). There was no difference in the age at final menstrual period (AMH+E2 52.2 years [SD 2.5], AMH only 52.3 [2.4], no rebound 52.8 [2.6], p=0.076). CONCLUSION: Almost half of the women in the SWAN AMH study demonstrated AMH rebound; in half of these cases AMH rebound was followed by a rise in E2, implying that AMH rebound is reflective of recrudescence of ovarian activity. Younger age at reaching undetectable AMH, lower BMI, and lower FSH levels were associated with this finding. Clinicians should be aware that transient AMH and ovarian hormone levels may vary after becoming undetectable with implications for perimenopausal staging.",2026,"Anti-Mullerian Hormone Rebound and Estradiol Changes in the Study of Women's Health Across the Nation. OBJECTIVE: To characterize the prevalence of re-detectable anti-Mullerian hormone (AMH) over the menopause transition and correlation with other ovarian hormones indicating rebound in ovarian function. DESIGN: Multi-site prospective observational cohort study. SUBJECTS: Participants in the Study of Women's Health Across the Nation (SWAN) with an observed final menstrual period and 3 or more AMH measurements with at least one AMH measurement below the lower limit of detection. EXPOSURE: Age at final menstrual period, oligomenorrhea, body mass index, and time to final menstrual period from AMH limit of detection. MAIN OUTCOME MEASURES: The main outcome measures were AMH levels after becoming undetectable and E2 change after undetectable AMH utilizing ultrasensitive assay. Secondary outcomes were FSH and inhibin B hormone levels after AMH limit of detection. RESULTS: Of 1,558 participants with AMH data, 406 met inclusion criteria. Of these, 220 (54.2%) had a subsequently detectable AMH after reaching the lower limit. Of women with AMH rebound, 107 (48.6%) also had a concurrent rise in E2. AMH rebound was associated with younger age at the detectable limit of AMH (AMH+E2 48.5 years [SD 2.7], AMH only 49.9 [2.6], no rebound 51.7 [2.6], p<0.001) lower BMI (AMH+E2 24.5 kg/m2 [IQR 21.6-30.9], AMH only 25.0 [22.4-31.8], no rebound 27.5 [IQR 23.5-34.6], p=0.002) and a lower FSH at the AMH limit of detection (AMH+E2 28.6 mIU/ml [IQR 15.3-57.8], AMH only 29.8 [12.9-64.2], no rebound 62.5 [38.3-95.1], p<0.001). There was no difference in the age at final menstrual period (AMH+E2 52.2 years [SD 2.5], AMH only 52.3 [2.4], no rebound 52.8 [2.6], p=0.076). CONCLUSION: Almost half of the women in the SWAN AMH study demonstrated AMH rebound; in half of these cases AMH rebound was followed by a rise in E2, implying that AMH rebound is reflective of recrudescence of ovarian activity. Younger age at reaching undetectable AMH, lower BMI, and lower FSH levels were associated with this finding. Clinicians should be aware that transient AMH and ovarian hormone levels may vary after becoming undetectable with implications for perimenopausal staging.",TRUE
42311599,An index of net bone formation relative to resorption is associated with incident fracture during the menopause transition and postmenopause.,"We previously created a bone balance index (BBI) that combines bone resorption and formation markers (CTX and PINP, respectively) to estimate bone balance. The bone balance index quantifies net bone formation relative to resorption; greater values indicate a more favorable balance. This study examined the association of the BBI with incident fracture across the menopause transition and tested each individual bone turnover marker (BTM) (either CTX or PINP) as a separate predictor of fracture. We included 451 participants from the Study of Women's Health Across the Nation (SWAN) cohort study, with 2667 longitudinal observations from pre-, early peri-, late peri-, or post-menopause. Participants did not report fractures or the use of bone-active medications before their BTM assessments. Using repeated measures Cox proportional hazards regression, we examined the associations of the BBI, CTX, or PINP with 2 different fracture outcomes: incident fracture at any site or incident fracture at a major osteoporotic fracture (MOF) site (spine, hip, radius, or humerus). Women were censored at the first use of bone-beneficial medications during follow-up. Covariates were age, BMI, race/ethnicity, family history of hip fracture, cigarette use, diabetes mellitus, bone-detrimental medication use, menopause transition stage, FN BMD, and SWAN study site. The mean age across the BBI, CTX, and PINP assessments was 52 yr. Seventy-eight women sustained an incident fracture over a 15.1 yr of follow-up. Adjusted for covariates, each SD increment in the BBI was associated with a 20% smaller hazard for fracture at any site (hazard ratio [HR] [95% CI]: 0.80 [0.67, 0.97], p = .02) or a 25% lesser hazard for fracture at a MOF site (HR [95% CI]: 0.75 [0.61, 0.85]), p = .01). In contrast, when considered singly in adjusted analyses, neither CTX (p > .2) nor PINP (p > .1) was related to either fracture outcome. We conclude that BBI predicts fracture, independent of clinical and densitometric fracture risk factors.",2026,"An index of net bone formation relative to resorption is associated with incident fracture during the menopause transition and postmenopause. We previously created a bone balance index (BBI) that combines bone resorption and formation markers (CTX and PINP, respectively) to estimate bone balance. The bone balance index quantifies net bone formation relative to resorption; greater values indicate a more favorable balance. This study examined the association of the BBI with incident fracture across the menopause transition and tested each individual bone turnover marker (BTM) (either CTX or PINP) as a separate predictor of fracture. We included 451 participants from the Study of Women's Health Across the Nation (SWAN) cohort study, with 2667 longitudinal observations from pre-, early peri-, late peri-, or post-menopause. Participants did not report fractures or the use of bone-active medications before their BTM assessments. Using repeated measures Cox proportional hazards regression, we examined the associations of the BBI, CTX, or PINP with 2 different fracture outcomes: incident fracture at any site or incident fracture at a major osteoporotic fracture (MOF) site (spine, hip, radius, or humerus). Women were censored at the first use of bone-beneficial medications during follow-up. Covariates were age, BMI, race/ethnicity, family history of hip fracture, cigarette use, diabetes mellitus, bone-detrimental medication use, menopause transition stage, FN BMD, and SWAN study site. The mean age across the BBI, CTX, and PINP assessments was 52 yr. Seventy-eight women sustained an incident fracture over a 15.1 yr of follow-up. Adjusted for covariates, each SD increment in the BBI was associated with a 20% smaller hazard for fracture at any site (hazard ratio [HR] [95% CI]: 0.80 [0.67, 0.97], p = .02) or a 25% lesser hazard for fracture at a MOF site (HR [95% CI]: 0.75 [0.61, 0.85]), p = .01). In contrast, when considered singly in adjusted analyses, neither CTX (p > .2) nor PINP (p > .1) was related to either fracture outcome. We conclude that BBI predicts fracture, independent of clinical and densitometric fracture risk factors.",TRUE
42210082,Cardiovascular disease risk factors in women with O-desmethylangolensin producing and non-producing gut microbial metabotypes: an observational study.,"BACKGROUND: Daidzein, an isoflavone in soy, is metabolized to O-desmethylangolensin (ODMA) by select gut bacteria. Not all individuals have gut microbiomes capable of producing ODMA, resulting in ODMA producer and non-producer metabotypes. A limited body of research suggests that ODMA producers have lower systolic blood pressure, percent body fat and total cholesterol, compared to non-producers. More work is needed to confirm this relationship in other populations. METHODS: Data from the Study of Women's Health Across the Nation (SWAN), a study of women in their middle years, was used. A subset of women who reported consumption of isoflavones in diet or supplements was included for this analysis. Urinary ODMA and daidzein of 148 participants were measured via HPLC-MS-MS to classify metabotypes: ODMA (nmol/L)/daidzein (nmol/L) = 0, non-producers (n = 23); ODMA (nmol/L)/daidzein (nmol/L) > 0 but less than 0.5, low-producers (n = 90); and ODMA (nmol/L)/daidzein (nmol/L) > 0.5, high-producers (n = 35). Multivariable linear regression models were used to compare cardiovascular disease (CVD) risk markers among groups. Models were adjusted for age, race, self-reported health, blood pressure medication, smoking, menopausal status and anthropometry. RESULTS: ODMA non-producers had higher systolic blood pressure (adj. mean difference = 7.6 mmHg, 95% CI: 1.1, 14.1, p = 0.02) compared to high producers. Another trend but not statistically significant difference observed included higher fasting serum glucose (adj. mean difference = 6.1 mg/dl, CI: -0.9, 13.2, p = 0.09) in ODMA non-producers when compared to ODMA producers. CONCLUSIONS: In this diverse sample of U.S. women, this study observed higher blood pressure in ODMA non-producers than ODMA producers. This aligns with prior work associating ODMA producers with a more favorable CVD risk profile compared to non-producers, and provides additional evidence that this gut microbial metabotype may be related to cardiovascular health.",2026,"Cardiovascular disease risk factors in women with O-desmethylangolensin producing and non-producing gut microbial metabotypes: an observational study. BACKGROUND: Daidzein, an isoflavone in soy, is metabolized to O-desmethylangolensin (ODMA) by select gut bacteria. Not all individuals have gut microbiomes capable of producing ODMA, resulting in ODMA producer and non-producer metabotypes. A limited body of research suggests that ODMA producers have lower systolic blood pressure, percent body fat and total cholesterol, compared to non-producers. More work is needed to confirm this relationship in other populations. METHODS: Data from the Study of Women's Health Across the Nation (SWAN), a study of women in their middle years, was used. A subset of women who reported consumption of isoflavones in diet or supplements was included for this analysis. Urinary ODMA and daidzein of 148 participants were measured via HPLC-MS-MS to classify metabotypes: ODMA (nmol/L)/daidzein (nmol/L) = 0, non-producers (n = 23); ODMA (nmol/L)/daidzein (nmol/L) > 0 but less than 0.5, low-producers (n = 90); and ODMA (nmol/L)/daidzein (nmol/L) > 0.5, high-producers (n = 35). Multivariable linear regression models were used to compare cardiovascular disease (CVD) risk markers among groups. Models were adjusted for age, race, self-reported health, blood pressure medication, smoking, menopausal status and anthropometry. RESULTS: ODMA non-producers had higher systolic blood pressure (adj. mean difference = 7.6 mmHg, 95% CI: 1.1, 14.1, p = 0.02) compared to high producers. Another trend but not statistically significant difference observed included higher fasting serum glucose (adj. mean difference = 6.1 mg/dl, CI: -0.9, 13.2, p = 0.09) in ODMA non-producers when compared to ODMA producers. CONCLUSIONS: In this diverse sample of U.S. women, this study observed higher blood pressure in ODMA non-producers than ODMA producers. This aligns with prior work associating ODMA producers with a more favorable CVD risk profile compared to non-producers, and provides additional evidence that this gut microbial metabotype may be related to cardiovascular health.",TRUE
42166190,Joint modeling of multiple longitudinal biomarkers and survival outcomes via threshold regression: variability as a predictor.,"Longitudinal biomarker data and health outcomes are routinely collected in many studies to assess how biomarker trajectories predict health outcomes. Existing methods primarily focus on mean biomarker profiles, treating variability as a nuisance. However, excess variability may indicate system dysregulations that may be associated with poor outcomes. In this paper, we address the long-standing problem of using variability information of multiple longitudinal biomarkers in time-to-event analyses by formulating and studying a Bayesian joint model. We first model multiple longitudinal biomarkers, some of which are subject to limit-of-detection censoring. We then model the survival times by incorporating random effects and variances from the longitudinal component as predictors through threshold regression that admits nonproportional hazards. We demonstrate the operating characteristics of the proposed joint model through simulations and apply it to data from the Study of Women's Health Across the Nation to investigate the impact of the mean and variability of follicle-stimulating hormone and anti-Müllerian hormone on age at the final menstrual period.",2026,"Joint modeling of multiple longitudinal biomarkers and survival outcomes via threshold regression: variability as a predictor. Longitudinal biomarker data and health outcomes are routinely collected in many studies to assess how biomarker trajectories predict health outcomes. Existing methods primarily focus on mean biomarker profiles, treating variability as a nuisance. However, excess variability may indicate system dysregulations that may be associated with poor outcomes. In this paper, we address the long-standing problem of using variability information of multiple longitudinal biomarkers in time-to-event analyses by formulating and studying a Bayesian joint model. We first model multiple longitudinal biomarkers, some of which are subject to limit-of-detection censoring. We then model the survival times by incorporating random effects and variances from the longitudinal component as predictors through threshold regression that admits nonproportional hazards. We demonstrate the operating characteristics of the proposed joint model through simulations and apply it to data from the Study of Women's Health Across the Nation to investigate the impact of the mean and variability of follicle-stimulating hormone and anti-Müllerian hormone on age at the final menstrual period.",TRUE
42154531,Childhood maltreatment and 20-year trajectories of sleep disturbance among midlife women: the Study of Women's Health Across the Nation.,"Childhood maltreatment and adult sleep disturbance are significant, related public health concerns, but the extent to which they are associated over time is unknown. We investigated whether childhood maltreatment is associated with sleep disturbance over 20 years in a large, diverse, community sample of 1654 midlife women from 1996 to 2017 in a multicenter cohort study: The Study of Women's Health Across the Nation. Childhood maltreatment was assessed via The Childhood Trauma Questionnaire, and insomnia symptoms were assessed via self-report at 14 visits. Insomnia symptom trajectories were derived using group-based trajectory modeling. Associations between childhood maltreatment and insomnia trajectories were evaluated via multinomial logistic regression. Four trajectories of insomnia symptoms were identified: consistently low, increasing, moderate/decreasing, and consistently high symptoms. Childhood maltreatment was associated with higher adjusted odds of moderate/decreasing (odds ratio [OR], 1.40; 95% CI, 1.05-1.87) and consistently high (OR, 2.06; 95% CI, 1.56-2.74) insomnia symptoms, respectively. Both physical and sexual abuse were associated with higher adjusted odds of moderate/decreasing and consistently high insomnia symptoms. Childhood maltreatment, particularly physical and sexual abuse, is associated with higher odds of chronic insomnia symptoms in women across midlife. These findings point to an at-risk population that may warrant early intervention to prevent and reduce disturbed sleep.",2026,"Childhood maltreatment and 20-year trajectories of sleep disturbance among midlife women: the Study of Women's Health Across the Nation. Childhood maltreatment and adult sleep disturbance are significant, related public health concerns, but the extent to which they are associated over time is unknown. We investigated whether childhood maltreatment is associated with sleep disturbance over 20 years in a large, diverse, community sample of 1654 midlife women from 1996 to 2017 in a multicenter cohort study: The Study of Women's Health Across the Nation. Childhood maltreatment was assessed via The Childhood Trauma Questionnaire, and insomnia symptoms were assessed via self-report at 14 visits. Insomnia symptom trajectories were derived using group-based trajectory modeling. Associations between childhood maltreatment and insomnia trajectories were evaluated via multinomial logistic regression. Four trajectories of insomnia symptoms were identified: consistently low, increasing, moderate/decreasing, and consistently high symptoms. Childhood maltreatment was associated with higher adjusted odds of moderate/decreasing (odds ratio [OR], 1.40; 95% CI, 1.05-1.87) and consistently high (OR, 2.06; 95% CI, 1.56-2.74) insomnia symptoms, respectively. Both physical and sexual abuse were associated with higher adjusted odds of moderate/decreasing and consistently high insomnia symptoms. Childhood maltreatment, particularly physical and sexual abuse, is associated with higher odds of chronic insomnia symptoms in women across midlife. These findings point to an at-risk population that may warrant early intervention to prevent and reduce disturbed sleep.",TRUE
42147258,"Residential green space, walkability, and cardiometabolic biomarkers in midlife women: a longitudinal cohort study.","Background. Cardiovascular disease remains the leading cause of death among U.S. women. Green spaces and neighborhood features may influence cardiometabolic health by modulating environmental stressors and physical activity. Few longitudinal studies have examined green space, walkability, and cardio-inflammatory biomarkers, particularly in midlife women during the menopausal transition-a period of elevated cardiovascular risk. Methods. We analyzed longitudinal data from the multi-ethnic, multi-site U.S. Study of Women's Health Across the Nation (1999-2017) to examine associations between residential green space, walkability index, and cardio-inflammatory biomarkers across multiple clinical visits. Green space exposure was assessed using the National Land Cover Database (NLCD), with supplemental measures from the Normalized Difference Vegetation Index (NDVI). Exposures, categorized into tertiles, were weighted by 12 month geocoded residential history. Linear mixed-effects models estimated associations with systemic inflammatory, fibrinolytic, and lipid biomarkers, adjusting for socioeconomic, lifestyle, and environmental factors. Interaction analyses tested effect modification, with subgroup effects estimated. Results. Medium residential NLCD greenness in 1000 m buffer was associated with an 11.5% lower (95% Confidence Interval: -18.4, -3.9%) high-sensitivity C-reactive protein (hs-CRP), along with lower fibrinogen and tissue-plasminogen activator antigen levels compared to low greenness tertile, suggesting anti-inflammatory and anticoagulant effects. Higher NDVI greenness showed a similar negative association with hs-CRP (-10.2%, 95% CI: -18.6, -1.1%). Compared to low walkability tertile, medium walkability group was linked to higher low-density lipoprotein and total cholesterol. Effect modification analyses indicating lower hs-CRP, higher high-density lipoprotein (HDL), and lower triglycerides, suggested potential biological interactions between green space and women who transitioned to post-menopausal period. Conclusion. Findings support green space's role in reducing systemic inflammation while highlighting the complex interplay of walkability, air pollution, and urban factors. Greenness and walkability capture distinct built environmental aspects, underscoring the need for green infrastructure to mitigate gentrification, reduce pollution, and support cardiovascular health.",2026,"Residential green space, walkability, and cardiometabolic biomarkers in midlife women: a longitudinal cohort study. Background. Cardiovascular disease remains the leading cause of death among U.S. women. Green spaces and neighborhood features may influence cardiometabolic health by modulating environmental stressors and physical activity. Few longitudinal studies have examined green space, walkability, and cardio-inflammatory biomarkers, particularly in midlife women during the menopausal transition-a period of elevated cardiovascular risk. Methods. We analyzed longitudinal data from the multi-ethnic, multi-site U.S. Study of Women's Health Across the Nation (1999-2017) to examine associations between residential green space, walkability index, and cardio-inflammatory biomarkers across multiple clinical visits. Green space exposure was assessed using the National Land Cover Database (NLCD), with supplemental measures from the Normalized Difference Vegetation Index (NDVI). Exposures, categorized into tertiles, were weighted by 12 month geocoded residential history. Linear mixed-effects models estimated associations with systemic inflammatory, fibrinolytic, and lipid biomarkers, adjusting for socioeconomic, lifestyle, and environmental factors. Interaction analyses tested effect modification, with subgroup effects estimated. Results. Medium residential NLCD greenness in 1000 m buffer was associated with an 11.5% lower (95% Confidence Interval: -18.4, -3.9%) high-sensitivity C-reactive protein (hs-CRP), along with lower fibrinogen and tissue-plasminogen activator antigen levels compared to low greenness tertile, suggesting anti-inflammatory and anticoagulant effects. Higher NDVI greenness showed a similar negative association with hs-CRP (-10.2%, 95% CI: -18.6, -1.1%). Compared to low walkability tertile, medium walkability group was linked to higher low-density lipoprotein and total cholesterol. Effect modification analyses indicating lower hs-CRP, higher high-density lipoprotein (HDL), and lower triglycerides, suggested potential biological interactions between green space and women who transitioned to post-menopausal period. Conclusion. Findings support green space's role in reducing systemic inflammation while highlighting the complex interplay of walkability, air pollution, and urban factors. Greenness and walkability capture distinct built environmental aspects, underscoring the need for green infrastructure to mitigate gentrification, reduce pollution, and support cardiovascular health.",TRUE
42130815,Association between loneliness and social isolation and health outcomes among cancer survivors and non-cancer controls.,"INTRODUCTION: The present analyses take advantage of an existing cohort of cancer survivors (cases) and women without a history of cancer (controls) to examine whether older cancer survivors experience greater loneliness or social isolation than women without a history of cancer and how loneliness and social isolation are related to health outcomes. METHODS: Cross-sectional analyses were conducted from Visit 17 of The Study of Women's Health Across the Nation (SWAN), a multiracial/ethnic cohort study initiated to study the biological and psychosocial changes occurring during the menopausal transition. We identified 276 women who had developed cancer over the 30 years of SWAN (eligible cases) and 1,123 women who never had cancer. Loneliness was measured using the UCLA 3-item loneliness scale. Social isolation was assessed with a modified version of the Social Network Index. Outcomes included health-related quality of life (HRQL) as assessed by the SF-36 (MCS and PCS), depressive symptoms (CES-D), and anxiety. Covariates included sociodemographic, health-related, and psychosocial variables. Associations of case-control status, years since diagnosis in cases, loneliness, and social isolation with MCS and PCS were estimated using analysis of covariance, and with depressive symptoms and high anxiety using logistic regression. Effect modification of loneliness and social isolation by case-control status was assessed by adding relevant interaction terms to models. RESULTS: Case-control status was not significantly related to loneliness or social isolation. Loneliness and social isolation were negatively related to PCS before, but not after covariate adjustment. Corresponding negative associations with MCS remained statistically significant after covariate adjustment. Loneliness and social isolation were positively associated with depressive symptoms. Loneliness, but not social isolation, was positively associated with high anxiety. With the exception of a significantly stronger unadjusted association of PCS with loneliness in controls than in cases, there was no statistically significant effect modification by case-control status before or after covariate adjustment. CONCLUSION: Neither loneliness nor social isolation was related to cancer survivorship status. Although both loneliness and social isolation were related to HRQL and mental health outcomes in a cohort of older women, these associations were similar for cancer survivors and those without a history of cancer.",2026,"Association between loneliness and social isolation and health outcomes among cancer survivors and non-cancer controls. INTRODUCTION: The present analyses take advantage of an existing cohort of cancer survivors (cases) and women without a history of cancer (controls) to examine whether older cancer survivors experience greater loneliness or social isolation than women without a history of cancer and how loneliness and social isolation are related to health outcomes. METHODS: Cross-sectional analyses were conducted from Visit 17 of The Study of Women's Health Across the Nation (SWAN), a multiracial/ethnic cohort study initiated to study the biological and psychosocial changes occurring during the menopausal transition. We identified 276 women who had developed cancer over the 30 years of SWAN (eligible cases) and 1,123 women who never had cancer. Loneliness was measured using the UCLA 3-item loneliness scale. Social isolation was assessed with a modified version of the Social Network Index. Outcomes included health-related quality of life (HRQL) as assessed by the SF-36 (MCS and PCS), depressive symptoms (CES-D), and anxiety. Covariates included sociodemographic, health-related, and psychosocial variables. Associations of case-control status, years since diagnosis in cases, loneliness, and social isolation with MCS and PCS were estimated using analysis of covariance, and with depressive symptoms and high anxiety using logistic regression. Effect modification of loneliness and social isolation by case-control status was assessed by adding relevant interaction terms to models. RESULTS: Case-control status was not significantly related to loneliness or social isolation. Loneliness and social isolation were negatively related to PCS before, but not after covariate adjustment. Corresponding negative associations with MCS remained statistically significant after covariate adjustment. Loneliness and social isolation were positively associated with depressive symptoms. Loneliness, but not social isolation, was positively associated with high anxiety. With the exception of a significantly stronger unadjusted association of PCS with loneliness in controls than in cases, there was no statistically significant effect modification by case-control status before or after covariate adjustment. CONCLUSION: Neither loneliness nor social isolation was related to cancer survivorship status. Although both loneliness and social isolation were related to HRQL and mental health outcomes in a cohort of older women, these associations were similar for cancer survivors and those without a history of cancer.",TRUE
42112893,Dual trajectories of allostatic load and depression among perimenopausal women.,"OBJECTIVE: Research on allostatic load (AL) and depression has been increasing, but has lacked attention on perimenopausal women. This study aimed to explore the dual trajectories of AL and depression in perimenopausal women and identify their common influencing factors. METHOD: Data from seven follow-up sites of the Study of Women's Health Across the Nation (SWAN) were used, and 1185 perimenopausal women aged 42-52 years were eventually included. Trajectories of AL and depression were identified by fitting different group-based trajectory models. A dual trajectory model was used to estimate the probability of the correlation between different level trajectory groups of AL and depression, and multivariate logistic regression was used to estimate the degree of association of demographic characteristics of perimenopausal women with AL and depression. RESULTS: In a dual trajectory model of AL and depression, AL and depression showed an interactive association, with high AL trajectories increasing the likelihood of high depression trajectories (14.65%) and high depression trajectories increasing the likelihood of high AL trajectories (41.2%). After considering demographic characteristics, age, race, income level, social support, hot flashes and night sweats were found to be common influences on AL and depression. CONCLUSION: Interventions should be tailored according to the different trajectory groups of AL and depression, with a focus on high-vulnerability subgroups (high AL without depression, low AL with high depression, high AL with high depression). AL monitoring should also be integrated into perimenopausal depression management. In addition, care should be taken to address the common risk factors behind these trajectories and develop interventions based on relevant determinants.",2026,"Dual trajectories of allostatic load and depression among perimenopausal women. OBJECTIVE: Research on allostatic load (AL) and depression has been increasing, but has lacked attention on perimenopausal women. This study aimed to explore the dual trajectories of AL and depression in perimenopausal women and identify their common influencing factors. METHOD: Data from seven follow-up sites of the Study of Women's Health Across the Nation (SWAN) were used, and 1185 perimenopausal women aged 42-52 years were eventually included. Trajectories of AL and depression were identified by fitting different group-based trajectory models. A dual trajectory model was used to estimate the probability of the correlation between different level trajectory groups of AL and depression, and multivariate logistic regression was used to estimate the degree of association of demographic characteristics of perimenopausal women with AL and depression. RESULTS: In a dual trajectory model of AL and depression, AL and depression showed an interactive association, with high AL trajectories increasing the likelihood of high depression trajectories (14.65%) and high depression trajectories increasing the likelihood of high AL trajectories (41.2%). After considering demographic characteristics, age, race, income level, social support, hot flashes and night sweats were found to be common influences on AL and depression. CONCLUSION: Interventions should be tailored according to the different trajectory groups of AL and depression, with a focus on high-vulnerability subgroups (high AL without depression, low AL with high depression, high AL with high depression). AL monitoring should also be integrated into perimenopausal depression management. In addition, care should be taken to address the common risk factors behind these trajectories and develop interventions based on relevant determinants.",TRUE
42084915,Menopausal symptom network differences between women with and without waist-to-height ratio-defined abdominal obesity.,"OBJECTIVES: To compare the structure of menopausal symptom networks between women with and without abdominal obesity (AO), defined as waist-to-height ratio (WHtR). METHODS: This cross-sectional analysis included 1,150 women from visit 6 of the study of Women's Health Across the Nation (SWAN). AO was defined as a WHtR of ≥ 0.5. We adjusted for demographic and clinical differences by regressing each symptom score on covariates, and subsequently using the residualized symptom scores for network estimation. We used centrality indices and community structure analysis to characterize the networks, and applied the Network Comparison Test (NCT) to evaluate differences in network structure and global strength. RESULTS: Women with AO reported higher prevalence and greater severity of several symptoms. Network density was marginally higher in the AO group (0.59; 46 of 78 edges) than in the non-AO group (0.55; 43 of 78 edges). The NCT revealed significant differences in network structure, whereas global strength remained comparable. Core symptoms differed by AO status: in the AO network, forgetfulness, irritability, and night sweats exhibited the highest centrality, whereas in the non-AO network, night sweats, palpitations, and depression demonstrated the highest centrality. In addition, symptom clusters also differed between the groups. CONCLUSIONS: Women with AO exhibit both a higher prevalence and greater severity of symptoms, as well as a distinct symptom network structure. These findings highlight distinct symptom network profiles in women with AO, which may reflect different patterns of symptom interaction or underlying biological processes that warrant further investigation. Assessment of AO using WHtR may help stratify women who are likely to benefit from targeted, network-based interventions over isolated symptom management.",2026,"Menopausal symptom network differences between women with and without waist-to-height ratio-defined abdominal obesity. OBJECTIVES: To compare the structure of menopausal symptom networks between women with and without abdominal obesity (AO), defined as waist-to-height ratio (WHtR). METHODS: This cross-sectional analysis included 1,150 women from visit 6 of the study of Women's Health Across the Nation (SWAN). AO was defined as a WHtR of ≥ 0.5. We adjusted for demographic and clinical differences by regressing each symptom score on covariates, and subsequently using the residualized symptom scores for network estimation. We used centrality indices and community structure analysis to characterize the networks, and applied the Network Comparison Test (NCT) to evaluate differences in network structure and global strength. RESULTS: Women with AO reported higher prevalence and greater severity of several symptoms. Network density was marginally higher in the AO group (0.59; 46 of 78 edges) than in the non-AO group (0.55; 43 of 78 edges). The NCT revealed significant differences in network structure, whereas global strength remained comparable. Core symptoms differed by AO status: in the AO network, forgetfulness, irritability, and night sweats exhibited the highest centrality, whereas in the non-AO network, night sweats, palpitations, and depression demonstrated the highest centrality. In addition, symptom clusters also differed between the groups. CONCLUSIONS: Women with AO exhibit both a higher prevalence and greater severity of symptoms, as well as a distinct symptom network structure. These findings highlight distinct symptom network profiles in women with AO, which may reflect different patterns of symptom interaction or underlying biological processes that warrant further investigation. Assessment of AO using WHtR may help stratify women who are likely to benefit from targeted, network-based interventions over isolated symptom management.",TRUE
