pmid,source
42336651,esearch
42320873,esearch
42311599,esearch
42210082,esearch
42166190,esearch
42154531,esearch
42147258,esearch
42130815,esearch
42112893,esearch
42084915,esearch
42076794,esearch
42074990,esearch
41967749,esearch
41837362,esearch
41779076,esearch
41763333,esearch
41735798,esearch
41709438,esearch
41569823,esearch
41529146,esearch
41482729,esearch
41415139,esearch
41399290,esearch
41389332,esearch
41354933,esearch
41202392,esearch
41167717,esearch
40994265,esearch
40988242,esearch
40963750,esearch
40961004,esearch
40946752,esearch
40820391,esearch
40757575,esearch
40637738,esearch
40627720,esearch
40520530,esearch
40505800,esearch
40219976,esearch
40189810,esearch
40123296,esearch
40120090,esearch
40067756,esearch
40041303,esearch
40027225,esearch
39955263,esearch
39847409,esearch
39839137,esearch
39815016,esearch
39707890,esearch
39657000,esearch
39630215,esearch
39615013,esearch
39488293,esearch
39437822,esearch
39367567,esearch
39261530,esearch
39257183,esearch
39233250,esearch
39225158,esearch
39078663,esearch
39042583,esearch
38992756,esearch
38946622,esearch
38884052,esearch
40740693,esearch
38809719,esearch
38743910,esearch
38719906,esearch
38696876,esearch
38660427,esearch
38656121,esearch
38625699,esearch
38595299,esearch
38595203,esearch
38551169,esearch
38330428,esearch
38327583,esearch
38320264,esearch
38284249,esearch
38280354,esearch
38271266,esearch
38179184,esearch
38165061,esearch
38126555,esearch
38087944,esearch
38016162,esearch
37949144,esearch
37947109,esearch
37934935,esearch
37894460,esearch
37788422,esearch
37731055,esearch
37686766,esearch
37614302,esearch
37577812,esearch
37558437,esearch
37552133,esearch
37382579,esearch
37314873,esearch
37273115,esearch
37219902,esearch
37141837,esearch
37126345,esearch
37042741,esearch
37008197,esearch
37004857,esearch
36999312,esearch
36846211,esearch
36780235,esearch
36767197,esearch
36752637,esearch
36735600,esearch
36649324,esearch
36568060,esearch
36542065,esearch
36534511,esearch
36517413,esearch
36509657,esearch
36498153,esearch
36463566,esearch
36440508,esearch
36436662,esearch
36342714,esearch
36341787,esearch
36285790,esearch
36278482,esearch
36271444,esearch
36261074,esearch
36260527,esearch
36256923,esearch
36250945,esearch
36084038,esearch
36067386,esearch
36030997,esearch
35993429,esearch
35982358,esearch
35905469,esearch
35804816,esearch
35796553,esearch
35769201,esearch
35768642,esearch
35759720,esearch
35757579,esearch
35751986,esearch
35714876,esearch
35695012,esearch
35675610,esearch
35612528,esearch
35534458,esearch
35508974,esearch
35442810,esearch
35399113,esearch
35373854,esearch
35351687,esearch
35306088,esearch
35298649,esearch
35296109,esearch
35292812,esearch
35274129,esearch
35202625,esearch
35195674,esearch
35191325,esearch
35179313,esearch
35178609,esearch
35138201,esearch
35130984,esearch
35113663,esearch
35083507,esearch
35075498,esearch
35006247,esearch
34942225,esearch
34934892,esearch
34706437,esearch
34698674,esearch
34696650,esearch
34694536,esearch
34647644,esearch
34636354,esearch
34604281,esearch
34537850,esearch
34496108,esearch
34482713,esearch
34469936,esearch
34390340,esearch
34311223,esearch
34216218,esearch
34181018,esearch
34153092,esearch
34148361,esearch
34123715,esearch
34101033,esearch
34090141,esearch
34081126,esearch
34061966,esearch
34039103,esearch
34027342,esearch
34014752,esearch
33986457,esearch
33973662,esearch
33967942,esearch
33906203,esearch
33903908,esearch
33878091,esearch
33869996,esearch
33832644,esearch
33793454,esearch
33787912,esearch
33779242,esearch
33774321,esearch
33722364,esearch
33710770,esearch
33705558,esearch
33651743,esearch
33651741,esearch
33631313,esearch
33570873,esearch
33560407,esearch
33517822,esearch
33503073,esearch
33470142,esearch
33410460,esearch
33350671,esearch
33302752,esearch
33298219,esearch
33284167,esearch
33157106,esearch
33153486,esearch
33094207,esearch
33090934,esearch
33038144,esearch
33034337,esearch
32944260,esearch
32927284,esearch
32918472,esearch
32862481,esearch
32852461,esearch
32796290,esearch
32754846,esearch
32747380,esearch
32747311,esearch
32742664,esearch
32739710,esearch
32730933,esearch
32680819,esearch
32665024,esearch
32627598,esearch
32536251,esearch
32491182,esearch
32435179,esearch
32404792,esearch
32307019,esearch
32232722,esearch
32218936,esearch
32198701,esearch
32105350,esearch
32083676,esearch
32063568,esearch
32063114,esearch
32056759,esearch
31969013,esearch
31965189,esearch
31956850,esearch
31934947,esearch
31841808,esearch
31840764,esearch
31837641,esearch
31830000,esearch
31794501,esearch
31794347,esearch
31732730,esearch
31687759,esearch
31641731,esearch
31633180,esearch
31630038,esearch
31613958,esearch
31584147,esearch
31568098,esearch
31567864,esearch
31549141,esearch
31499375,esearch
31473793,esearch
31447292,esearch
31446211,esearch
31442329,esearch
31412129,esearch
31411130,esearch
31368755,esearch
31299023,esearch
31291324,esearch
31229931,esearch
31129528,esearch
31103473,esearch
31058288,esearch
31044185,esearch
30977813,esearch
30972777,esearch
30937949,esearch
30905255,esearch
30843880,esearch
30841392,esearch
30840919,esearch
30778560,esearch
30730252,esearch
30690517,esearch
30586004,esearch
30482079,esearch
30358720,esearch
30277919,esearch
30247506,esearch
30236459,esearch
30121897,esearch
30085049,esearch
30077316,esearch
30005278,esearch
29973982,esearch
29916947,esearch
29726885,esearch
29704912,esearch
29622056,esearch
29596565,esearch
29333273,esearch
29326841,esearch
29288157,esearch
29229436,esearch
29075805,esearch
29036550,esearch
28987336,esearch
28944165,esearch
28915061,esearch
28787363,esearch
28763399,esearch
28763398,esearch
28753588,esearch
28732305,esearch
28660469,esearch
28489293,esearch
28368525,esearch
28232324,esearch
28137715,esearch
28127441,esearch
28045986,esearch
28041592,esearch
27973745,esearch
27958659,esearch
27938940,esearch
27909203,esearch
27836812,esearch
27835857,esearch
27801705,esearch
27801534,esearch
27633615,esearch
27455356,esearch
27322414,esearch
27749738,esearch
27680016,esearch
27676632,esearch
27669444,esearch
27657693,esearch
27578129,esearch
27445196,esearch
27404767,esearch
27404029,esearch
27336357,esearch
27294327,esearch
27289291,esearch
27251885,esearch
27243136,esearch
27138181,esearch
27135720,esearch
27091639,esearch
27028503,esearch
27023861,esearch
27018722,esearch
26926957,esearch
26905421,esearch
26886885,esearch
26716815,esearch
26670127,esearch
26600256,esearch
26578657,esearch
26523990,esearch
26523609,esearch
26518120,esearch
26449354,esearch
26385249,esearch
26382317,esearch
26302979,esearch
26176800,esearch
26039965,esearch
25932834,esearch
25886828,esearch
25803669,esearch
25714237,esearch
25706182,esearch
25705320,esearch
25686030,esearch
25621768,esearch
25604866,esearch
25577747,esearch
25557490,esearch
25548857,esearch
25528102,esearch
25490602,esearch
25466300,esearch
25427423,esearch
25417760,esearch
25412335,esearch
25353709,esearch
25342861,esearch
25156141,esearch
