period,period_start,period_end,metric,value,top_x,cluster,domain
"Domain 1: breast, women, sister, cancer",NA,NA,n_papers,311,NA,1,"Domain 1: breast, women, sister, cancer"
"Domain 1: breast, women, sister, cancer",NA,NA,n_authors,1246,NA,1,"Domain 1: breast, women, sister, cancer"
"Domain 1: breast, women, sister, cancer",NA,NA,hhi,1.5138180953463944,NA,1,"Domain 1: breast, women, sister, cancer"
"Domain 1: breast, women, sister, cancer",NA,NA,top_x_share,0.9163987138263665,1,1,"Domain 1: breast, women, sister, cancer"
"Domain 1: breast, women, sister, cancer",NA,NA,top_x_share,0.9485530546623794,3,1,"Domain 1: breast, women, sister, cancer"
"Domain 1: breast, women, sister, cancer",NA,NA,top_x_share,0.9678456591639871,5,1,"Domain 1: breast, women, sister, cancer"
"Domain 1: breast, women, sister, cancer",NA,NA,top_x_share,0.9710610932475884,10,1,"Domain 1: breast, women, sister, cancer"
"Domain 2: exposure, patterns, childhood, incident",NA,NA,n_papers,18,NA,2,"Domain 2: exposure, patterns, childhood, incident"
"Domain 2: exposure, patterns, childhood, incident",NA,NA,n_authors,64,NA,2,"Domain 2: exposure, patterns, childhood, incident"
"Domain 2: exposure, patterns, childhood, incident",NA,NA,hhi,1.4382716049382722,NA,2,"Domain 2: exposure, patterns, childhood, incident"
"Domain 2: exposure, patterns, childhood, incident",NA,NA,top_x_share,0.7777777777777778,1,2,"Domain 2: exposure, patterns, childhood, incident"
"Domain 2: exposure, patterns, childhood, incident",NA,NA,top_x_share,0.9444444444444444,3,2,"Domain 2: exposure, patterns, childhood, incident"
"Domain 2: exposure, patterns, childhood, incident",NA,NA,top_x_share,0.9444444444444444,5,2,"Domain 2: exposure, patterns, childhood, incident"
"Domain 2: exposure, patterns, childhood, incident",NA,NA,top_x_share,0.9444444444444444,10,2,"Domain 2: exposure, patterns, childhood, incident"
"Domain 3: age, epigenetic, young, exposures",NA,NA,n_papers,9,NA,3,"Domain 3: age, epigenetic, young, exposures"
"Domain 3: age, epigenetic, young, exposures",NA,NA,n_authors,27,NA,3,"Domain 3: age, epigenetic, young, exposures"
"Domain 3: age, epigenetic, young, exposures",NA,NA,hhi,2.4074074074074083,NA,3,"Domain 3: age, epigenetic, young, exposures"
"Domain 3: age, epigenetic, young, exposures",NA,NA,top_x_share,1,1,3,"Domain 3: age, epigenetic, young, exposures"
"Domain 3: age, epigenetic, young, exposures",NA,NA,top_x_share,1,3,3,"Domain 3: age, epigenetic, young, exposures"
