dataset,metric,value,top_x,year,computed_date
Sister,n_papers,393,NA,NA,2026-07-06
Sister,n_authors,1553,NA,NA,2026-07-06
Sister,hhi,1.4279665132180153,NA,NA,2026-07-06
Sister,top_x_share,0.8880407124681934,1,NA,2026-07-06
Sister,top_x_share,0.9338422391857506,3,NA,2026-07-06
Sister,top_x_share,0.9618320610687023,5,NA,2026-07-06
Sister,top_x_share,0.9720101781170484,10,NA,2026-07-06
Sister,hhi,1.3700000000000003,NA,2011,2026-07-06
Sister,top_x_share,0.6,1,2011,2026-07-06
Sister,top_x_share,0.9,3,2011,2026-07-06
Sister,top_x_share,0.9,5,2011,2026-07-06
Sister,top_x_share,0.9,10,2011,2026-07-06
Sister,hhi,1.7923875432525966,NA,2015,2026-07-06
Sister,top_x_share,1,1,2015,2026-07-06
Sister,top_x_share,1,3,2015,2026-07-06
Sister,top_x_share,1,5,2015,2026-07-06
Sister,top_x_share,1,10,2015,2026-07-06
Sister,hhi,1.9183673469387734,NA,2016,2026-07-06
Sister,top_x_share,0.8571428571428571,1,2016,2026-07-06
Sister,top_x_share,0.9285714285714286,3,2016,2026-07-06
Sister,top_x_share,0.9285714285714286,5,2016,2026-07-06
Sister,top_x_share,0.9285714285714286,10,2016,2026-07-06
Sister,hhi,2.091836734693877,NA,2017,2026-07-06
Sister,top_x_share,0.9642857142857143,1,2017,2026-07-06
Sister,top_x_share,0.9642857142857143,3,2017,2026-07-06
Sister,top_x_share,1,5,2017,2026-07-06
Sister,top_x_share,1,10,2017,2026-07-06
Sister,hhi,1.6540642722117214,NA,2018,2026-07-06
Sister,top_x_share,0.9130434782608695,1,2018,2026-07-06
Sister,top_x_share,0.9130434782608695,3,2018,2026-07-06
Sister,top_x_share,0.9130434782608695,5,2018,2026-07-06
Sister,top_x_share,1,10,2018,2026-07-06
Sister,hhi,2.144557823129251,NA,2019,2026-07-06
Sister,top_x_share,0.9523809523809523,1,2019,2026-07-06
Sister,top_x_share,0.9761904761904762,3,2019,2026-07-06
Sister,top_x_share,0.9761904761904762,5,2019,2026-07-06
Sister,top_x_share,1,10,2019,2026-07-06
Sister,hhi,1.82063711911357,NA,2020,2026-07-06
Sister,top_x_share,0.8157894736842105,1,2020,2026-07-06
Sister,top_x_share,0.8947368421052632,3,2020,2026-07-06
Sister,top_x_share,0.8947368421052632,5,2020,2026-07-06
Sister,top_x_share,0.8947368421052632,10,2020,2026-07-06
Sister,hhi,2.207901234567901,NA,2021,2026-07-06
Sister,top_x_share,0.8666666666666667,1,2021,2026-07-06
Sister,top_x_share,0.8888888888888888,3,2021,2026-07-06
Sister,top_x_share,1,5,2021,2026-07-06
Sister,top_x_share,1,10,2021,2026-07-06
Sister,hhi,2.2851196670135354,NA,2022,2026-07-06
Sister,top_x_share,0.967741935483871,1,2022,2026-07-06
Sister,top_x_share,1,3,2022,2026-07-06
Sister,top_x_share,1,5,2022,2026-07-06
Sister,top_x_share,1,10,2022,2026-07-06
Sister,hhi,1.6255555555555543,NA,2023,2026-07-06
Sister,top_x_share,0.9,1,2023,2026-07-06
Sister,top_x_share,0.9333333333333333,3,2023,2026-07-06
Sister,top_x_share,0.9666666666666667,5,2023,2026-07-06
Sister,top_x_share,0.9666666666666667,10,2023,2026-07-06
Sister,hhi,2.2132943754565386,NA,2024,2026-07-06
Sister,top_x_share,0.9459459459459459,1,2024,2026-07-06
Sister,top_x_share,1,3,2024,2026-07-06
Sister,top_x_share,1,5,2024,2026-07-06
Sister,top_x_share,1,10,2024,2026-07-06
Sister,hhi,2.107180020811656,NA,2025,2026-07-06
Sister,top_x_share,0.8709677419354839,1,2025,2026-07-06
Sister,top_x_share,0.9032258064516129,3,2025,2026-07-06
Sister,top_x_share,0.967741935483871,5,2025,2026-07-06
Sister,top_x_share,1,10,2025,2026-07-06
Sister,hhi,1.9938271604938287,NA,2026,2026-07-06
Sister,top_x_share,0.8333333333333334,1,2026,2026-07-06
Sister,top_x_share,1,3,2026,2026-07-06
Sister,top_x_share,1,5,2026,2026-07-06
Sister,top_x_share,1,10,2026,2026-07-06
