author_raw,author_id,notes,merged_by,merged_date
Ahearn T,Ahearn TU,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Ambrosone C,Ambrosone CB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Auer P,Auer PL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Auer PW,Auer PL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Barnes D,Barnes DR,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bertrand K,Bertrand KA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Blot WJ,Blot W,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Boddicker N,Boddicker NJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Brantley KD,Brantley K,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Brennan P,Brennan PJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Buring J,Buring JE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Butler L,Butler LM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Campbell I,Campbell IG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Cawthon R,Cawthon RM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chang CM,Chang CJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chen JC,Chen J,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chen S,Chen SS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chen YA,Chen Y,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Choi J,Choi JY,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Coetzee S,Coetzee SG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Cook L,Cook LS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Cunningham J,Cunningham JM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
D'Aloisio A,D'Aloisio AA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
DeRoo L,DeRoo LA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Deming-Halverson S,Deming-Halverson SL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Easton D,Easton DF,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Eberle C,Eberle CE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Eccles D,Eccles DM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Evans DG,Evans DGR,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Falusi A,Falusi AG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Finucane HK,Finucane H,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Fortner R,Fortner RT,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Freedman M,Freedman ML,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Gaston S,Gaston SA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Gaudet M,Gaudet MM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Gayther S,Gayther SA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Gierach G,Gierach GL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Giles G,Giles GG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Gnanaolivu R,Gnanaolivu RD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Goldberg MS,Goldberg M,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Haiman C,Haiman CA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Hazelett D,Hazelett DJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Hennis A,Hennis AJM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Hodge J,Hodge JM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
House M,House MG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Huang Y,Huang YH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Hunter D,Hunter DJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Ish J,Ish JL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Jones MR,Jones ME,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
