pmid,title,pub_year,cluster,domain,has_abstract
sister_1,History of cannabis smoking and subjective cognitive complaints in older women,2026,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_2,"Tobacco-related urinary biomarkers and lung cancer risk in women, a case-cohort analysis",2026,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_3,Multi-ancestry transcriptome-wide association studies uncover insights into breast cancer genetics and biology,2026,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_4,Thyroid disease and breast cancer risk in the Sister Study,2026,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_5,Use of hair straighteners and chemical relaxers and incidence of non-reproductive cancers,2026,8,"Domain 8: cancers, consumption, incidence, use",FALSE
sister_6,Large-scale meta-analysis and precision functional assays identify FANCM regions in which PTVs confer different risks for ER-negative and triple-negative breast cancer,2026,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_7,Association between noise pollution exposure and incident breast cancer in the Sister Study,2026,2,"Domain 2: exposure, patterns, childhood, incident",FALSE
sister_8,Pubertal timing and incident uterine cancer in the Sister Study cohort,2026,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_9,Longer-term aspirin use and subsequent ovarian cancer risk in the Ovarian Cancer Cohort Consortium,2026,5,"Domain 5: ovarian, consortium, genetic, use",FALSE
sister_10,Accuracy of LexisNexis-derived retrospective address histories in the Sister Study cohort,2026,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_11,Environmental factors influencing hormone receptor positive breast cancer incidence: integrating chemical signatures from dust wipes with self-reported sources of exposure,2026,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_12,Neighborhood Disadvantage and Breast Cancer among Women Living in the United States,2026,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_13,Improved polygenic risk prediction models for breast cancer subtypes in women of African ancestry,2026,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_14,Occupational exposures among hairdressers and the occurrence of hormone-related conditions,2026,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_15,Weight Cycling and Cancer Risk in the Sister Study,2026,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_16,Childhood and Adolescent Factors and Thyroid Cancer Incidence in Adult Women in the Sister Study Cohort,2026,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_17,Residential proximity to Superfund sites and breast cancer incidence in a nationwide cohort,2026,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_18,Early life trauma patterns and adult epigenome-wide and NR3C1-specific DNA methylation in the Sister Study,2026,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_19,Association of gene variant type and location with breast cancer risk in the general population,2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_20,Diet and risk for incident diverticulitis in women: a prospective cohort study,2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_21,"Genome-wide association study of 398,238 women unveils seven loci associated with high-grade serous ovarian cancer",2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_22,Blood-based epigenome-wide association study and prediction of alcohol consumption,2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_23,Development and validation of a risk prediction model for premenopausal breast cancer in 19 cohorts,2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_24,Novel and legacy per- and polyfluoroalkyl substances in humans: Long-term temporal variability and metabolic perturbations,2025,7,"Domain 7: length, telomere, term, long",FALSE
sister_25,Sedentary time and breast cancer risk in the Sister Study Cohort,2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_26,"Agreement between self-reported and measured weight, height, and derived BMI by educational attainment across racial and ethnic groups of US women",2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_27,Greenspace proximity in relation to sleep health among a racially and ethnically diverse cohort of US women,2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_28,Pathogenic variants in cancer susceptibility genes predispose to ductal carcinoma in situ of the breast,2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_29,Functional evaluation and clinical classification of BRCA2 variants,2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_30,Industrial air emissions and breast cancer incidence in a United States-wide prospective cohort,2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_31,Air pollution and breast cancer incidence in a United States-wide prospective cohort study: Examining sensitive periods of exposure,2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_32,Refining breast cancer genetic risk and biology through multi-ancestry fine-mapping analyses of 192 risk regions,2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_33,Integrating multi-ancestry genomic and proteomic data to identify blood risk biomarkers and target proteins for breast cancer genetic risk loci,2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_34,DNA methylation-predicted plasma protein levels and breast cancer risk,2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_35,Pubertal timing and incident ovarian cancer in the Sister Study cohort,2025,5,"Domain 5: ovarian, consortium, genetic, use",FALSE
sister_36,Personal care product use and risk of adult-onset asthma: Prospective cohort analyses of U,2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_37,Association of early-life trauma with gestational diabetes and hypertensive disorders of pregnancy,2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_38,"Sleep health by sexual orientation among women in the United States and interrelations with race/ethnicity, age, and generational cohort",2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_39,"The African-Specific Variant in the Duffy Antigen Receptor for Chemokines Gene, CD8+ T-Cell Density, and Aggressive Breast Cancer Subtypes in Black Women",2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_40,Hormone therapy use and young-onset breast cancer: a pooled analysis of prospective cohorts included in the Premenopausal Breast Cancer Collaborative Group,2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_41,"Pathogenic variants, family history, and cumulative risk of breast cancer in US women",2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_42,Hair straightener use in relation to prevalent and incident fibroids in the Sister Study with a focus on Black women,2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_43,"Central and peripheral adiposity and premenopausal breast cancer risk: a pooled analysis of 440,179 women",2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_44,The independent and joint associations of hysterectomy and uterine fibroids or endometriosis with ovarian cancer incidence: results from a US-based cohort,2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_45,In-utero and newborn factors and thyroid cancer incidence in adult women in the Sister Study cohort,2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_46,Association between body iron status and biological aging,2025,6,"Domain 6: status, prediction, history, women",FALSE
sister_47,Risk of major gynecologic surgery before age 40 among daughters of young mothers,2025,3,"Domain 3: age, epigenetic, young, exposures",FALSE
sister_48,Air pollutants and breast cancer risk: a parallel analysis of five large US prospective cohorts,2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_49,Airborne phthalate exposures and hypertension in the Sister Study,2025,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_50,Outdoor air pollution exposure and uterine cancer incidence in the Sister Study,2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_51,Air pollutants and risk of Parkinson's disease among women in the Sister Study,2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_52,Use of nonsteroidal anti-inflammatory drugs and poor olfaction in women,2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_53,Use of personal care product mixtures and incident hormone-sensitive cancers in the Sister Study: A U,2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_54,Associations between use of chemical hair products and epigenetic age: Findings from the Sister Study,2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_55,Childhood and adolescent residential and farm pesticide exposures and inflammatory bowel disease incidence in a U,2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_56,Multiple forms of perceived job discrimination and hypertension risk among employed women: Findings from the Sister Study,2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_57,Association between healthy dietary patterns and markers of oxidative stress in the Sister Study,2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_58,Residential proximity to toxic metal-emitting industrial sites and toenail metal concentrations in a United States-wide prospective cohort,2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_59,Integrative multi-omics analyses to identify the genetic and functional mechanisms underlying ovarian cancer risk regions,2024,5,"Domain 5: ovarian, consortium, genetic, use",FALSE
sister_60,Trans-ancestry epigenome-wide association meta-analysis of DNA methylation with lifetime cannabis use,2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_61,"Personal care product use during puberty and incident breast cancer among Black, Hispanic/Latina, and White women in a prospective US-wide cohort",2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_62,Association of tea and coffee consumption and biliary tract cancer risk: The Biliary Tract Cancers Pooling Project,2024,8,"Domain 8: cancers, consumption, incidence, use",FALSE
sister_63,Outdoor air pollution exposure and ovarian cancer incidence in a United States-wide prospective cohort study,2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_64,Genome-wide association analyses of breast cancer in women of African ancestry identify new susceptibility loci and improve risk prediction,2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_65,"Vitamin D status and supplementation, calcium supplementation, and timing of natural menopause",2024,6,"Domain 6: status, prediction, history, women",FALSE
sister_66,"Development of a breast cancer risk prediction model integrating monogenic, polygenic, and epidemiologic risk",2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_67,Understanding the genetic complexity of puberty timing across the allele frequency spectrum,2024,5,"Domain 5: ovarian, consortium, genetic, use",FALSE
sister_68,Circulating leukocyte subsets before and after a breast cancer diagnosis and therapy,2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_69,Associations of pre-diagnosis physical activity with treatment tolerance and treatment efficacy in breast cancer patients with neoadjuvant chemotherapy,2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_70,Intimate care products and incidence of hormone-related cancers: A quantitative bias analysis,2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_71,Novel breast cancer susceptibility loci under linkage peaks identified in African ancestry consortia,2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_72,Association of hormonal and reproductive factors with differentiated thyroid cancer risk in women: a pooled prospective cohort analysis,2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_73,Using genome and transcriptome data from African-ancestry female participants to identify putative breast cancer susceptibility genes,2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_74,Neighborhood greenness and participation in specific types of recreational physical activities in the Sister Study,2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_75,Pooling biospecimens for efficient exposure assessment when using case-cohort analysis in cohort studies,2024,4,"Domain 4: case, studies, gene, variants",FALSE
sister_76,Case-case genome-wide analyses identify subtype-informative variants that confer risk for breast cancer,2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_77,Exposure to indoor light at night in relation to multiple dimensions of sleep health: Findings from the Sister Study,2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_78,"Longitudinal history of mammographic breast density and breast cancer risk by familial risk, menopausal status, and initial mammographic density level in a high risk cohort: a nested case-control study",2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_79,International pooled analysis of leisure-time physical activity and premenopausal breast cancer in women from 19 cohorts,2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_80,BMI and breast cancer risk around age at menopause,2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_81,Toenail and serum levels as biomarkers of iron status in pre- and postmenopausal women: correlations and stability over eight-year follow-up,2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_82,"Association between two common SNPs, rs6564851 and rs6420424, and lutein and zeaxanthin levels in a cohort of US postmenopausal women with a family history of breast cancer",2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_83,Associations between serum iron biomarkers and breast cancer tumor size,2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_84,Seasonal patterns in trace elements assessed in toenails,2024,2,"Domain 2: exposure, patterns, childhood, incident",FALSE
sister_85,Polygenic score distribution differences across European ancestry populations: implications for breast cancer risk prediction,2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_86,"Association of fibroids, endometriosis, and gynecologic surgeries with breast cancer incidence and hormone receptor subtypes",2024,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_87,In utero exposure to diethylstilbestrol and blood DNA methylation in adult women: Results from a meta-analysis of two cohort studies,2023,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_88,Polygenic risk score for Parkinson's disease and olfaction among middle-aged to older women,2023,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_89,Parkinson's disease case ascertainment in the Sister Study: A cohort for environmental health research,2023,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_90,Ambient air pollutants and olfaction among women 50-79 years of age from the Sister Study,2023,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_91,NA,2023,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_92,"Dietary patterns, socioeconomic disparities, and risk of type 2 diabetes in the Sister Study",2023,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_93,Racial and ethnic discrimination and hypertension by educational attainment among a cohort of US women,2023,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_94,Racial/Ethnic differences in associations between traumatic childhood experiences and both metabolic syndrome prevalence and type 2 diabetes mellitus risk among a cohort of US women,2023,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_95,Air pollution and epigenetic aging among Black and White women in the US,2023,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_96,Changes in methylation-based aging in women who do and do not develop breast cancer,2023,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_97,Methylation-based biological age and hypertension prevalence and incidence,2023,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_98,Peripheral immune cell composition is altered in women before and after a hypertension diagnosis,2023,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_99,Evaluation of European-based polygenic risk score for breast cancer in Ashkenazi Jewish women in Israel,2023,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_100,"Hysterectomy, bilateral oophorectomy, and breast cancer risk in a racially diverse prospective cohort study",2023,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_101,Indoor wood-burning from stoves and fireplaces and incident lung cancer among Sister Study participants,2023,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_102,A genome-wide gene-environment interaction study of breast cancer risk for women of European ancestry,2023,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_103,Aggregation tests identify new gene associations with breast cancer in populations with diverse ancestry,2023,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_104,"Hypertensive conditions of pregnancy, preterm birth, and premenopausal breast cancer risk: a premenopausal breast cancer collaborative group analysis",2023,1,"Domain 1: breast, women, sister, cancer",FALSE
sister_105,Douching and genital talc use: Patterns of use and reliability of self-reported exposure,2023,2,"Domain 2: exposure, patterns, childhood, incident",FALSE
