author_part,title,pub_year,n_authors,raw_citation,paper_id
"Ding G, Bohnert KM, Li C, Plassman BL, Liang X, Yuan Y, D'Aloisio AA, White AJ, Sandler DP, Chen H",History of cannabis smoking and subjective cognitive complaints in older women,2026,10,"Ding G, Bohnert KM, Li C, Plassman BL, Liang X, Yuan Y, D'Aloisio AA, White AJ, Sandler DP, Chen H. History of cannabis smoking and subjective cognitive complaints in older women . Neuroepidemiology. Epub 2026 Jan 8.",sister_1
"Nalini M, O'Brien KM, Calafat AM, Wang L, Feng J, Reese CM, Xia B, Botelho JC, Wang Y, Seyler T, Roh EJ, Tashakkori NA, Blakney A, Xu K, Gail MH, Blount BC, Chang CM, Abnet CC, Sandler DP, Freedman ND, Etemadi A","Tobacco-related urinary biomarkers and lung cancer risk in women, a case-cohort analysis",2026,21,"Nalini M, O'Brien KM, Calafat AM, Wang L, Feng J, Reese CM, Xia B, Botelho JC, Wang Y, Seyler T, Roh EJ, Tashakkori NA, Blakney A, Xu K, Gail MH, Blount BC, Chang CM, Abnet CC, Sandler DP, Freedman ND, Etemadi A. Tobacco-related urinary biomarkers and lung cancer risk in women, a case-cohort analysis . Journal of the National Cancer Institute. Epub 2026 Mar 18. (Free full text not yet available.)",sister_2
"Ping J, Jia G, Cai Q, Guo X, Wang J, Tao R, Li B, Bauer JA, Xie Y, …, Sandler DP, …, O'Brien KM, …, Weinberg CR, …, Ambrosone CB, Cote ML, Huo D, Haiman CA, Kang D, Palmer JR, Troester MA, Shu XO, Long J, Zheng W",Multi-ancestry transcriptome-wide association studies uncover insights into breast cancer genetics and biology,2026,22,"Ping J, Jia G, Cai Q, Guo X, Wang J, Tao R, Li B, Bauer JA, Xie Y, …, Sandler DP, …, O'Brien KM, …, Weinberg CR, …, Ambrosone CB, Cote ML, Huo D, Haiman CA, Kang D, Palmer JR, Troester MA, Shu XO, Long J, Zheng W. Multi-ancestry transcriptome-wide association studies uncover insights into breast cancer genetics and biology . Nature Communications. Epub 2026 May 30. (Free full text not yet available.)",sister_3
"Woo JMP, Chen D, Yarosh R, O'Brien KM, Sandler DP",Thyroid disease and breast cancer risk in the Sister Study,2026,5,"Woo JMP, Chen D, Yarosh R, O'Brien KM, Sandler DP. Thyroid disease and breast cancer risk in the Sister Study . Cancer Epidemiology, Biomarkers & Prevention. Epub 2026 May 26.",sister_4
"Bailey JT, Chang CJ, Gaston SA, Jackson CL, Sandler DP, O'Brien KM, White AJ",Use of hair straighteners and chemical relaxers and incidence of non-reproductive cancers,2026,7,"Bailey JT, Chang CJ, Gaston SA, Jackson CL, Sandler DP, O'Brien KM, White AJ. Use of hair straighteners and chemical relaxers and incidence of non-reproductive cancers . Journal of the National Cancer Institute. 2026 Jan 1;118(1):94-101. Epub 2025 Sep 30.",sister_5
"Billaud A, Figlioli G, Mooser C, Casamassima I, Azzoni V, Srivatsa J, Colombo M, Caleca L, …, O'Brien KM, …, Sandler DP, …, Weinberg CR, …, de la Hoya M, Radice P, Sørensen CS, Peterlongo P",Large-scale meta-analysis and precision functional assays identify FANCM regions in which PTVs confer different risks for ER-negative and triple-negative breast cancer,2026,15,"Billaud A, Figlioli G, Mooser C, Casamassima I, Azzoni V, Srivatsa J, Colombo M, Caleca L, …, O'Brien KM, …, Sandler DP, …, Weinberg CR, …, de la Hoya M, Radice P, Sørensen CS, Peterlongo P. Large-scale meta-analysis and precision functional assays identify FANCM regions in which PTVs confer different risks for ER-negative and triple-negative breast cancer . Breast. 2026 Feb;85:104619. Epub 2025 Oct 30.",sister_6
"Gedeon BA, Chang CJ, James P, Jones RR, White AJ",Association between noise pollution exposure and incident breast cancer in the Sister Study,2026,5,"Gedeon BA, Chang CJ, James P, Jones RR, White AJ. Association between noise pollution exposure and incident breast cancer in the Sister Study . Environmental Research. 2026 Mar 1;292:123686. Epub 2026 Jan 6.",sister_7
"Harrell AN, O'Brien KM, Shaw ND, Sandler DP, Goldberg M",Pubertal timing and incident uterine cancer in the Sister Study cohort,2026,5,"Harrell AN, O'Brien KM, Shaw ND, Sandler DP, Goldberg M. Pubertal timing and incident uterine cancer in the Sister Study cohort . International Journal of Cancer. 2026 Jun 1;158(11):2841-52. Epub 2025 Dec 24.",sister_8
"Hurwitz LM, O'Brien KM, Townsend MK, Reid BM, Fridley BL, Fan W, Schabath MB, Bodelon C, Chan AT, Fortner RT, Håkansson N, Harris HR, Lacey JV Jr, Liao LM, Merritt MA, Patel AV, Poynter JN, Robien K, Sandler DP, Wentzensen N, Wolk A, Zheng W, Tworoger SS, Trabert B",Longer-term aspirin use and subsequent ovarian cancer risk in the Ovarian Cancer Cohort Consortium,2026,23,"Hurwitz LM, O'Brien KM, Townsend MK, Reid BM, Fridley BL, Fan W, Schabath MB, Bodelon C, Chan AT, Fortner RT, Håkansson N, Harris HR, Lacey JV Jr, Liao LM, Merritt MA, Patel AV, Poynter JN, Robien K, Sandler DP, Wentzensen N, Wolk A, Zheng W, Tworoger SS, Trabert B. Longer-term aspirin use and subsequent ovarian cancer risk in the Ovarian Cancer Cohort Consortium . International Journal of Epidemiology. 2026 Apr;55(2):dyag019.",sister_9
"Ish JL, Daniel M, Ringwald P, Niehoff NM, Jones RR, White AJ",Accuracy of LexisNexis-derived retrospective address histories in the Sister Study cohort,2026,6,"Ish JL, Daniel M, Ringwald P, Niehoff NM, Jones RR, White AJ. Accuracy of LexisNexis-derived retrospective address histories in the Sister Study cohort . Journal of Exposure Science and Environmental Epidemiology. 2026 Mar;36(2):244-50. Epub 2025 Aug 25.",sister_10
