author_id,n_papers,paper_share
Howard BV,218,0.5876010781671159
Lee ET,172,0.4636118598382749
Devereux RB,134,0.3611859838274933
Best LG,108,0.29110512129380056
Umans JG,102,0.2749326145552561
Welty TK,86,0.23180592991913745
Fabsitz RR,83,0.22371967654986524
Navas-Acien A,79,0.21293800539083557
Roman MJ,74,0.19946091644204852
Cole SA,66,0.1778975741239892
Zhang Y,65,0.1752021563342318
Goessler W,44,0.11859838274932614
Buchwald D,42,0.11320754716981132
Suchy-Dicey AM,41,0.1105121293800539
de Simone G,37,0.09973045822102426
Tellez-Plaza M,35,0.09433962264150944
Yeh J,34,0.09164420485175202
Fretts AM,33,0.0889487870619946
Robbins DC,32,0.0862533692722372
Francesconi KA,31,0.08355795148247978
Wang W,30,0.08086253369272237
Domingo-Relloso A,29,0.07816711590296496
Haack K,28,0.07547169811320754
Cowan LD,26,0.07008086253369272
Resnick HE,24,0.0646900269541779
Yeh F,22,0.05929919137466307
Galloway JM,20,0.05390835579514825
Guallar E,20,0.05390835579514825
Longstreth WT,20,0.05390835579514825
Palmieri V,20,0.05390835579514825
Ali T,18,0.04851752021563342
Bella JN,18,0.04851752021563342
Liu JE,18,0.04851752021563342
Verney SP,18,0.04851752021563342
Zhao J,17,0.04582210242587601
Franceschini N,16,0.0431266846361186
North KE,16,0.0431266846361186
Okin PM,16,0.0431266846361186
Rhoades DA,16,0.0431266846361186
Chinali M,15,0.04043126684636118
Go O,15,0.04043126684636118
Shara NM,15,0.04043126684636118
Kizer JR,14,0.03773584905660377
Reese JA,14,0.03773584905660377
Strong Heart Study,14,0.03773584905660377
Grau-Perez M,13,0.03504043126684636
Rhoades ER,13,0.03504043126684636
Calhoun D,12,0.03234501347708895
Fallin MD,12,0.03234501347708895
O'Leary M,12,0.03234501347708895
Shibata D,12,0.03234501347708895
Xu J,12,0.03234501347708895
Gribble MO,11,0.029649595687331536
MacCluer JW,11,0.029649595687331536
Nelson L,11,0.029649595687331536
Paranicas M,11,0.029649595687331536
Silbergeld EK,11,0.029649595687331536
Wang H,11,0.029649595687331536
Henderson JA,10,0.026954177897574125
Kupsco A,10,0.026954177897574125
Nigra AE,10,0.026954177897574125
Sanchez TR,10,0.026954177897574125
Grabowski TJ,9,0.02425876010781671
Jablonski KA,9,0.02425876010781671
Noonan C,9,0.02425876010781671
Rhoads K,9,0.02425876010781671
Malloy KM,8,0.0215633423180593
Baccarelli AA,7,0.018867924528301886
Eilat-Adar S,7,0.018867924528301886
Fiehn O,7,0.018867924528301886
Herreros-Martinez M,7,0.018867924528301886
Howard WJ,7,0.018867924528301886
Laston S,7,0.018867924528301886
Muller C,7,0.018867924528301886
O'Grady MJ,7,0.018867924528301886
Oopik AJ,7,0.018867924528301886
Riffo-Campos AL,7,0.018867924528301886
Russell M,7,0.018867924528301886
Deen JF,6,0.016172506738544475
Glabonjat RA,6,0.016172506738544475
Gray RS,6,0.016172506738544475
Hu D,6,0.016172506738544475
Jones KL,6,0.016172506738544475
Lieberman-Cribbin W,6,0.016172506738544475
Lu W,6,0.016172506738544475
Miao G,6,0.016172506738544475
Montine TJ,6,0.016172506738544475
Moon KA,6,0.016172506738544475
Powers M,6,0.016172506738544475
Savage PJ,6,0.016172506738544475
Schilling K,6,0.016172506738544475
Siscovick DS,6,0.016172506738544475
Tang WY,6,0.016172506738544475
Tracy RP,6,0.016172506738544475
Wu H,6,0.016172506738544475
Zhu J,6,0.016172506738544475
Almasy L,5,0.013477088948787063
Barac A,5,0.013477088948787063
Bozack AK,5,0.013477088948787063
Carter EA,5,0.013477088948787063
French BF,5,0.013477088948787063
Galvez-Fernandez M,5,0.013477088948787063
Jain AK,5,0.013477088948787063
Jolly S,5,0.013477088948787063
Levy D,5,0.013477088948787063
Lindsay RS,5,0.013477088948787063
Madhyastha TM,5,0.013477088948787063
Mancusi C,5,0.013477088948787063
Mete M,5,0.013477088948787063
Oziel K,5,0.013477088948787063
Panza JA,5,0.013477088948787063
Pichler G,5,0.013477088948787063
Pollak J,5,0.013477088948787063
Voruganti VS,5,0.013477088948787063
Barbosa-Leiker C,4,0.01078167115902965
Brown RH,4,0.01078167115902965
Cholerton B,4,0.01078167115902965
Crainiceanu CM,4,0.01078167115902965
De Marco M,4,0.01078167115902965
Eichner JE,4,0.01078167115902965
Izzo R,4,0.01078167115902965
Jensen PN,4,0.01078167115902965
Kuo CC,4,0.01078167115902965
Leonardson GR,4,0.01078167115902965
Loria C,4,0.01078167115902965
Maccluer JW,4,0.01078167115902965
Manson SM,4,0.01078167115902965
Martinez-Morata I,4,0.01078167115902965
Rodeheffer RJ,4,0.01078167115902965
Shimbo D,4,0.01078167115902965
Sitlani CM,4,0.01078167115902965
Stoner JA,4,0.01078167115902965
Subedi P,4,0.01078167115902965
Sun Q,4,0.01078167115902965
Vo TT,4,0.01078167115902965
Wiebers DO,4,0.01078167115902965
Zephier EM,4,0.01078167115902965
An Q,3,0.008086253369272238
Balakrishnan P,3,0.008086253369272238
Beals J,3,0.008086253369272238
Belsky DW,3,0.008086253369272238
Burduli E,3,0.008086253369272238
Carty CL,3,0.008086253369272238
Celentano A,3,0.008086253369272238
Davidson M,3,0.008086253369272238
Daviglus ML,3,0.008086253369272238
Diego VP,3,0.008086253369272238
Dixon AE,3,0.008086253369272238
Farley J,3,0.008086253369272238
García-Esquinas E,3,0.008086253369272238
George CM,3,0.008086253369272238
Goldbourt U,3,0.008086253369272238
Haring B,3,0.008086253369272238
Ilercil A,3,0.008086253369272238
Jackson G,3,0.008086253369272238
Jarrett JM,3,0.008086253369272238
Joehanes R,3,0.008086253369272238
Jones MR,3,0.008086253369272238
Kaufman JD,3,0.008086253369272238
Kent JW,3,0.008086253369272238
King IB,3,0.008086253369272238
Laurent LC,3,0.008086253369272238
Le NA,3,0.008086253369272238
Lee C,3,0.008086253369272238
Lemaitre RN,3,0.008086253369272238
Lewin M,3,0.008086253369272238
Li Z,3,0.008086253369272238
McKnight B,3,0.008086253369272238
O'Leary R,3,0.008086253369272238
Omidpanah A,3,0.008086253369272238
Pierce BL,3,0.008086253369272238
Quan SF,3,0.008086253369272238
Reiman EM,3,0.008086253369272238
Rogers P,3,0.008086253369272238
Ruiz P,3,0.008086253369272238
Schaefer CF,3,0.008086253369272238
Schweigman K,3,0.008086253369272238
Sievers ML,3,0.008086253369272238
Sosenko JM,3,0.008086253369272238
Sotoodehnia N,3,0.008086253369272238
Spratlen MJ,3,0.008086253369272238
Valeri L,3,0.008086253369272238
Wang D,3,0.008086253369272238
Whisnant JP,3,0.008086253369272238
Wild RA,3,0.008086253369272238
Yracheta J,3,0.008086253369272238
Zhu Y,3,0.008086253369272238
Adler AI,2,0.005390835579514825
Ahsan H,2,0.005390835579514825
Araojo R,2,0.005390835579514825
Arias-Losado R,2,0.005390835579514825
Begum M,2,0.005390835579514825
Bermudez JD,2,0.005390835579514825
Blake B,2,0.005390835579514825
Blangero J,2,0.005390835579514825
Bloomquist TR,2,0.005390835579514825
Bostick BC,2,0.005390835579514825
Bressler J,2,0.005390835579514825
Butt AL,2,0.005390835579514825
Capaldo B,2,0.005390835579514825
Chen LS,2,0.005390835579514825
Chen M,2,0.005390835579514825
Chen Q,2,0.005390835579514825
Cheng K,2,0.005390835579514825
Contaldo F,2,0.005390835579514825
DeCroo S,2,0.005390835579514825
Devaney JM,2,0.005390835579514825
Domoto-Reilly K,2,0.005390835579514825
Du J,2,0.005390835579514825
Dye CK,2,0.005390835579514825
Dyer TD,2,0.005390835579514825
Ebbesson SO,2,0.005390835579514825
Eckhardt CM,2,0.005390835579514825
Enright PL,2,0.005390835579514825
Erdei E,2,0.005390835579514825
