period,period_start,period_end,metric,value,top_x,cluster,domain
"Domain 1: left, ventricular, mass, pressure",NA,NA,n_papers,74,NA,1,"Domain 1: left, ventricular, mass, pressure"
"Domain 1: left, ventricular, mass, pressure",NA,NA,n_authors,112,NA,1,"Domain 1: left, ventricular, mass, pressure"
"Domain 1: left, ventricular, mass, pressure",NA,NA,hhi,4.028670562454367,NA,1,"Domain 1: left, ventricular, mass, pressure"
"Domain 1: left, ventricular, mass, pressure",NA,NA,top_x_share,0.972972972972973,1,1,"Domain 1: left, ventricular, mass, pressure"
"Domain 1: left, ventricular, mass, pressure",NA,NA,top_x_share,0.9864864864864865,3,1,"Domain 1: left, ventricular, mass, pressure"
"Domain 1: left, ventricular, mass, pressure",NA,NA,top_x_share,0.9864864864864865,5,1,"Domain 1: left, ventricular, mass, pressure"
"Domain 1: left, ventricular, mass, pressure",NA,NA,top_x_share,0.9864864864864865,10,1,"Domain 1: left, ventricular, mass, pressure"
"Domain 2: arsenic, exposure, urine, dma",NA,NA,n_papers,33,NA,2,"Domain 2: arsenic, exposure, urine, dma"
"Domain 2: arsenic, exposure, urine, dma",NA,NA,n_authors,157,NA,2,"Domain 2: arsenic, exposure, urine, dma"
"Domain 2: arsenic, exposure, urine, dma",NA,NA,hhi,4.217630853994521,NA,2,"Domain 2: arsenic, exposure, urine, dma"
"Domain 2: arsenic, exposure, urine, dma",NA,NA,top_x_share,1,1,2,"Domain 2: arsenic, exposure, urine, dma"
"Domain 2: arsenic, exposure, urine, dma",NA,NA,top_x_share,1,3,2,"Domain 2: arsenic, exposure, urine, dma"
"Domain 2: arsenic, exposure, urine, dma",NA,NA,top_x_share,1,5,2,"Domain 2: arsenic, exposure, urine, dma"
"Domain 2: arsenic, exposure, urine, dma",NA,NA,top_x_share,1,10,2,"Domain 2: arsenic, exposure, urine, dma"
"Domain 3: cancer, mortality, cause, ecg",NA,NA,n_papers,22,NA,3,"Domain 3: cancer, mortality, cause, ecg"
"Domain 3: cancer, mortality, cause, ecg",NA,NA,n_authors,100,NA,3,"Domain 3: cancer, mortality, cause, ecg"
"Domain 3: cancer, mortality, cause, ecg",NA,NA,hhi,2.117768595041318,NA,3,"Domain 3: cancer, mortality, cause, ecg"
"Domain 3: cancer, mortality, cause, ecg",NA,NA,top_x_share,0.6363636363636364,1,3,"Domain 3: cancer, mortality, cause, ecg"
"Domain 3: cancer, mortality, cause, ecg",NA,NA,top_x_share,0.7272727272727273,3,3,"Domain 3: cancer, mortality, cause, ecg"
"Domain 3: cancer, mortality, cause, ecg",NA,NA,top_x_share,0.9545454545454546,5,3,"Domain 3: cancer, mortality, cause, ecg"
"Domain 3: cancer, mortality, cause, ecg",NA,NA,top_x_share,1,10,3,"Domain 3: cancer, mortality, cause, ecg"
"Domain 4: cognitive, brain, depression, symptoms",NA,NA,n_papers,40,NA,4,"Domain 4: cognitive, brain, depression, symptoms"
"Domain 4: cognitive, brain, depression, symptoms",NA,NA,n_authors,97,NA,4,"Domain 4: cognitive, brain, depression, symptoms"
"Domain 4: cognitive, brain, depression, symptoms",NA,NA,hhi,2.6262499999999935,NA,4,"Domain 4: cognitive, brain, depression, symptoms"
"Domain 4: cognitive, brain, depression, symptoms",NA,NA,top_x_share,0.9,1,4,"Domain 4: cognitive, brain, depression, symptoms"
"Domain 4: cognitive, brain, depression, symptoms",NA,NA,top_x_share,0.9,3,4,"Domain 4: cognitive, brain, depression, symptoms"
"Domain 4: cognitive, brain, depression, symptoms",NA,NA,top_x_share,0.95,5,4,"Domain 4: cognitive, brain, depression, symptoms"
"Domain 4: cognitive, brain, depression, symptoms",NA,NA,top_x_share,0.975,10,4,"Domain 4: cognitive, brain, depression, symptoms"
"Domain 6: cvd, chd, diabetes, health",NA,NA,n_papers,199,NA,6,"Domain 6: cvd, chd, diabetes, health"
"Domain 6: cvd, chd, diabetes, health",NA,NA,n_authors,575,NA,6,"Domain 6: cvd, chd, diabetes, health"
"Domain 6: cvd, chd, diabetes, health",NA,NA,hhi,1.2290346203378282,NA,6,"Domain 6: cvd, chd, diabetes, health"
"Domain 6: cvd, chd, diabetes, health",NA,NA,top_x_share,0.5778894472361809,1,6,"Domain 6: cvd, chd, diabetes, health"
"Domain 6: cvd, chd, diabetes, health",NA,NA,top_x_share,0.7939698492462312,3,6,"Domain 6: cvd, chd, diabetes, health"
"Domain 6: cvd, chd, diabetes, health",NA,NA,top_x_share,0.8592964824120602,5,6,"Domain 6: cvd, chd, diabetes, health"
"Domain 6: cvd, chd, diabetes, health",NA,NA,top_x_share,0.9296482412060302,10,6,"Domain 6: cvd, chd, diabetes, health"
