dataset,metric,value,top_x,year,computed_date
StrongHeart,n_papers,371,NA,NA,2026-07-06
StrongHeart,n_authors,780,NA,NA,2026-07-06
StrongHeart,hhi,1.3048219643855976,NA,NA,2026-07-06
StrongHeart,top_x_share,0.5876010781671159,1,NA,2026-07-06
StrongHeart,top_x_share,0.6765498652291105,3,NA,2026-07-06
StrongHeart,top_x_share,0.8247978436657682,5,NA,2026-07-06
StrongHeart,top_x_share,0.9002695417789758,10,NA,2026-07-06
StrongHeart,hhi,3.3017751479289923,NA,2000,2026-07-06
StrongHeart,top_x_share,0.9230769230769231,1,2000,2026-07-06
StrongHeart,top_x_share,0.9230769230769231,3,2000,2026-07-06
StrongHeart,top_x_share,0.9230769230769231,5,2000,2026-07-06
StrongHeart,top_x_share,0.9230769230769231,10,2000,2026-07-06
StrongHeart,hhi,3.1777777777777763,NA,2001,2026-07-06
StrongHeart,top_x_share,0.7333333333333333,1,2001,2026-07-06
StrongHeart,top_x_share,0.8,3,2001,2026-07-06
StrongHeart,top_x_share,0.8,5,2001,2026-07-06
StrongHeart,top_x_share,0.8,10,2001,2026-07-06
StrongHeart,hhi,3.524444444444442,NA,2002,2026-07-06
StrongHeart,top_x_share,1,1,2002,2026-07-06
StrongHeart,top_x_share,1,3,2002,2026-07-06
StrongHeart,top_x_share,1,5,2002,2026-07-06
StrongHeart,top_x_share,1,10,2002,2026-07-06
StrongHeart,hhi,3.6035502958579873,NA,2003,2026-07-06
StrongHeart,top_x_share,0.9230769230769231,1,2003,2026-07-06
StrongHeart,top_x_share,1,3,2003,2026-07-06
StrongHeart,top_x_share,1,5,2003,2026-07-06
StrongHeart,top_x_share,1,10,2003,2026-07-06
StrongHeart,hhi,2.562130177514791,NA,2004,2026-07-06
StrongHeart,top_x_share,0.8461538461538461,1,2004,2026-07-06
StrongHeart,top_x_share,0.9230769230769231,3,2004,2026-07-06
StrongHeart,top_x_share,0.9230769230769231,5,2004,2026-07-06
StrongHeart,top_x_share,1,10,2004,2026-07-06
StrongHeart,hhi,3.000000000000002,NA,2005,2026-07-06
StrongHeart,top_x_share,0.8181818181818182,1,2005,2026-07-06
StrongHeart,top_x_share,0.9090909090909091,3,2005,2026-07-06
StrongHeart,top_x_share,0.9090909090909091,5,2005,2026-07-06
StrongHeart,top_x_share,1,10,2005,2026-07-06
StrongHeart,hhi,2.7704081632653073,NA,2006,2026-07-06
StrongHeart,top_x_share,0.7857142857142857,1,2006,2026-07-06
StrongHeart,top_x_share,0.8571428571428571,3,2006,2026-07-06
StrongHeart,top_x_share,1,5,2006,2026-07-06
StrongHeart,top_x_share,1,10,2006,2026-07-06
StrongHeart,hhi,2.413333333333332,NA,2007,2026-07-06
StrongHeart,top_x_share,0.7333333333333333,1,2007,2026-07-06
StrongHeart,top_x_share,0.9333333333333333,3,2007,2026-07-06
StrongHeart,top_x_share,0.9333333333333333,5,2007,2026-07-06
StrongHeart,top_x_share,1,10,2007,2026-07-06
StrongHeart,hhi,2.8499999999999974,NA,2008,2026-07-06
StrongHeart,top_x_share,0.8,1,2008,2026-07-06
StrongHeart,top_x_share,0.9,3,2008,2026-07-06
StrongHeart,top_x_share,0.9,5,2008,2026-07-06
StrongHeart,top_x_share,1,10,2008,2026-07-06
StrongHeart,hhi,2.779999999999995,NA,2011,2026-07-06
StrongHeart,top_x_share,0.9,1,2011,2026-07-06
StrongHeart,top_x_share,1,3,2011,2026-07-06
StrongHeart,top_x_share,1,5,2011,2026-07-06
StrongHeart,top_x_share,1,10,2011,2026-07-06
StrongHeart,hhi,3.699999999999997,NA,2012,2026-07-06
StrongHeart,top_x_share,1,1,2012,2026-07-06
StrongHeart,top_x_share,1,3,2012,2026-07-06
StrongHeart,top_x_share,1,5,2012,2026-07-06
StrongHeart,top_x_share,1,10,2012,2026-07-06
StrongHeart,hhi,2.948096885813149,NA,2013,2026-07-06
StrongHeart,top_x_share,0.8235294117647058,1,2013,2026-07-06
StrongHeart,top_x_share,0.9411764705882353,3,2013,2026-07-06
StrongHeart,top_x_share,0.9411764705882353,5,2013,2026-07-06
StrongHeart,top_x_share,0.9411764705882353,10,2013,2026-07-06
StrongHeart,hhi,2.0069204152249154,NA,2017,2026-07-06
StrongHeart,top_x_share,0.6470588235294118,1,2017,2026-07-06
StrongHeart,top_x_share,0.8235294117647058,3,2017,2026-07-06
StrongHeart,top_x_share,0.8823529411764706,5,2017,2026-07-06
StrongHeart,top_x_share,0.9411764705882353,10,2017,2026-07-06
StrongHeart,hhi,2,NA,2019,2026-07-06
StrongHeart,top_x_share,0.6153846153846154,1,2019,2026-07-06
StrongHeart,top_x_share,1,3,2019,2026-07-06
StrongHeart,top_x_share,1,5,2019,2026-07-06
StrongHeart,top_x_share,1,10,2019,2026-07-06
StrongHeart,hhi,2.3140495867768593,NA,2020,2026-07-06
StrongHeart,top_x_share,0.6363636363636364,1,2020,2026-07-06
StrongHeart,top_x_share,0.7272727272727273,3,2020,2026-07-06
StrongHeart,top_x_share,0.7272727272727273,5,2020,2026-07-06
StrongHeart,top_x_share,0.9090909090909091,10,2020,2026-07-06
StrongHeart,hhi,2.8194444444444464,NA,2021,2026-07-06
