period,period_start,period_end,metric,value,top_x,period_type
1996,1996,1996,n_papers,7,NA,annual
1996,1996,1996,n_authors,19,NA,annual
1996,1996,1996,hhi,3.183673469387753,NA,annual
1996,1996,1996,top_x_share,1,1,annual
1996,1996,1996,top_x_share,1,3,annual
1996,1996,1996,top_x_share,1,5,annual
1996,1996,1996,top_x_share,1,10,annual
1997,1997,1997,n_papers,7,NA,annual
1997,1997,1997,n_authors,35,NA,annual
1997,1997,1997,hhi,2.632653061224485,NA,annual
1997,1997,1997,top_x_share,1,1,annual
1997,1997,1997,top_x_share,1,3,annual
1997,1997,1997,top_x_share,1,5,annual
1997,1997,1997,top_x_share,1,10,annual
1998,1998,1998,n_papers,6,NA,annual
1998,1998,1998,n_authors,25,NA,annual
1998,1998,1998,hhi,4.166666666666666,NA,annual
1998,1998,1998,top_x_share,1,1,annual
1998,1998,1998,top_x_share,1,3,annual
1998,1998,1998,top_x_share,1,5,annual
1998,1998,1998,top_x_share,1,10,annual
2000,2000,2000,n_papers,13,NA,annual
2000,2000,2000,n_authors,40,NA,annual
2000,2000,2000,hhi,3.3017751479289905,NA,annual
2000,2000,2000,top_x_share,0.9230769230769231,1,annual
2000,2000,2000,top_x_share,0.9230769230769231,3,annual
2000,2000,2000,top_x_share,0.9230769230769231,5,annual
2000,2000,2000,top_x_share,0.9230769230769231,10,annual
2001,2001,2001,n_papers,15,NA,annual
2001,2001,2001,n_authors,43,NA,annual
2001,2001,2001,hhi,3.177777777777773,NA,annual
2001,2001,2001,top_x_share,0.7333333333333333,1,annual
2001,2001,2001,top_x_share,0.8,3,annual
2001,2001,2001,top_x_share,0.8,5,annual
2001,2001,2001,top_x_share,0.8,10,annual
2002,2002,2002,n_papers,15,NA,annual
2002,2002,2002,n_authors,42,NA,annual
2002,2002,2002,hhi,3.5244444444444407,NA,annual
2002,2002,2002,top_x_share,1,1,annual
2002,2002,2002,top_x_share,1,3,annual
2002,2002,2002,top_x_share,1,5,annual
2002,2002,2002,top_x_share,1,10,annual
2003,2003,2003,n_papers,13,NA,annual
2003,2003,2003,n_authors,36,NA,annual
2003,2003,2003,hhi,3.603550295857987,NA,annual
2003,2003,2003,top_x_share,0.9230769230769231,1,annual
2003,2003,2003,top_x_share,1,3,annual
2003,2003,2003,top_x_share,1,5,annual
2003,2003,2003,top_x_share,1,10,annual
2004,2004,2004,n_papers,13,NA,annual
2004,2004,2004,n_authors,47,NA,annual
2004,2004,2004,hhi,2.5621301775147893,NA,annual
2004,2004,2004,top_x_share,0.8461538461538461,1,annual
2004,2004,2004,top_x_share,0.9230769230769231,3,annual
2004,2004,2004,top_x_share,0.9230769230769231,5,annual
2004,2004,2004,top_x_share,1,10,annual
2005,2005,2005,n_papers,11,NA,annual
2005,2005,2005,n_authors,49,NA,annual
2005,2005,2005,hhi,3.0000000000000053,NA,annual
