author_raw,n_papers,last_name,initials
Best LG,96,Best,LG
Best L,11,Best,L
Buchwald D,26,Buchwald,D
Buchwald DS,16,Buchwald,DS
Cole SA,58,Cole,SA
Cole S,8,Cole,S
Devereux RB,127,Devereux,RB
Devereux R,7,Devereux,R
Fabsitz RR,76,Fabsitz,RR
Fabsitz R,7,Fabsitz,R
Fretts AM,26,Fretts,AM
Fretts A,7,Fretts,A
Howard BV,213,Howard,BV
Howard WJ,7,Howard,WJ
Lee ET,166,Lee,ET
Lee E,6,Lee,E
Nelson L,6,Nelson,L
Nelson LA,5,Nelson,LA
Reese JA,9,Reese,JA
Reese J,5,Reese,J
Rhoades DA,14,Rhoades,DA
Rhoades ER,12,Rhoades,ER
Shibata D,7,Shibata,D
Shibata DK,5,Shibata,DK
Strong Heart Study,8,Strong,Heart Study
Strong Heart Study Investigators,6,Strong,Heart Study Investigators
Suchy-Dicey AM,22,Suchy-Dicey,AM
Suchy-Dicey A,19,Suchy-Dicey,A
Umans JG,90,Umans,JG
Umans J,12,Umans,J
Wang W,30,Wang,W
Wang H,11,Wang,H
Yeh F,22,Yeh,F
Yeh J,21,Yeh,J
Yeh JL,13,Yeh,JL
