pmid,title,abstract,pub_year,text,has_abstract
42295276,Normative cognitive test performance and typical error patterns among American Indian older adults: The Strong Heart Study.,"OBJECTIVE: The Strong Heart Study, a large cohort of American Indians from three U.S. regions, collected standardized neuropsychological assessments from participants aged 65-95 years at two visits (2010-2019), with prior documentation of lower overall score distributions and higher prevalence of cognitive impairment and dementia. This report aims to define expected score ranges for impaired and unimpaired as well as typical error patterns across this multidomain battery. METHOD: Participants were assessed as cognitive unimpaired (normal) or impaired through case review by a panel of clinicians-experts. Cognitive test score distributions were summarized and regression-normalized by age, sex, education, baseline cognition, bilingual status, and depression. RESULTS: The strongest determinants of variability explained in test scores were age, education, and baseline cognition; depression was also associated with some tests. Error patterns were similar between overall group and intact group. Subitem analyses suggested that some tasks did not contribute to overall scores because most participants either correctly or incorrectly responded to the item. Common item analyses between similar tests suggested that interference may change score interpretability for similar tasks when repeated on different tests. CONCLUSIONS: These data represent the best estimates of expected cognitive test performance for older American Indians and may be useful to clinicians and researchers hoping to contextualize individual performance for patients within this sociodemographic. These results suggest that more research is needed among other Tribal groups, other Indigenous peoples, other socioeconomic contexts, younger ages, and with longitudinal evaluation. (PsycInfo Database Record (c) 2026 APA, all rights reserved).",2026,"Normative cognitive test performance and typical error patterns among American Indian older adults: The Strong Heart Study. OBJECTIVE: The Strong Heart Study, a large cohort of American Indians from three U.S. regions, collected standardized neuropsychological assessments from participants aged 65-95 years at two visits (2010-2019), with prior documentation of lower overall score distributions and higher prevalence of cognitive impairment and dementia. This report aims to define expected score ranges for impaired and unimpaired as well as typical error patterns across this multidomain battery. METHOD: Participants were assessed as cognitive unimpaired (normal) or impaired through case review by a panel of clinicians-experts. Cognitive test score distributions were summarized and regression-normalized by age, sex, education, baseline cognition, bilingual status, and depression. RESULTS: The strongest determinants of variability explained in test scores were age, education, and baseline cognition; depression was also associated with some tests. Error patterns were similar between overall group and intact group. Subitem analyses suggested that some tasks did not contribute to overall scores because most participants either correctly or incorrectly responded to the item. Common item analyses between similar tests suggested that interference may change score interpretability for similar tasks when repeated on different tests. CONCLUSIONS: These data represent the best estimates of expected cognitive test performance for older American Indians and may be useful to clinicians and researchers hoping to contextualize individual performance for patients within this sociodemographic. These results suggest that more research is needed among other Tribal groups, other Indigenous peoples, other socioeconomic contexts, younger ages, and with longitudinal evaluation. (PsycInfo Database Record (c) 2026 APA, all rights reserved).",TRUE
42284004,"Religious Coping, Stress, and Mental and Physical Health: A Pooled Analysis Across Diverse US Cohorts in Studies on Stress, Spirituality, and Health (SSSH).","This study examined the association between perceived stress and mental/physical health (SF-12) and the moderating role of positive and negative religious coping using data (n = 5,059) from three cohorts (the Hispanic Community Health Study/Study of Latinos (n = 585), Nurses' Health Study II (n = 3,882), and The Strong Heart Study (n = 592)) which included Hispanic/Latino, non-Hispanic White, and American Indian individuals in the USA. By incorporating cohorts representing historically underserved racial and ethnic populations, this study contributes to the limited literature examining religious coping styles and stress across diverse groups. We examined the interaction between positive and negative religious coping and stress on mental/physical health, controlling for age, income, marital status, and education. Greater perceived stress was associated with poorer mental health [β = - 1.04 (- 1.37,- 0.7), p < 0.0001], but not worse physical health. Concerning moderation, positive religious coping attenuated [β = 0.23 (0.11, 0.35), p < 0.0001] and negative religious coping worsened [β = - 0.45 (- 0.88,- 0.02), p = 0.0034] the association between perceived stress and mental health in the combined analysis. Of note, patterns varied across cohorts, indicating that the role of religious coping style in shaping stress-health relationships may differ across cultural and religious contexts. Our findings highlight the importance of considering both positive and negative religious coping styles when examining psychosocial stress and mental health outcomes across diverse populations.",2026,"Religious Coping, Stress, and Mental and Physical Health: A Pooled Analysis Across Diverse US Cohorts in Studies on Stress, Spirituality, and Health (SSSH). This study examined the association between perceived stress and mental/physical health (SF-12) and the moderating role of positive and negative religious coping using data (n = 5,059) from three cohorts (the Hispanic Community Health Study/Study of Latinos (n = 585), Nurses' Health Study II (n = 3,882), and The Strong Heart Study (n = 592)) which included Hispanic/Latino, non-Hispanic White, and American Indian individuals in the USA. By incorporating cohorts representing historically underserved racial and ethnic populations, this study contributes to the limited literature examining religious coping styles and stress across diverse groups. We examined the interaction between positive and negative religious coping and stress on mental/physical health, controlling for age, income, marital status, and education. Greater perceived stress was associated with poorer mental health [β = - 1.04 (- 1.37,- 0.7), p < 0.0001], but not worse physical health. Concerning moderation, positive religious coping attenuated [β = 0.23 (0.11, 0.35), p < 0.0001] and negative religious coping worsened [β = - 0.45 (- 0.88,- 0.02), p = 0.0034] the association between perceived stress and mental health in the combined analysis. Of note, patterns varied across cohorts, indicating that the role of religious coping style in shaping stress-health relationships may differ across cultural and religious contexts. Our findings highlight the importance of considering both positive and negative religious coping styles when examining psychosocial stress and mental health outcomes across diverse populations.",TRUE
42051231,The impact of arsenic exposure on DNA methylation in humans: building an epigenetic biomarker of exposure across three independent cohorts.,"BACKGROUND: Inorganic arsenic (As) is a carcinogen and >200 million people worldwide are exposed to As through drinking water. Long-term As exposure increases the risk of chronic diseases including cancer and cardiovascular disease. While prior work has identified several genomic regions where DNA methylation (DNAm) is associated with As exposure, our knowledge remains limited. METHODS: We first evaluated the association of As exposure (measured in urine and drinking water) with DNAm (measured genome-wide in blood cells at >720 000 cytosine-phosphate-guanine (CpG) sites) among 1186 Bangladeshi adults from the Health Effects of Arsenic Longitudinal Study-a population with a wide range of As exposure levels. We then utilized elastic net regression to build a DNAm-based biomarker of As exposure. RESULTS: We identified 1177 CpGs associated with urinary As (false discovery rate < 0.05) and further demonstrated that these associations are likely causal by using genetic determinants of As metabolism as instrumental variables. Arsenic-associated CpGs showed strong enrichment for genomic context and CpG sets related to disease states previously linked to As exposure. We developed a 255-CpG DNAm-based biomarker of As exposure that was highly predictive of urinary As levels (r2 = 0.46) and arsenical skin-lesion status (area under the receiver-operating characteristic curve = 0.69)-a common sign of As toxicity. This biomarker was also highly associated with measured urinary As levels in an independent Bangladeshi cohort (P = 1.3 × 10-19) and further validated in the Strong Heart Study (P = 6.7 × 10-6), in which the DNAm-predicted As was also associated with overall mortality (P = 4.6 × 10-4). CONCLUSION: We demonstrate the utility of a DNAm-based biomarker of As exposure that can predict the risk of toxicity and present guidelines for developing epigenetic biomarkers to track environmental chemical exposures.",2026,"The impact of arsenic exposure on DNA methylation in humans: building an epigenetic biomarker of exposure across three independent cohorts. BACKGROUND: Inorganic arsenic (As) is a carcinogen and >200 million people worldwide are exposed to As through drinking water. Long-term As exposure increases the risk of chronic diseases including cancer and cardiovascular disease. While prior work has identified several genomic regions where DNA methylation (DNAm) is associated with As exposure, our knowledge remains limited. METHODS: We first evaluated the association of As exposure (measured in urine and drinking water) with DNAm (measured genome-wide in blood cells at >720 000 cytosine-phosphate-guanine (CpG) sites) among 1186 Bangladeshi adults from the Health Effects of Arsenic Longitudinal Study-a population with a wide range of As exposure levels. We then utilized elastic net regression to build a DNAm-based biomarker of As exposure. RESULTS: We identified 1177 CpGs associated with urinary As (false discovery rate < 0.05) and further demonstrated that these associations are likely causal by using genetic determinants of As metabolism as instrumental variables. Arsenic-associated CpGs showed strong enrichment for genomic context and CpG sets related to disease states previously linked to As exposure. We developed a 255-CpG DNAm-based biomarker of As exposure that was highly predictive of urinary As levels (r2 = 0.46) and arsenical skin-lesion status (area under the receiver-operating characteristic curve = 0.69)-a common sign of As toxicity. This biomarker was also highly associated with measured urinary As levels in an independent Bangladeshi cohort (P = 1.3 × 10-19) and further validated in the Strong Heart Study (P = 6.7 × 10-6), in which the DNAm-predicted As was also associated with overall mortality (P = 4.6 × 10-4). CONCLUSION: We demonstrate the utility of a DNAm-based biomarker of As exposure that can predict the risk of toxicity and present guidelines for developing epigenetic biomarkers to track environmental chemical exposures.",TRUE
41760975,Gestational diabetes and life course cardiometabolic health in an American Indian cohort: The Strong Heart Study.,"BACKGROUND: American Indian (AI) women are at high risk for pregnancy complications, including gestational diabetes (GDM). However, few large-scale studies address the relationship between cardiovascular and pregnancy health in this population. METHODS: The Strong Heart Study examined cardiovascular disease in Oklahoma, Arizona, and North and South Dakota starting in 1988. Female participants were asked about their number of livebirths, lost pregnancies, and pregnancy complications. Gestational diabetes was self-reported, diabetes outside of pregnancy was directly assessed at regular intervals, and CVD morbidity and mortality outcomes were adjudicated. The analytic dataset consisted of women with at least one follow-up after a pregnancy, and with self-reported information on GDM (n = 1685). Cardiometabolic disease was examined using time-to-event analysis (proportional hazards modeling) with age as the time axis, controlling for covariates (smoking, BMI, income, education, age at first birth). RESULTS: Mean age at last follow-up was 59.5 years. Median parity was 4, and 135 (8.0%) women reported a history of GDM for at least one pregnancy. History of GDM was associated with a higher likelihood of diabetes later in life (adjusted hazard ratio [aHR] 1.60, 95% CI 1.22–2.10). History of GDM was not associated with later cardiovascular disease (aHR 0.93, 0.57–1.51). DISCUSSION: History of GDM in this large-scale American Indian cohort was associated with the development of diabetes later in life. Associations were not as strong for cardiovascular disease outcomes, possibly because many participants were still relatively young. This study highlights a contributor to chronic disease in a high-risk population not well represented in the literature.",2026,"Gestational diabetes and life course cardiometabolic health in an American Indian cohort: The Strong Heart Study. BACKGROUND: American Indian (AI) women are at high risk for pregnancy complications, including gestational diabetes (GDM). However, few large-scale studies address the relationship between cardiovascular and pregnancy health in this population. METHODS: The Strong Heart Study examined cardiovascular disease in Oklahoma, Arizona, and North and South Dakota starting in 1988. Female participants were asked about their number of livebirths, lost pregnancies, and pregnancy complications. Gestational diabetes was self-reported, diabetes outside of pregnancy was directly assessed at regular intervals, and CVD morbidity and mortality outcomes were adjudicated. The analytic dataset consisted of women with at least one follow-up after a pregnancy, and with self-reported information on GDM (n = 1685). Cardiometabolic disease was examined using time-to-event analysis (proportional hazards modeling) with age as the time axis, controlling for covariates (smoking, BMI, income, education, age at first birth). RESULTS: Mean age at last follow-up was 59.5 years. Median parity was 4, and 135 (8.0%) women reported a history of GDM for at least one pregnancy. History of GDM was associated with a higher likelihood of diabetes later in life (adjusted hazard ratio [aHR] 1.60, 95% CI 1.22–2.10). History of GDM was not associated with later cardiovascular disease (aHR 0.93, 0.57–1.51). DISCUSSION: History of GDM in this large-scale American Indian cohort was associated with the development of diabetes later in life. Associations were not as strong for cardiovascular disease outcomes, possibly because many participants were still relatively young. This study highlights a contributor to chronic disease in a high-risk population not well represented in the literature.",TRUE
41728287,Bridging the Genomic Equity Gap with Context-Enhanced Risk Stratification in American Indians: the Strong Heart Study.,"Polygenic scores (PGS) show promise for disease risk stratification but suffer from limited portability across populations. American Indians face a disproportionate burden of cardiovascular disease yet remain significantly underrepresented in genomic research, limiting equitable access to precision medicine. Here, we evaluate whether integrating specific lifestyle and clinical context variables with PGS enhances risk prediction for cardiometabolic traits in 424,622 European from UK Biobank (UKB) and 3,157 American Indian populations from the Strong Heart Study (SHS). By comparing genetics-only models to full models incorporating context variables and gene-context interactions across blood pressure traits, coronary heart disease (CHD), and stroke, we found that the integration of context variables significantly improved prediction accuracy in both cohorts. Notably, for American Indian participants, the new model incorporating context and genetic interactions significantly improved model discrimination for CHD compared to an established clinical risk model. These findings suggest that modeling the interplay between inherited risk and modifiable factors can recover predictive power loss due to imperfect PGS transferability, offering a viable pathway toward more equitable and effective precision medicine for under-represented populations.",2026,"Bridging the Genomic Equity Gap with Context-Enhanced Risk Stratification in American Indians: the Strong Heart Study. Polygenic scores (PGS) show promise for disease risk stratification but suffer from limited portability across populations. American Indians face a disproportionate burden of cardiovascular disease yet remain significantly underrepresented in genomic research, limiting equitable access to precision medicine. Here, we evaluate whether integrating specific lifestyle and clinical context variables with PGS enhances risk prediction for cardiometabolic traits in 424,622 European from UK Biobank (UKB) and 3,157 American Indian populations from the Strong Heart Study (SHS). By comparing genetics-only models to full models incorporating context variables and gene-context interactions across blood pressure traits, coronary heart disease (CHD), and stroke, we found that the integration of context variables significantly improved prediction accuracy in both cohorts. Notably, for American Indian participants, the new model incorporating context and genetic interactions significantly improved model discrimination for CHD compared to an established clinical risk model. These findings suggest that modeling the interplay between inherited risk and modifiable factors can recover predictive power loss due to imperfect PGS transferability, offering a viable pathway toward more equitable and effective precision medicine for under-represented populations.",TRUE
41640039,A Path-Specific Effect Approach to Mediation Analysis With Time-Varying Mediators and Time-to-Event Outcomes Accounting for Competing Risks.,"Not accounting for competing events in survival analysis can lead to biased estimates, as individuals who die from other causes do not have the opportunity to develop the event of interest. Formal definitions and considerations for causal effects in the presence of competing risks have been published, but not for the mediation analysis setting when the exposure is not separable and both the outcome and the mediator are nonterminal events. We propose, for the first time, an approach based on the path-specific effects framework to account for competing risks in longitudinal mediation analysis with time-to-event outcomes. We do so by considering the pathway through the competing event as another mediator, which is nested within our longitudinal mediator of interest. We provide a theoretical formulation and related definitions of the effects of interest based on the mediational g-formula, as well as a detailed description of the algorithm. We also present a simulation study and an application of our algorithm to data from the Strong Heart Study, a prospective cohort of American Indian adults. In this application, we evaluated the mediating role of the blood pressure trajectory (measured in three visits) on the association of arsenic and cadmium with time to cardiovascular disease, accounting for competing risks by death. Identifying the effects through different paths enables us to evaluate the impact of metals on the outcome of interest, as well as through competing risks, more transparently.",2026,"A Path-Specific Effect Approach to Mediation Analysis With Time-Varying Mediators and Time-to-Event Outcomes Accounting for Competing Risks. Not accounting for competing events in survival analysis can lead to biased estimates, as individuals who die from other causes do not have the opportunity to develop the event of interest. Formal definitions and considerations for causal effects in the presence of competing risks have been published, but not for the mediation analysis setting when the exposure is not separable and both the outcome and the mediator are nonterminal events. We propose, for the first time, an approach based on the path-specific effects framework to account for competing risks in longitudinal mediation analysis with time-to-event outcomes. We do so by considering the pathway through the competing event as another mediator, which is nested within our longitudinal mediator of interest. We provide a theoretical formulation and related definitions of the effects of interest based on the mediational g-formula, as well as a detailed description of the algorithm. We also present a simulation study and an application of our algorithm to data from the Strong Heart Study, a prospective cohort of American Indian adults. In this application, we evaluated the mediating role of the blood pressure trajectory (measured in three visits) on the association of arsenic and cadmium with time to cardiovascular disease, accounting for competing risks by death. Identifying the effects through different paths enables us to evaluate the impact of metals on the outcome of interest, as well as through competing risks, more transparently.",TRUE
41598372,Stroke Incidence and Smoking in American Indians: An Update from the Strong Heart Study.,"Background/Objectives: To investigate the relationship between cigarette smoking and long-term stroke outcomes in American Indian participants of the Strong Heart Study (SHS). Methods: SHS is a longitudinal, population-based cohort study of cardiovascular disease in American Indian tribes and communities in Oklahoma, Arizona, and the Dakotas. Data were abstracted from 5802 participants without prevalent stroke, enrolled during two asynchronous sampling periods (1989-1991; 2001-2003), who underwent annual surveillance through 31 December 2021. Age- and sex-specific person-time incidence rates of stroke and their 95% CIs were calculated for each cohort. A combined analysis using shared frailty Cox proportional hazards models assessed the association of incident stroke with baseline smoking status, demographics, and other key risk factors. Results: Among participants, baseline smoking status was positive in 2220 (38.3%). Incident stroke was observed in 456 (7.9%) during a pooled median follow-up time of 19.54 years (range, 0.02-32.62) across the combined cohorts. Stroke incidence was higher among the original cohort, smokers, and older individuals. Across both cohorts, baseline current smokers had a 2.23-fold higher risk of incident stroke compared to nonsmokers (HR = 2.23, 95%CI = 1.73-2.88) and a 1.69-fold higher risk compared to former smokers (HR = 1.69, 95%CI = 1.34-2.13) after controlling for covariates. Conclusions: Smoking remains a key risk factor for stroke in American Indians. The current study extends our prior research with broader age ranges and longer follow-up in two cohorts. While American Indians have higher smoking prevalence and stroke risk, increased risk in current versus former smokers supports smoking cessation benefits and emphasizes the need for culturally tailored interventions.",2026,"Stroke Incidence and Smoking in American Indians: An Update from the Strong Heart Study. Background/Objectives: To investigate the relationship between cigarette smoking and long-term stroke outcomes in American Indian participants of the Strong Heart Study (SHS). Methods: SHS is a longitudinal, population-based cohort study of cardiovascular disease in American Indian tribes and communities in Oklahoma, Arizona, and the Dakotas. Data were abstracted from 5802 participants without prevalent stroke, enrolled during two asynchronous sampling periods (1989-1991; 2001-2003), who underwent annual surveillance through 31 December 2021. Age- and sex-specific person-time incidence rates of stroke and their 95% CIs were calculated for each cohort. A combined analysis using shared frailty Cox proportional hazards models assessed the association of incident stroke with baseline smoking status, demographics, and other key risk factors. Results: Among participants, baseline smoking status was positive in 2220 (38.3%). Incident stroke was observed in 456 (7.9%) during a pooled median follow-up time of 19.54 years (range, 0.02-32.62) across the combined cohorts. Stroke incidence was higher among the original cohort, smokers, and older individuals. Across both cohorts, baseline current smokers had a 2.23-fold higher risk of incident stroke compared to nonsmokers (HR = 2.23, 95%CI = 1.73-2.88) and a 1.69-fold higher risk compared to former smokers (HR = 1.69, 95%CI = 1.34-2.13) after controlling for covariates. Conclusions: Smoking remains a key risk factor for stroke in American Indians. The current study extends our prior research with broader age ranges and longer follow-up in two cohorts. While American Indians have higher smoking prevalence and stroke risk, increased risk in current versus former smokers supports smoking cessation benefits and emphasizes the need for culturally tailored interventions.",TRUE
41531740,Air Pollution Levels in American Indian Communities in the Great Plains and Southwest: The Strong Heart Study.,"Differences in environmental exposures-particularly to ambient air pollution-have been consistently documented across communities in the United States (U.S.). However, relatively few studies on air pollution have focused on American Indians. In this paper, we combine demographic data from Phase IV (2001 to 2003) and Phase V (2006 to 2009) of the Strong Heart Study-the largest ongoing longitudinal epidemiologic cohort study of cardiovascular disease in American Indians-and 1 km2 modeled PM2.5 data in the Northern Plains, Southern Plains, and Southwestern United States. We analyzed data at the U.S. ZIP code level to estimate 30-day and annual residential exposures of participants to PM2.5 and assess for regional, temporal, and seasonal variations in PM2.5 exposure. We found significantly higher mean 30-day and annual PM2.5 concentrations among participants in the Southwest and Southern Plains (>7.4 μg/m3 and >7.6 μg/m3, respectively) than in the Northern Plains (<6.6 μg/m3 and <6.2 μg/m3, respectively). We observed heterogeneity in participants' mean 30-day and annual PM2.5 exposure within and across regions. Furthermore, seasonal differences in ambient PM2.5 concentrations among participants varied by region; in the Northern Plains, we generally observed higher mean 30-day PM2.5 exposure levels in the summertime and lower levels in the wintertime, whereas levels remained relatively constant in the Southern Plains and Southwest. These findings offer essential baseline data to advance accurate and equitable exposure assessment across tribal communities in the Northern Plains, Southern Plains, and Southwest regions.",2026,"Air Pollution Levels in American Indian Communities in the Great Plains and Southwest: The Strong Heart Study. Differences in environmental exposures-particularly to ambient air pollution-have been consistently documented across communities in the United States (U.S.). However, relatively few studies on air pollution have focused on American Indians. In this paper, we combine demographic data from Phase IV (2001 to 2003) and Phase V (2006 to 2009) of the Strong Heart Study-the largest ongoing longitudinal epidemiologic cohort study of cardiovascular disease in American Indians-and 1 km2 modeled PM2.5 data in the Northern Plains, Southern Plains, and Southwestern United States. We analyzed data at the U.S. ZIP code level to estimate 30-day and annual residential exposures of participants to PM2.5 and assess for regional, temporal, and seasonal variations in PM2.5 exposure. We found significantly higher mean 30-day and annual PM2.5 concentrations among participants in the Southwest and Southern Plains (>7.4 μg/m3 and >7.6 μg/m3, respectively) than in the Northern Plains (<6.6 μg/m3 and <6.2 μg/m3, respectively). We observed heterogeneity in participants' mean 30-day and annual PM2.5 exposure within and across regions. Furthermore, seasonal differences in ambient PM2.5 concentrations among participants varied by region; in the Northern Plains, we generally observed higher mean 30-day PM2.5 exposure levels in the summertime and lower levels in the wintertime, whereas levels remained relatively constant in the Southern Plains and Southwest. These findings offer essential baseline data to advance accurate and equitable exposure assessment across tribal communities in the Northern Plains, Southern Plains, and Southwest regions.",TRUE
41497781,Examining APOE ε4 and Longitudinal Vascular Brain Injury: The Strong Heart Study.,"BACKGROUND AND OBJECTIVE: American Indians have a high population risk for cerebrovascular disease, vascular brain injury (VBI), and dementia. The apolipoprotein (APOE) ε4 allele is a strong risk factor for Alzheimer's disease but is also associated with white matter hyperintensities (WMH) and VBI. However, these association have not been thoroughly examined in the American Indian population. Our objective was to determine whether APOE ε4 carriers exhibited greater longitudinal changes in WMH or if the previously reported null effect from cross-sectional findings extended over time in American Indians. METHODS: We analyzed data from a population-based, longitudinal cohort of American Indians aged 64-95 years from the Strong Heart Study recruited from Northern Plains, Southern Plains, and Southwest regions. Magnetic resonance imaging markers included infarcts, lacunes, hemorrhages, and WMH. APOE genotype was determined through serum analysis and dichotomized based on the presence of the ε4 allele. Covariates included age, sex, education, hypertension, diabetes, stroke history, body mass index, low-density lipoprotein cholesterol, and study site. We used Poisson regression for binary VBI outcomes, linear mixed-effects models to assess longitudinal WMH changes, and Cox regression to analyze incident VBI. RESULTS: The sample size was 395 participants with a mean age of 71.3 (4.7) years and was comprised of 313 non-ε4-carriers and 82 ε4-carriers, predominantly female (70.1%). Cross-sectional analyses indicated no significant associations between APOE ε4 and lacunes (RR=1.03, 95% CI: 0.42-2.57), infarcts (RR =1.28, 95% CI: 0.81-2.02), or hemorrhages (RR = 1.73, 95% CI: 0.60-4.99). Longitudinal analyses revealed no significant associations between APOE ε4 and changes in WMH volume (β = 0.00, 95% CI: -0.02-0.03). APOE ε4 was not associated with overall VBI incidence in fully adjusted models (HR = 2.84, 95% CI: 0.17-48.59). DISCUSSION: Our findings echo previous work that APOE e4 does not appear to have specificity as a risk factor WMH in American Indians. Further research in a larger sample size and as well as how modifiable environmental factors might modify the biological effects of APOE ε4 on brain aging in American Indians is required to validate these findings.",2026,"Examining APOE ε4 and Longitudinal Vascular Brain Injury: The Strong Heart Study. BACKGROUND AND OBJECTIVE: American Indians have a high population risk for cerebrovascular disease, vascular brain injury (VBI), and dementia. The apolipoprotein (APOE) ε4 allele is a strong risk factor for Alzheimer's disease but is also associated with white matter hyperintensities (WMH) and VBI. However, these association have not been thoroughly examined in the American Indian population. Our objective was to determine whether APOE ε4 carriers exhibited greater longitudinal changes in WMH or if the previously reported null effect from cross-sectional findings extended over time in American Indians. METHODS: We analyzed data from a population-based, longitudinal cohort of American Indians aged 64-95 years from the Strong Heart Study recruited from Northern Plains, Southern Plains, and Southwest regions. Magnetic resonance imaging markers included infarcts, lacunes, hemorrhages, and WMH. APOE genotype was determined through serum analysis and dichotomized based on the presence of the ε4 allele. Covariates included age, sex, education, hypertension, diabetes, stroke history, body mass index, low-density lipoprotein cholesterol, and study site. We used Poisson regression for binary VBI outcomes, linear mixed-effects models to assess longitudinal WMH changes, and Cox regression to analyze incident VBI. RESULTS: The sample size was 395 participants with a mean age of 71.3 (4.7) years and was comprised of 313 non-ε4-carriers and 82 ε4-carriers, predominantly female (70.1%). Cross-sectional analyses indicated no significant associations between APOE ε4 and lacunes (RR=1.03, 95% CI: 0.42-2.57), infarcts (RR =1.28, 95% CI: 0.81-2.02), or hemorrhages (RR = 1.73, 95% CI: 0.60-4.99). Longitudinal analyses revealed no significant associations between APOE ε4 and changes in WMH volume (β = 0.00, 95% CI: -0.02-0.03). APOE ε4 was not associated with overall VBI incidence in fully adjusted models (HR = 2.84, 95% CI: 0.17-48.59). DISCUSSION: Our findings echo previous work that APOE e4 does not appear to have specificity as a risk factor WMH in American Indians. Further research in a larger sample size and as well as how modifiable environmental factors might modify the biological effects of APOE ε4 on brain aging in American Indians is required to validate these findings.",TRUE
41422899,Extracellular vesicle microRNAs as an epigenetic biosignature of arsenic-associated diabetes in the Strong Heart Study.,"The burden of type 2 diabetes mellitus (T2D) is disproportionately higher among American Indian (AI) communities. Arsenic, a ubiquitous water contaminant, is linked to T2D and is common in water sources across AI tribal lands in the Southwest and Great Plains. Extracellular vesicles (EVs) and their microRNA cargo (EV-miRNAs) facilitate intercellular communication and may play a role in arsenic-related T2D pathogenesis through immune dysregulation. This study leveraged data from the Strong Heart Study (SHS) to investigate associations between arsenic exposure and metabolism, EV-miRNA abundance, and T2D-related phenotypes. A total of 719 participants with complete biomarker, demographic, clinical, and urinary arsenic data were included. Generalized estimating equations, accounting for study site-specific differences in arsenic exposure, were used to identify associations with EV-miRNA abundance, adjusting for age, sex, body mass index, smoking status, estimated glomerular filtration rate, education, alcohol consumption, and the first five genetic principal components that capture major genetic variation. Multiple comparisons were corrected using the Bonferroni method. Of the 182 highly abundant EV-miRNAs (≥70 % detection), 38 were significantly associated with total urinary arsenic concentrations (sum of inorganic and methylated arsenic species) (pBonf<0.05), many overlapping with arsenic metabolism species. Forty EV-miRNAs were associated with at least two T2D-related phenotypes (pBonf<0.05), including 18 overlapping with arsenic exposure and metabolism. Analysis of the EV-miRNA cargo associated with arsenic exposure and T2D risk revealed a profound convergence of targets on pathways encompassing cancer, tissue proliferation, and the immune-metabolic axis, providing a novel hypothesis that arsenic may drive T2D progression via a systemic, shared chronic disease mechanism. These findings suggest EV-miRNAs may influence arsenic exposure and metabolism effects on metabolic dysfunction, offering insight into pathways by which environmental inequities contribute to T2D disparities.",2026,"Extracellular vesicle microRNAs as an epigenetic biosignature of arsenic-associated diabetes in the Strong Heart Study. The burden of type 2 diabetes mellitus (T2D) is disproportionately higher among American Indian (AI) communities. Arsenic, a ubiquitous water contaminant, is linked to T2D and is common in water sources across AI tribal lands in the Southwest and Great Plains. Extracellular vesicles (EVs) and their microRNA cargo (EV-miRNAs) facilitate intercellular communication and may play a role in arsenic-related T2D pathogenesis through immune dysregulation. This study leveraged data from the Strong Heart Study (SHS) to investigate associations between arsenic exposure and metabolism, EV-miRNA abundance, and T2D-related phenotypes. A total of 719 participants with complete biomarker, demographic, clinical, and urinary arsenic data were included. Generalized estimating equations, accounting for study site-specific differences in arsenic exposure, were used to identify associations with EV-miRNA abundance, adjusting for age, sex, body mass index, smoking status, estimated glomerular filtration rate, education, alcohol consumption, and the first five genetic principal components that capture major genetic variation. Multiple comparisons were corrected using the Bonferroni method. Of the 182 highly abundant EV-miRNAs (≥70 % detection), 38 were significantly associated with total urinary arsenic concentrations (sum of inorganic and methylated arsenic species) (pBonf<0.05), many overlapping with arsenic metabolism species. Forty EV-miRNAs were associated with at least two T2D-related phenotypes (pBonf<0.05), including 18 overlapping with arsenic exposure and metabolism. Analysis of the EV-miRNA cargo associated with arsenic exposure and T2D risk revealed a profound convergence of targets on pathways encompassing cancer, tissue proliferation, and the immune-metabolic axis, providing a novel hypothesis that arsenic may drive T2D progression via a systemic, shared chronic disease mechanism. These findings suggest EV-miRNAs may influence arsenic exposure and metabolism effects on metabolic dysfunction, offering insight into pathways by which environmental inequities contribute to T2D disparities.",TRUE
