pmid,source
42295276,esearch
42284004,esearch
42051231,esearch
41760975,esearch
41728287,esearch
41640039,esearch
41598372,esearch
41531740,esearch
41497781,esearch
41422899,esearch
41291790,esearch
41264519,esearch
41257223,esearch
41137578,esearch
41126822,esearch
41025491,esearch
40904694,esearch
40887717,esearch
40853530,esearch
40638803,esearch
40588139,esearch
40576375,esearch
40532446,esearch
40518947,esearch
40471206,esearch
40209049,esearch
40072435,esearch
39875529,esearch
39844876,esearch
39842758,esearch
39730985,esearch
39666240,esearch
39640231,esearch
39479324,esearch
39405119,esearch
39336979,esearch
39323093,esearch
39166432,esearch
39154798,esearch
39154409,esearch
39046194,esearch
38976382,esearch
38961273,esearch
38950085,esearch
38903901,esearch
38747387,esearch
38662664,esearch
38656975,esearch
38534131,esearch
38455940,esearch
38375692,esearch
38293910,esearch
38263740,esearch
38215191,esearch
38205795,esearch
38160800,esearch
38133959,esearch
38010586,esearch
37841866,esearch
37558699,esearch
37526878,esearch
37442331,esearch
37364305,esearch
37338127,esearch
37185684,esearch
37185677,esearch
37055600,esearch
36805808,esearch
36653676,esearch
36641671,esearch
36529747,esearch
36453775,esearch
36382957,esearch
36289000,esearch
36223053,esearch
36134919,esearch
36042511,esearch
35977585,esearch
35953607,esearch
35853479,esearch
35787064,esearch
35681244,esearch
35665752,esearch
35658476,esearch
35350849,esearch
35349678,esearch
35181832,esearch
35157091,esearch
35142437,esearch
35114678,esearch
34890900,esearch
34653410,esearch
34428763,esearch
34347013,esearch
34293639,esearch
34167344,esearch
34014718,esearch
34012171,esearch
33954294,esearch
33826413,esearch
33752126,esearch
33632303,esearch
33593402,esearch
33581093,esearch
33332184,esearch
32728124,esearch
32603190,esearch
32494821,esearch
32484362,esearch
32250446,esearch
32101143,esearch
32059145,esearch
31974734,esearch
31791442,esearch
31779614,esearch
31665380,esearch
31648583,esearch
31553638,esearch
31442790,esearch
31343235,esearch
31319598,esearch
31230193,esearch
31189396,esearch
31163423,esearch
31039789,esearch
30924200,esearch
30687583,esearch
30677776,esearch
30629683,esearch
30557805,esearch
30283726,esearch
29940477,esearch
29860472,esearch
29793197,esearch
29605538,esearch
29417315,esearch
28893898,esearch
28775914,esearch
28771557,esearch
28767487,esearch
28554006,esearch
28538087,esearch
28499385,esearch
28486422,esearch
28479390,esearch
28416200,esearch
28399044,esearch
28379891,esearch
28334644,esearch
28259877,esearch
28159195,esearch
28122840,esearch
27870638,esearch
27810857,esearch
27629244,esearch
26945432,esearch
26416876,esearch
26414328,esearch
26250516,esearch
26209557,esearch
25968176,esearch
25929811,esearch
25769626,esearch
25583752,esearch
25063537,esearch
24902894,esearch
24878118,esearch
24769358,esearch
24531129,esearch
24360764,esearch
24321145,esearch
24311711,esearch
24255048,esearch
24154821,esearch
24061511,esearch
23970802,esearch
23800676,esearch
23744404,esearch
23735722,esearch
23644825,esearch
23551734,esearch
23514838,esearch
23322787,esearch
23312704,esearch
23223343,esearch
23142528,esearch
23097256,esearch
23063139,esearch
22841159,esearch
22802089,esearch
22685491,esearch
22534653,esearch
22513821,esearch
22338104,esearch
22235819,esearch
22207511,esearch
22068872,esearch
21942161,esearch
21940153,esearch
21873564,esearch
21852681,esearch
21788631,esearch
21742515,esearch
21558955,esearch
21310490,esearch
21270194,esearch
21257005,esearch
21139862,esearch
21061022,esearch
20578203,esearch
20171062,esearch
20051906,esearch
19850215,esearch
19844184,esearch
19769018,esearch
19750109,esearch
19720957,esearch
19622672,esearch
19576355,esearch
19557714,esearch
19454372,esearch
19161617,esearch
18809797,esearch
18772065,esearch
18716172,esearch
18700015,esearch
18698223,esearch
18674890,esearch
18442502,esearch
18295057,esearch
18188160,esearch
18155529,esearch
18059212,esearch
17684222,esearch
17634270,esearch
17628407,esearch
17599448,esearch
17588719,esearch
17576870,esearch
17485598,esearch
17440172,esearch
17400687,esearch
17381641,esearch
17264875,esearch
17261423,esearch
17233690,esearch
17221274,esearch
17210838,esearch
17023718,esearch
16978385,esearch
16950198,esearch
16937600,esearch
16769914,esearch
16750694,esearch
16733232,esearch
16731856,esearch
16446387,esearch
16442908,esearch
16432042,esearch
16426957,esearch
16380527,esearch
16364827,esearch
16277121,esearch
16254219,esearch
16249281,esearch
16174013,esearch
16116058,esearch
15982837,esearch
15936607,esearch
15842122,esearch
15752946,esearch
15731480,esearch
15711091,esearch
15699438,esearch
15277412,esearch
15194022,esearch
15161777,esearch
15132214,esearch
15076185,esearch
15072729,esearch
15049931,esearch
14970108,esearch
14769809,esearch
14747295,esearch
14732744,esearch
14697463,esearch
14694207,esearch
14514577,esearch
12955795,esearch
12947374,esearch
12798576,esearch
12767442,esearch
12684195,esearch
12684189,esearch
12660670,esearch
12610050,esearch
12604162,esearch
12601620,esearch
12502653,esearch
12477138,esearch
12475459,esearch
12392827,esearch
12145236,esearch
12067912,esearch
12032118,esearch
12029637,esearch
11997279,esearch
11978654,esearch
11880218,esearch
11880217,esearch
11880214,esearch
11876189,esearch
11874937,esearch
11839627,esearch
11772900,esearch
11747846,esearch
11721803,esearch
11711499,esearch
11587163,esearch
11502648,esearch
11448281,esearch
11401136,esearch
11391289,esearch
11377351,esearch
11376315,esearch
11333167,esearch
11279560,esearch
11279559,esearch
11231443,esearch
11171789,esearch
11165964,esearch
11074205,esearch
11011907,esearch
10951530,esearch
10942881,esearch
10933358,esearch
10918531,esearch
10885187,esearch
10868828,esearch
10811594,esearch
10712410,esearch
10618305,esearch
10546011,esearch
10526741,esearch
10318659,esearch
10025475,esearch
9843460,esearch
9801017,esearch
9754817,esearch
9702430,esearch
9620042,esearch
9565936,esearch
9493915,esearch
9409247,esearch
9315526,esearch
9279832,esearch
9194507,esearch
9177105,esearch
9135938,esearch
8970414,esearch
8857486,esearch
8904922,esearch
8707391,esearch
8696954,esearch
8674894,esearch
8898773,esearch
7631631,esearch
7631630,esearch
8585996,esearch
7956638,esearch
8160919,esearch
1526334,esearch
2260546,esearch
