author_id,n_papers,paper_share
Manson JE,614,0.17709835592731468
Stefanick ML,311,0.08970291318142486
Wactawski-Wende J,301,0.08681857513700605
Chlebowski RT,295,0.08508797231035477
Shadyab AH,279,0.08047303143928468
LaCroix AZ,221,0.06374387078165561
Tinker LF,216,0.06230170175944621
Wallace RB,189,0.05451398903951543
Prentice RL,187,0.05393712143063167
Rohan TE,183,0.052783386212864145
Neuhouser ML,181,0.05220651860398039
Wassertheil-Smoller S,178,0.051341217190654743
Johnson KC,172,0.049610614364003464
Liu S,158,0.04557254110181713
Allison M,155,0.04470723968849149
Anderson GL,150,0.04326507066628209
Lane DS,144,0.04153446783963081
Eaton CB,143,0.04124603403518892
Cauley JA,133,0.03836169599077012
Aragaki AK,131,0.037784828381886355
Howard BV,129,0.0372079607730026
Kooperberg C,122,0.03518892414190943
Snetselaar L,122,0.03518892414190943
LaMonte MJ,121,0.03490049033746755
Thomson CA,117,0.03374675511970003
Jackson RD,112,0.03230458609749062
Espeland MA,110,0.031727718488606865
Kuller LH,108,0.031150850879723104
Luo J,107,0.030862417075281222
Martin LW,105,0.03028554946639746
Ockene JK,102,0.02942024805307182
Saquib N,102,0.02942024805307182
Margolis KL,101,0.02913181424862994
Vitolins MZ,101,0.02913181424862994
Van Horn L,97,0.027978079030862416
Pettinger M,94,0.027112777617536776
Robinson JG,90,0.025959042399769254
Larson JC,89,0.025670608595327372
Rossouw JE,89,0.025670608595327372
Simon MS,89,0.025670608595327372
Whitsel EA,88,0.025382174790885493
Reiner AP,87,0.02509374098644361
Women's Health Initiative Investigators,87,0.02509374098644361
Rapp SR,86,0.024805307182001732
Qi L,85,0.02451687337755985
Shikany JM,83,0.02394000576867609
Cochrane BB,78,0.022497836746466687
Caan B,75,0.021632535333141044
Garcia L,75,0.021632535333141044
Crandall CJ,73,0.021055667724257283
Chen Z,72,0.020767233919815404
Beresford SA,68,0.01961349870204788
Gass M,66,0.01903663109316412
Sarto GE,66,0.01903663109316412
Resnick SM,64,0.018459763484280356
Shumaker SA,64,0.018459763484280356
Hovey KM,63,0.018171329679838477
Kroenke CH,63,0.018171329679838477
Nassir R,63,0.018171329679838477
Robbins J,62,0.017882895875396595
Bea JW,61,0.017594462070954716
Paskett ED,61,0.017594462070954716
Mossavar-Rahmani Y,60,0.017306028266512834
Tindle HA,60,0.017306028266512834
Zaslavsky O,60,0.017306028266512834
Li W,58,0.016729160657629073
Phillips LS,58,0.016729160657629073
Brunner RL,57,0.016440726853187194
Hendrix SL,57,0.016440726853187194
Pan K,57,0.016440726853187194
Lewis CE,56,0.01615229304874531
Hou L,54,0.015575425439861552
McTiernan A,54,0.015575425439861552
Jung SY,53,0.015286991635419672
Woods NF,53,0.015286991635419672
LeBlanc ES,52,0.014998557830977791
Naughton MJ,52,0.014998557830977791
Haring B,51,0.01471012402653591
Langer RD,51,0.01471012402653591
Chen JC,49,0.01413325641765215
Hsia J,48,0.013844822613210269
Wild RA,47,0.013556388808768388
Ho GY,46,0.013267955004326508
Limacher M,46,0.013267955004326508
Curb JD,45,0.012979521199884627
Huang Y,45,0.012979521199884627
Kabat GC,45,0.012979521199884627
O'Sullivan MJ,44,0.012691087395442746
Tabung FK,44,0.012691087395442746
Li Y,42,0.012114219786558985
Chen C,41,0.011825785982117105
Hayden KM,41,0.011825785982117105
Michael YL,41,0.011825785982117105
Rodabough RJ,40,0.011537352177675224
Andrews CA,39,0.011248918373233344
Millen AE,39,0.011248918373233344
Strickler HD,39,0.011248918373233344
Rosal MC,38,0.010960484568791463
Hendryx M,37,0.010672050764349583
Weitlauf JC,37,0.010672050764349583
Lampe JW,36,0.010383616959907702
LeBoff MS,36,0.010383616959907702
Ochs-Balcom HM,36,0.010383616959907702
Song Y,36,0.010383616959907702
Balasubramanian R,35,0.010095183155465821
Casanova R,35,0.010095183155465821
Reding KW,35,0.010095183155465821
Mouton CP,33,0.00951831554658206
Rexrode KM,33,0.00951831554658206
Franceschini N,32,0.009229881742140178
Liu J,32,0.009229881742140178
Zhang ZF,32,0.009229881742140178
Horvath S,31,0.008941447937698297
Hubbell FA,31,0.008941447937698297
Kim MY,31,0.008941447937698297
Schnatz PF,31,0.008941447937698297
Stewart JD,31,0.008941447937698297
Bird CE,30,0.008653014133256417
Greenland P,30,0.008653014133256417
Gunter MJ,30,0.008653014133256417
Ray RM,30,0.008653014133256417
Peters U,29,0.008364580328814536
Rillamas-Sun E,29,0.008364580328814536
Sun Y,29,0.008364580328814536
Assimes TL,28,0.008076146524372656
Di C,28,0.008076146524372656
Banack HR,27,0.007787712719930776
Barac A,27,0.007787712719930776
Cheng TD,27,0.007787712719930776
Desai P,27,0.007787712719930776
Hale L,27,0.007787712719930776
Kaplan RC,27,0.007787712719930776
Safford MM,27,0.007787712719930776
Salmoirago-Blotcher E,27,0.007787712719930776
Xue X,27,0.007787712719930776
Coker LH,26,0.0074992789154888955
Goveas JS,26,0.0074992789154888955
Mueck AO,26,0.0074992789154888955
Seguin RA,26,0.0074992789154888955
Stevenson JC,26,0.0074992789154888955
Zheng C,26,0.0074992789154888955
Heiss G,25,0.007210845111047015
Kotchen JM,25,0.007210845111047015
Masaki K,25,0.007210845111047015
Adams-Campbell LL,24,0.006922411306605134
Brzyski RG,24,0.006922411306605134
Lobo RA,24,0.006922411306605134
Reeves KW,24,0.006922411306605134
Sealy-Jefferson S,24,0.006922411306605134
Wang X,24,0.006922411306605134
Bassford T,23,0.006633977502163254
Bowen DJ,23,0.006633977502163254
Brasky TM,23,0.006633977502163254
Cushman M,23,0.006633977502163254
Desai M,23,0.006633977502163254
Garcia DO,23,0.006633977502163254
Hedlin H,23,0.006633977502163254
Henderson VW,23,0.006633977502163254
Hlatky MA,23,0.006633977502163254
Ma Y,23,0.006633977502163254
Perez MV,23,0.006633977502163254
Waring ME,23,0.006633977502163254
Wertheim BC,23,0.006633977502163254
Coday M,22,0.006345543697721373
Crane TE,22,0.006345543697721373
Lacroix AZ,22,0.006345543697721373
Laddu D,22,0.006345543697721373
Patterson RE,22,0.006345543697721373
Thomas F,22,0.006345543697721373
Zhang Y,22,0.006345543697721373
Bellettiere J,21,0.006057109893279493
Chui HC,21,0.006057109893279493
Gray SL,21,0.006057109893279493
Tang JY,21,0.006057109893279493
Wang CY,21,0.006057109893279493
Chen BH,20,0.005768676088837612
Follis S,20,0.005768676088837612
Hogan PE,20,0.005768676088837612
Kamensky V,20,0.005768676088837612
Kaufman JD,20,0.005768676088837612
Kaunitz AM,20,0.005768676088837612
Li CI,20,0.005768676088837612
Maki PM,20,0.005768676088837612
Messina C,20,0.005768676088837612
Ritenbaugh C,20,0.005768676088837612
Roberts MB,20,0.005768676088837612
Song X,20,0.005768676088837612
Watts NB,20,0.005768676088837612
Wellenius GA,20,0.005768676088837612
Assaf AR,19,0.0054802422843957315
Beavers DP,19,0.0054802422843957315
Chan KHK,19,0.0054802422843957315
Gaussoin SA,19,0.0054802422843957315
Genco RJ,19,0.0054802422843957315
Going SB,19,0.0054802422843957315
Harris HR,19,0.0054802422843957315
Heckbert SR,19,0.0054802422843957315
Li J,19,0.0054802422843957315
Liao D,19,0.0054802422843957315
North KE,19,0.0054802422843957315
Odegaard AO,19,0.0054802422843957315
Snively BM,19,0.0054802422843957315
Trevisan M,19,0.0054802422843957315
Wu L,19,0.0054802422843957315
Zhang X,19,0.0054802422843957315
Baccarelli AA,18,0.005191808479953851
Barrington WE,18,0.005191808479953851
Bhatti P,18,0.005191808479953851
Carbone LD,18,0.005191808479953851
Carty CL,18,0.005191808479953851
Chang Y,18,0.005191808479953851
Ensrud KE,18,0.005191808479953851
Evenson KR,18,0.005191808479953851
Hays J,18,0.005191808479953851
Lee IM,18,0.005191808479953851
Liu L,18,0.005191808479953851
Mackey RH,18,0.005191808479953851
Mares JA,18,0.005191808479953851
Orchard TS,18,0.005191808479953851
Trabert B,18,0.005191808479953851
Wu C,18,0.005191808479953851
Beasley JM,17,0.00490337467551197
Beydoun HA,17,0.00490337467551197
Bick AG,17,0.00490337467551197
Cespedes Feliciano EM,17,0.00490337467551197
Clish CB,17,0.00490337467551197
Cote ML,17,0.00490337467551197
Gatz M,17,0.00490337467551197
Hankinson SE,17,0.00490337467551197
Lasser NL,17,0.00490337467551197
Lessin L,17,0.00490337467551197
Nelson RA,17,0.00490337467551197
Rodriguez BL,17,0.00490337467551197
Stone KL,17,0.00490337467551197
Womack CR,17,0.00490337467551197
Wright NC,17,0.00490337467551197
Yasmeen S,17,0.00490337467551197
Zheng Y,17,0.00490337467551197
Bao W,16,0.004614940871070089
Barad DH,16,0.004614940871070089
Barnabei VM,16,0.004614940871070089
Cook NR,16,0.004614940871070089
De Roos AJ,16,0.004614940871070089
Driscoll I,16,0.004614940871070089
Farland LV,16,0.004614940871070089
Freudenheim JL,16,0.004614940871070089
Hunt JR,16,0.004614940871070089
Kato I,16,0.004614940871070089
Klein L,16,0.004614940871070089
McLaughlin EM,16,0.004614940871070089
Nguyen S,16,0.004614940871070089
Petkus AJ,16,0.004614940871070089
Pines A,16,0.004614940871070089
Raffield LM,16,0.004614940871070089
WHI Investigators,16,0.004614940871070089
Xu X,16,0.004614940871070089
Arthur R,15,0.004326507066628208
Auer PL,15,0.004326507066628208
Black HR,15,0.004326507066628208
Freiberg MS,15,0.004326507066628208
Haan MN,15,0.004326507066628208
Manini TM,15,0.004326507066628208
Mortimer JE,15,0.004326507066628208
Newton KM,15,0.004326507066628208
Oberman A,15,0.004326507066628208
Pfeiffer RM,15,0.004326507066628208
Raftery D,15,0.004326507066628208
Shapiro S,15,0.004326507066628208
Thornton TA,15,0.004326507066628208
Walitt BT,15,0.004326507066628208
Younan D,15,0.004326507066628208
Bonds DE,14,0.004038073262186328
Cené CW,14,0.004038073262186328
Ferrucci L,14,0.004038073262186328
Hu FB,14,0.004038073262186328
Krok-Schoen JL,14,0.004038073262186328
Natarajan P,14,0.004038073262186328
Newcomb PA,14,0.004038073262186328
Phipps AI,14,0.004038073262186328
Prineas RJ,14,0.004038073262186328
Redline S,14,0.004038073262186328
Steck SE,14,0.004038073262186328
Vasbinder A,14,0.004038073262186328
Wang T,14,0.004038073262186328
White E,14,0.004038073262186328
Beydoun MA,13,0.0037496394577444477
Cheng RK,13,0.0037496394577444477
Collins JM,13,0.0037496394577444477
Foraker RE,13,0.0037496394577444477
Gallo LC,13,0.0037496394577444477
Genazzani AR,13,0.0037496394577444477
Giovannucci EL,13,0.0037496394577444477
Hodis HN,13,0.0037496394577444477
Honigberg MC,13,0.0037496394577444477
Jiang X,13,0.0037496394577444477
Jordahl KM,13,0.0037496394577444477
Liu B,13,0.0037496394577444477
Parikh NI,13,0.0037496394577444477
Sturgeon SR,13,0.0037496394577444477
Taylor HS,13,0.0037496394577444477
Wakelee H,13,0.0037496394577444477
Wang A,13,0.0037496394577444477
Wang L,13,0.0037496394577444477
Yaffe K,13,0.0037496394577444477
Baker LD,12,0.003461205653302567
Berger JS,12,0.003461205653302567
Breathett K,12,0.003461205653302567
Harman SM,12,0.003461205653302567
Hingle M,12,0.003461205653302567
Hsu L,12,0.003461205653302567
Huang T,12,0.003461205653302567
Hébert JR,12,0.003461205653302567
Ko MG,12,0.003461205653302567
Lee JS,12,0.003461205653302567
Lehman A,12,0.003461205653302567
Levy D,12,0.003461205653302567
Naftolin F,12,0.003461205653302567
Pal L,12,0.003461205653302567
Pennell ML,12,0.003461205653302567
Ridker PM,12,0.003461205653302567
Roe DJ,12,0.003461205653302567
Rosenberg CA,12,0.003461205653302567
Rotter JI,12,0.003461205653302567
Sattari M,12,0.003461205653302567
Shivappa N,12,0.003461205653302567
Simon JA,12,0.003461205653302567
Smoller JW,12,0.003461205653302567
Sobel EM,12,0.003461205653302567
Vaughan L,12,0.003461205653302567
Wentzensen N,12,0.003461205653302567
Wilson JG,12,0.003461205653302567
Women’s Health Initiative Investigators,12,0.003461205653302567
Wylie-Rosett J,12,0.003461205653302567
Yanosky JD,12,0.003461205653302567
Yu H,12,0.003461205653302567
Bauer DC,11,0.0031727718488606866
Beck TJ,11,0.0031727718488606866
Blodi BA,11,0.0031727718488606866
Brinton LA,11,0.0031727718488606866
Burger HG,11,0.0031727718488606866
Corbie-Smith G,11,0.0031727718488606866
Datta M,11,0.0031727718488606866
Daviglus ML,11,0.0031727718488606866
Falk RT,11,0.0031727718488606866
Granek I,11,0.0031727718488606866
Irwin ML,11,0.0031727718488606866
Jiao L,11,0.0031727718488606866
Johnson M,11,0.0031727718488606866
Jordan VC,11,0.0031727718488606866
Khandekar J,11,0.0031727718488606866
Liang X,11,0.0031727718488606866
Lopez AM,11,0.0031727718488606866
Lu AT,11,0.0031727718488606866
Lu B,11,0.0031727718488606866
Miller JW,11,0.0031727718488606866
Miller VM,11,0.0031727718488606866
Navarro SL,11,0.0031727718488606866
Ockene I,11,0.0031727718488606866
Peila R,11,0.0031727718488606866
Qi Q,11,0.0031727718488606866
Rees M,11,0.0031727718488606866
Santen RJ,11,0.0031727718488606866
Schenken RS,11,0.0031727718488606866
Serre ML,11,0.0031727718488606866
Stampfer MJ,11,0.0031727718488606866
Ulrich CM,11,0.0031727718488606866
Wang H,11,0.0031727718488606866
Wang Y,11,0.0031727718488606866
Wenger NK,11,0.0031727718488606866
Wong ND,11,0.0031727718488606866
Zhang J,11,0.0031727718488606866
Albert CM,10,0.002884338044418806
Asthana S,10,0.002884338044418806
Bassuk SS,10,0.002884338044418806
Brinton RD,10,0.002884338044418806
Chen L,10,0.002884338044418806
Duggan DJ,10,0.002884338044418806
Felix AS,10,0.002884338044418806
Gleason CE,10,0.002884338044418806
Gondalia R,10,0.002884338044418806
Gowda GAN,10,0.002884338044418806
Grodstein F,10,0.002884338044418806
Haessler J,10,0.002884338044418806
Hanash SM,10,0.002884338044418806
Harris WS,10,0.002884338044418806
He K,10,0.002884338044418806
Hebert JR,10,0.002884338044418806
Kapphahn K,10,0.002884338044418806
Kubo J,10,0.002884338044418806
Lamonte MJ,10,0.002884338044418806
Leboff MS,10,0.002884338044418806
Lee DJ,10,0.002884338044418806
Leng X,10,0.002884338044418806
Liu Z,10,0.002884338044418806
Lloyd-Jones DM,10,0.002884338044418806
Matthews KA,10,0.002884338044418806
McEvoy LK,10,0.002884338044418806
McGinn AP,10,0.002884338044418806
Mu L,10,0.002884338044418806
Papp JC,10,0.002884338044418806
Pichardo MS,10,0.002884338044418806
Rajpathak SN,10,0.002884338044418806
Richey PA,10,0.002884338044418806
Ryckman KK,10,0.002884338044418806
Santoro N,10,0.002884338044418806
Schwartz AG,10,0.002884338044418806
Silver B,10,0.002884338044418806
Sofer T,10,0.002884338044418806
Stanczyk FZ,10,0.002884338044418806
Sullivan SD,10,0.002884338044418806
Tang H,10,0.002884338044418806
Thompson PA,10,0.002884338044418806
Vasan S,10,0.002884338044418806
Wells GL,10,0.002884338044418806
Willett WC,10,0.002884338044418806
Wu Q,10,0.002884338044418806
You NC,10,0.002884338044418806
Young A,10,0.002884338044418806
Zonderman AB,10,0.002884338044418806
Anton-Culver H,9,0.0025959042399769255
Beebe-Dimmer JL,9,0.0025959042399769255
Brinton EA,9,0.0025959042399769255
Buchner DM,9,0.0025959042399769255
Conneely KN,9,0.0025959042399769255
Cummings SR,9,0.0025959042399769255
Farmer RD,9,0.0025959042399769255
Gower EW,9,0.0025959042399769255
Ikramuddin F,9,0.0025959042399769255
Kraft P,9,0.0025959042399769255
Lavasani S,9,0.0025959042399769255
Lee C,9,0.0025959042399769255
Legault C,9,0.0025959042399769255
Liese AD,9,0.0025959042399769255
Lin JH,9,0.0025959042399769255
Liu Q,9,0.0025959042399769255
Liu Y,9,0.0025959042399769255
Madsen TE,9,0.0025959042399769255
McNeeley SG,9,0.0025959042399769255
Meliker JR,9,0.0025959042399769255
Mikkola TS,9,0.0025959042399769255
Nelson DA,9,0.0025959042399769255
Nie J,9,0.0025959042399769255
Nudy M,9,0.0025959042399769255
Page DL,9,0.0025959042399769255
Pasquale LR,9,0.0025959042399769255
Paynter NP,9,0.0025959042399769255
Pickar JH,9,0.0025959042399769255
Pollak MN,9,0.0025959042399769255
Rajkovic A,9,0.0025959042399769255
Reed SD,9,0.0025959042399769255
Rifai N,9,0.0025959042399769255
Seldin MF,9,0.0025959042399769255
Shih RA,9,0.0025959042399769255
Shufelt C,9,0.0025959042399769255
Sims ST,9,0.0025959042399769255
Smith RL,9,0.0025959042399769255
Soliman EZ,9,0.0025959042399769255
Spracklen CN,9,0.0025959042399769255
Tylavsky FA,9,0.0025959042399769255
Vizuete W,9,0.0025959042399769255
Whitlock E,9,0.0025959042399769255
Williamson J,9,0.0025959042399769255
Archer DF,8,0.0023074704355350445
Baird AE,8,0.0023074704355350445
Barrett-Connor E,8,0.0023074704355350445
Bock CH,8,0.0023074704355350445
Buist DS,8,0.0023074704355350445
Buring JE,8,0.0023074704355350445
Chang S,8,0.0023074704355350445
Chen GC,8,0.0023074704355350445
Cirillo DJ,8,0.0023074704355350445
Criqui MH,8,0.0023074704355350445
Curb D,8,0.0023074704355350445
Eliassen AH,8,0.0023074704355350445
Gambacciani M,8,0.0023074704355350445
Gompel A,8,0.0023074704355350445
Harrington LB,8,0.0023074704355350445
Henderson MT,8,0.0023074704355350445
Heo M,8,0.0023074704355350445
Hu C,8,0.0023074704355350445
Iglesia CB,8,0.0023074704355350445
Jaiswal S,8,0.0023074704355350445
Kohler LN,8,0.0023074704355350445
Kripke DF,8,0.0023074704355350445
Lakshminarayan K,8,0.0023074704355350445
Li S,8,0.0023074704355350445
Lin X,8,0.0023074704355350445
Lo K,8,0.0023074704355350445
Ma J,8,0.0023074704355350445
Maihofer AX,8,0.0023074704355350445
Nievergelt CM,8,0.0023074704355350445
Nygaard IE,8,0.0023074704355350445
Parada H,8,0.0023074704355350445
Parks CG,8,0.0023074704355350445
Perri MG,8,0.0023074704355350445
Rich SS,8,0.0023074704355350445
Rossom RC,8,0.0023074704355350445
Sachs BC,8,0.0023074704355350445
Schoeller DA,8,0.0023074704355350445
Seeger H,8,0.0023074704355350445
Shaw PA,8,0.0023074704355350445
Shimbo D,8,0.0023074704355350445
Sitruk-Ware R,8,0.0023074704355350445
Taylor KD,8,0.0023074704355350445
Thomas A,8,0.0023074704355350445
Wang D,8,0.0023074704355350445
White DL,8,0.0023074704355350445
Widaman K,8,0.0023074704355350445
Williams RS,8,0.0023074704355350445
Wu G,8,0.0023074704355350445
Yu B,8,0.0023074704355350445
Zeleznik OA,8,0.0023074704355350445
Abrams J,7,0.002019036631093164
Bailey LB,7,0.002019036631093164
Bastian LA,7,0.002019036631093164
Bell CL,7,0.002019036631093164
Bolland MJ,7,0.002019036631093164
Bray PF,7,0.002019036631093164
Brennan K,7,0.002019036631093164
Brown EC,7,0.002019036631093164
Bushnell CD,7,0.002019036631093164
Carlson CS,7,0.002019036631093164
Chan AA,7,0.002019036631093164
Chen Y,7,0.002019036631093164
Clinton SK,7,0.002019036631093164
Crawford S,7,0.002019036631093164
Dai JY,7,0.002019036631093164
Danhauer SC,7,0.002019036631093164
Denburg NL,7,0.002019036631093164
Depp CA,7,0.002019036631093164
Donneyong M,7,0.002019036631093164
Edlefsen KL,7,0.002019036631093164
El-Serag HB,7,0.002019036631093164
Fornage M,7,0.002019036631093164
Fuchs CS,7,0.002019036631093164
George SM,7,0.002019036631093164
Gomez SE,7,0.002019036631093164
Gray KE,7,0.002019036631093164
Guan W,7,0.002019036631093164
Hartz A,7,0.002019036631093164
Hastert TA,7,0.002019036631093164
Herrington DM,7,0.002019036631093164
Hohensee C,7,0.002019036631093164
Holahan CJ,7,0.002019036631093164
Hsu YH,7,0.002019036631093164
Hunt RP,7,0.002019036631093164
Hutter CM,7,0.002019036631093164
Isasi CR,7,0.002019036631093164
Jeste DV,7,0.002019036631093164
Jiang L,7,0.002019036631093164
Jin Q,7,0.002019036631093164
Johnson L,7,0.002019036631093164
Johnson SR,7,0.002019036631093164
Justice AE,7,0.002019036631093164
Khalil RA,7,0.002019036631093164
Kubzansky LD,7,0.002019036631093164
Li X,7,0.002019036631093164
Lopez-Pentecost M,7,0.002019036631093164
Lumsden MA,7,0.002019036631093164
Lynch JK,7,0.002019036631093164
Mai X,7,0.002019036631093164
Marsden J,7,0.002019036631093164
McTigue KM,7,0.002019036631093164
Michels KB,7,0.002019036631093164
Millstein J,7,0.002019036631093164
Moeller SM,7,0.002019036631093164
Moreland LW,7,0.002019036631093164
Mysiw WJ,7,0.002019036631093164
Olendzki BC,7,0.002019036631093164
Panay N,7,0.002019036631093164
Park HL,7,0.002019036631093164
Parker LM,7,0.002019036631093164
Pellegrini M,7,0.002019036631093164
Pinkerton JV,7,0.002019036631093164
Powell L,7,0.002019036631093164
Powers DA,7,0.002019036631093164
Psaty BM,7,0.002019036631093164
Rautaharju PM,7,0.002019036631093164
Reid IR,7,0.002019036631093164
Rhee JJ,7,0.002019036631093164
Ringa V,7,0.002019036631093164
Rosner BA,7,0.002019036631093164
Schnall E,7,0.002019036631093164
Schonberg MA,7,0.002019036631093164
Seguin-Fowler RA,7,0.002019036631093164
Sepavich DM,7,0.002019036631093164
Sesso HD,7,0.002019036631093164
Sherwin BB,7,0.002019036631093164
Smith JC,7,0.002019036631093164
Speroff L,7,0.002019036631093164
Springfield S,7,0.002019036631093164
Studd J,7,0.002019036631093164
Uddin MM,7,0.002019036631093164
Valdiviezo C,7,0.002019036631093164
Virnig BA,7,0.002019036631093164
Von Ah D,7,0.002019036631093164
Wang SM,7,0.002019036631093164
Winkelmayer WC,7,0.002019036631093164
Wise PM,7,0.002019036631093164
Wu WC,7,0.002019036631093164
Zelber-Sagi S,7,0.002019036631093164
Zhang B,7,0.002019036631093164
Zhao S,7,0.002019036631093164
Avery CL,6,0.0017306028266512836
Ballinger TJ,6,0.0017306028266512836
Barlow D,6,0.0017306028266512836
Bavry AA,6,0.0017306028266512836
Bertone-Johnson ER,6,0.0017306028266512836
Bigelow C,6,0.0017306028266512836
Brenes GA,6,0.0017306028266512836
Bressler J,6,0.0017306028266512836
Brown CM,6,0.0017306028266512836
Buyske S,6,0.0017306028266512836
Cai J,6,0.0017306028266512836
Cannell B,6,0.0017306028266512836
Carlsson CM,6,0.0017306028266512836
Caudill MA,6,0.0017306028266512836
Chappell RJ,6,0.0017306028266512836
Clarkson TB,6,0.0017306028266512836
Col NF,6,0.0017306028266512836
Connelly MT,6,0.0017306028266512836
Connelly S,6,0.0017306028266512836
Correa A,6,0.0017306028266512836
Cui Y,6,0.0017306028266512836
Dailey M,6,0.0017306028266512836
Deane KD,6,0.0017306028266512836
Demerath EW,6,0.0017306028266512836
Edwards TL,6,0.0017306028266512836
Eliot MN,6,0.0017306028266512836
Freeman R,6,0.0017306028266512836
Gaziano JM,6,0.0017306028266512836
Gehrs KM,6,0.0017306028266512836
Giri A,6,0.0017306028266512836
Gradidge PJ,6,0.0017306028266512836
Green R,6,0.0017306028266512836
Greenberg JA,6,0.0017306028266512836
Grey A,6,0.0017306028266512836
Groessl EJ,6,0.0017306028266512836
Grothaus LC,6,0.0017306028266512836
Han J,6,0.0017306028266512836
Haque R,6,0.0017306028266512836
Haskell SG,6,0.0017306028266512836
Hindorff LA,6,0.0017306028266512836
Holliday KM,6,0.0017306028266512836
Howard AG,6,0.0017306028266512836
Hunt J,6,0.0017306028266512836
Jacobs ET,6,0.0017306028266512836
Jones BN,6,0.0017306028266512836
Kagan R,6,0.0017306028266512836
Katon JG,6,0.0017306028266512836
Kazlauskaite R,6,0.0017306028266512836
Kelsey KT,6,0.0017306028266512836
Kitzman JO,6,0.0017306028266512836
Klein BE,6,0.0017306028266512836
Klein ML,6,0.0017306028266512836
Klimentidis YC,6,0.0017306028266512836
