period,period_start,period_end,metric,value,top_x,cluster,domain
"Domain 1: cancer, breast, colorectal, lung",NA,NA,n_papers,568,NA,1,"Domain 1: cancer, breast, colorectal, lung"
"Domain 1: cancer, breast, colorectal, lung",NA,NA,n_authors,1598,NA,1,"Domain 1: cancer, breast, colorectal, lung"
"Domain 1: cancer, breast, colorectal, lung",NA,NA,hhi,0.4716481104939474,NA,1,"Domain 1: cancer, breast, colorectal, lung"
"Domain 1: cancer, breast, colorectal, lung",NA,NA,top_x_share,0.33274647887323944,1,1,"Domain 1: cancer, breast, colorectal, lung"
"Domain 1: cancer, breast, colorectal, lung",NA,NA,top_x_share,0.49119718309859156,3,1,"Domain 1: cancer, breast, colorectal, lung"
"Domain 1: cancer, breast, colorectal, lung",NA,NA,top_x_share,0.5492957746478874,5,1,"Domain 1: cancer, breast, colorectal, lung"
"Domain 1: cancer, breast, colorectal, lung",NA,NA,top_x_share,0.6549295774647887,10,1,"Domain 1: cancer, breast, colorectal, lung"
"Domain 2: diabetes, dietary, physical, intake",NA,NA,n_papers,1446,NA,2,"Domain 2: diabetes, dietary, physical, intake"
"Domain 2: diabetes, dietary, physical, intake",NA,NA,n_authors,3493,NA,2,"Domain 2: diabetes, dietary, physical, intake"
"Domain 2: diabetes, dietary, physical, intake",NA,NA,hhi,0.30694729008719507,NA,2,"Domain 2: diabetes, dietary, physical, intake"
"Domain 2: diabetes, dietary, physical, intake",NA,NA,top_x_share,0.27040110650069155,1,2,"Domain 2: diabetes, dietary, physical, intake"
"Domain 2: diabetes, dietary, physical, intake",NA,NA,top_x_share,0.4190871369294606,3,2,"Domain 2: diabetes, dietary, physical, intake"
"Domain 2: diabetes, dietary, physical, intake",NA,NA,top_x_share,0.5110650069156293,5,2,"Domain 2: diabetes, dietary, physical, intake"
"Domain 2: diabetes, dietary, physical, intake",NA,NA,top_x_share,0.607192254495159,10,2,"Domain 2: diabetes, dietary, physical, intake"
"Domain 3: cee, mpa, placebo, alone",NA,NA,n_papers,90,NA,3,"Domain 3: cee, mpa, placebo, alone"
"Domain 3: cee, mpa, placebo, alone",NA,NA,n_authors,383,NA,3,"Domain 3: cee, mpa, placebo, alone"
"Domain 3: cee, mpa, placebo, alone",NA,NA,hhi,0.7529629629629713,NA,3,"Domain 3: cee, mpa, placebo, alone"
"Domain 3: cee, mpa, placebo, alone",NA,NA,top_x_share,0.4111111111111111,1,3,"Domain 3: cee, mpa, placebo, alone"
"Domain 3: cee, mpa, placebo, alone",NA,NA,top_x_share,0.5111111111111111,3,3,"Domain 3: cee, mpa, placebo, alone"
"Domain 3: cee, mpa, placebo, alone",NA,NA,top_x_share,0.5888888888888889,5,3,"Domain 3: cee, mpa, placebo, alone"
"Domain 3: cee, mpa, placebo, alone",NA,NA,top_x_share,0.6,10,3,"Domain 3: cee, mpa, placebo, alone"
"Domain 5: fracture, bmd, hip, fractures",NA,NA,n_papers,157,NA,5,"Domain 5: fracture, bmd, hip, fractures"
"Domain 5: fracture, bmd, hip, fractures",NA,NA,n_authors,484,NA,5,"Domain 5: fracture, bmd, hip, fractures"
"Domain 5: fracture, bmd, hip, fractures",NA,NA,hhi,0.7909854355146384,NA,5,"Domain 5: fracture, bmd, hip, fractures"
"Domain 5: fracture, bmd, hip, fractures",NA,NA,top_x_share,0.4267515923566879,1,5,"Domain 5: fracture, bmd, hip, fractures"
"Domain 5: fracture, bmd, hip, fractures",NA,NA,top_x_share,0.643312101910828,3,5,"Domain 5: fracture, bmd, hip, fractures"
"Domain 5: fracture, bmd, hip, fractures",NA,NA,top_x_share,0.6751592356687898,5,5,"Domain 5: fracture, bmd, hip, fractures"
"Domain 5: fracture, bmd, hip, fractures",NA,NA,top_x_share,0.7452229299363057,10,5,"Domain 5: fracture, bmd, hip, fractures"
"Domain 6: sleep, insomnia, duration, quality",NA,NA,n_papers,91,NA,6,"Domain 6: sleep, insomnia, duration, quality"
"Domain 6: sleep, insomnia, duration, quality",NA,NA,n_authors,463,NA,6,"Domain 6: sleep, insomnia, duration, quality"
"Domain 6: sleep, insomnia, duration, quality",NA,NA,hhi,0.27472527472527897,NA,6,"Domain 6: sleep, insomnia, duration, quality"
"Domain 6: sleep, insomnia, duration, quality",NA,NA,top_x_share,0.23076923076923078,1,6,"Domain 6: sleep, insomnia, duration, quality"
"Domain 6: sleep, insomnia, duration, quality",NA,NA,top_x_share,0.3956043956043956,3,6,"Domain 6: sleep, insomnia, duration, quality"
"Domain 6: sleep, insomnia, duration, quality",NA,NA,top_x_share,0.45054945054945056,5,6,"Domain 6: sleep, insomnia, duration, quality"
"Domain 6: sleep, insomnia, duration, quality",NA,NA,top_x_share,0.5604395604395604,10,6,"Domain 6: sleep, insomnia, duration, quality"
"Domain 7: estrogen, therapy, hormone, menopause",NA,NA,n_papers,908,NA,7,"Domain 7: estrogen, therapy, hormone, menopause"
"Domain 7: estrogen, therapy, hormone, menopause",NA,NA,n_authors,2261,NA,7,"Domain 7: estrogen, therapy, hormone, menopause"
"Domain 7: estrogen, therapy, hormone, menopause",NA,NA,hhi,0.022990694560344936,NA,7,"Domain 7: estrogen, therapy, hormone, menopause"
"Domain 7: estrogen, therapy, hormone, menopause",NA,NA,top_x_share,0.06938325991189427,1,7,"Domain 7: estrogen, therapy, hormone, menopause"
"Domain 7: estrogen, therapy, hormone, menopause",NA,NA,top_x_share,0.10242290748898679,3,7,"Domain 7: estrogen, therapy, hormone, menopause"
"Domain 7: estrogen, therapy, hormone, menopause",NA,NA,top_x_share,0.11894273127753303,5,7,"Domain 7: estrogen, therapy, hormone, menopause"
"Domain 7: estrogen, therapy, hormone, menopause",NA,NA,top_x_share,0.16519823788546256,10,7,"Domain 7: estrogen, therapy, hormone, menopause"
"Domain 8: hrt, replacement, therapy, hormone",NA,NA,n_papers,207,NA,8,"Domain 8: hrt, replacement, therapy, hormone"
"Domain 8: hrt, replacement, therapy, hormone",NA,NA,n_authors,617,NA,8,"Domain 8: hrt, replacement, therapy, hormone"
"Domain 8: hrt, replacement, therapy, hormone",NA,NA,hhi,0.024247940442016853,NA,8,"Domain 8: hrt, replacement, therapy, hormone"
"Domain 8: hrt, replacement, therapy, hormone",NA,NA,top_x_share,0.04830917874396135,1,8,"Domain 8: hrt, replacement, therapy, hormone"
"Domain 8: hrt, replacement, therapy, hormone",NA,NA,top_x_share,0.10628019323671498,3,8,"Domain 8: hrt, replacement, therapy, hormone"
"Domain 8: hrt, replacement, therapy, hormone",NA,NA,top_x_share,0.1932367149758454,5,8,"Domain 8: hrt, replacement, therapy, hormone"
"Domain 8: hrt, replacement, therapy, hormone",NA,NA,top_x_share,0.1932367149758454,10,8,"Domain 8: hrt, replacement, therapy, hormone"
