period,period_start,period_end,metric,value,top_x,period_type
1993,1993,1993,n_papers,6,NA,annual
1993,1993,1993,n_authors,5,NA,annual
1993,1993,1993,hhi,0.22222222222222227,NA,annual
1993,1993,1993,top_x_share,0.3333333333333333,1,annual
1993,1993,1993,top_x_share,1,3,annual
1993,1993,1993,top_x_share,1,5,annual
1993,1993,1993,top_x_share,1,10,annual
1994,1994,1994,n_papers,9,NA,annual
1994,1994,1994,n_authors,17,NA,annual
1994,1994,1994,hhi,0.20987654320987653,NA,annual
1994,1994,1994,top_x_share,1,1,annual
1994,1994,1994,top_x_share,1,3,annual
1994,1994,1994,top_x_share,1,5,annual
1994,1994,1994,top_x_share,1,10,annual
1995,1995,1995,n_papers,8,NA,annual
1995,1995,1995,n_authors,18,NA,annual
1995,1995,1995,hhi,0.28125,NA,annual
1995,1995,1995,top_x_share,1,1,annual
1995,1995,1995,top_x_share,1,3,annual
1995,1995,1995,top_x_share,1,5,annual
1995,1995,1995,top_x_share,1,10,annual
1996,1996,1996,n_papers,7,NA,annual
1996,1996,1996,n_authors,23,NA,annual
1996,1996,1996,hhi,0.469387755102041,NA,annual
1996,1996,1996,top_x_share,1,1,annual
1996,1996,1996,top_x_share,1,3,annual
1996,1996,1996,top_x_share,1,5,annual
1996,1996,1996,top_x_share,1,10,annual
1997,1997,1997,n_papers,8,NA,annual
1997,1997,1997,n_authors,23,NA,annual
1997,1997,1997,hhi,0.40625,NA,annual
1997,1997,1997,top_x_share,0.25,1,annual
1997,1997,1997,top_x_share,1,3,annual
1997,1997,1997,top_x_share,1,5,annual
1997,1997,1997,top_x_share,1,10,annual
1998,1998,1998,n_papers,8,NA,annual
1998,1998,1998,n_authors,26,NA,annual
1998,1998,1998,hhi,0.40625,NA,annual
1998,1998,1998,top_x_share,1,1,annual
1998,1998,1998,top_x_share,1,3,annual
1998,1998,1998,top_x_share,1,5,annual
1998,1998,1998,top_x_share,1,10,annual
1999,1999,1999,n_papers,12,NA,annual
1999,1999,1999,n_authors,28,NA,annual
1999,1999,1999,hhi,0.298611111111111,NA,annual
1999,1999,1999,top_x_share,0.3333333333333333,1,annual
1999,1999,1999,top_x_share,0.3333333333333333,3,annual
1999,1999,1999,top_x_share,0.3333333333333333,5,annual
1999,1999,1999,top_x_share,1,10,annual
2000,2000,2000,n_papers,18,NA,annual
2000,2000,2000,n_authors,73,NA,annual
2000,2000,2000,hhi,0.36111111111111194,NA,annual
2000,2000,2000,top_x_share,0.16666666666666666,1,annual
2000,2000,2000,top_x_share,0.2777777777777778,3,annual
2000,2000,2000,top_x_share,0.2777777777777778,5,annual
2000,2000,2000,top_x_share,0.2777777777777778,10,annual
2001,2001,2001,n_papers,10,NA,annual
2001,2001,2001,n_authors,45,NA,annual
2001,2001,2001,hhi,0.5100000000000003,NA,annual
2001,2001,2001,top_x_share,0.4,1,annual
2001,2001,2001,top_x_share,1,3,annual
2001,2001,2001,top_x_share,1,5,annual
2001,2001,2001,top_x_share,1,10,annual
2002,2002,2002,n_papers,63,NA,annual
2002,2002,2002,n_authors,209,NA,annual
2002,2002,2002,hhi,0.08415217939027504,NA,annual
2002,2002,2002,top_x_share,0.12698412698412698,1,annual
2002,2002,2002,top_x_share,0.1746031746031746,3,annual
2002,2002,2002,top_x_share,0.1746031746031746,5,annual
2002,2002,2002,top_x_share,0.3333333333333333,10,annual
2003,2003,2003,n_papers,123,NA,annual
2003,2003,2003,n_authors,350,NA,annual
2003,2003,2003,hhi,0.07521977658800931,NA,annual
2003,2003,2003,top_x_share,0.08130081300813008,1,annual
2003,2003,2003,top_x_share,0.17073170731707318,3,annual
2003,2003,2003,top_x_share,0.24390243902439024,5,annual
2003,2003,2003,top_x_share,0.2682926829268293,10,annual
2004,2004,2004,n_papers,141,NA,annual
2004,2004,2004,n_authors,485,NA,annual
2004,2004,2004,hhi,0.059202253407775574,NA,annual
2004,2004,2004,top_x_share,0.07092198581560284,1,annual
2004,2004,2004,top_x_share,0.14893617021276595,3,annual
2004,2004,2004,top_x_share,0.23404255319148937,5,annual
2004,2004,2004,top_x_share,0.23404255319148937,10,annual
2005,2005,2005,n_papers,153,NA,annual
2005,2005,2005,n_authors,512,NA,annual
2005,2005,2005,hhi,0.05711478491178576,NA,annual
2005,2005,2005,top_x_share,0.058823529411764705,1,annual
2005,2005,2005,top_x_share,0.10457516339869281,3,annual
2005,2005,2005,top_x_share,0.12418300653594772,5,annual
2005,2005,2005,top_x_share,0.17647058823529413,10,annual
2006,2006,2006,n_papers,148,NA,annual
2006,2006,2006,n_authors,569,NA,annual
2006,2006,2006,hhi,0.18827611395179458,NA,annual
2006,2006,2006,top_x_share,0.16891891891891891,1,annual
2006,2006,2006,top_x_share,0.16891891891891891,3,annual
2006,2006,2006,top_x_share,0.22972972972972974,5,annual
2006,2006,2006,top_x_share,0.2702702702702703,10,annual
2007,2007,2007,n_papers,143,NA,annual
2007,2007,2007,n_authors,529,NA,annual
2007,2007,2007,hhi,0.06797398405789969,NA,annual
2007,2007,2007,top_x_share,0.06293706293706294,1,annual
2007,2007,2007,top_x_share,0.1258741258741259,3,annual
2007,2007,2007,top_x_share,0.2517482517482518,5,annual
2007,2007,2007,top_x_share,0.2517482517482518,10,annual
2008,2008,2008,n_papers,128,NA,annual
2008,2008,2008,n_authors,486,NA,annual
2008,2008,2008,hhi,0.21551513671875,NA,annual
2008,2008,2008,top_x_share,0.15625,1,annual
2008,2008,2008,top_x_share,0.3203125,3,annual
2008,2008,2008,top_x_share,0.375,5,annual
2008,2008,2008,top_x_share,0.4375,10,annual
2009,2009,2009,n_papers,121,NA,annual
2009,2009,2009,n_authors,469,NA,annual
2009,2009,2009,hhi,0.17703708763062725,NA,annual
2009,2009,2009,top_x_share,0.12396694214876033,1,annual
2009,2009,2009,top_x_share,0.2727272727272727,3,annual
2009,2009,2009,top_x_share,0.2727272727272727,5,annual
2009,2009,2009,top_x_share,0.4049586776859504,10,annual
2010,2010,2010,n_papers,132,NA,annual
2010,2010,2010,n_authors,542,NA,annual
2010,2010,2010,hhi,0.19553489439852673,NA,annual
2010,2010,2010,top_x_share,0.12121212121212122,1,annual
2010,2010,2010,top_x_share,0.2727272727272727,3,annual
2010,2010,2010,top_x_share,0.30303030303030304,5,annual
2010,2010,2010,top_x_share,0.4166666666666667,10,annual
2011,2011,2011,n_papers,150,NA,annual
2011,2011,2011,n_authors,624,NA,annual
2011,2011,2011,hhi,0.24417777777778432,NA,annual
2011,2011,2011,top_x_share,0.15333333333333332,1,annual
2011,2011,2011,top_x_share,0.28,3,annual
2011,2011,2011,top_x_share,0.37333333333333335,5,annual
2011,2011,2011,top_x_share,0.52,10,annual
2012,2012,2012,n_papers,162,NA,annual
2012,2012,2012,n_authors,594,NA,annual
2012,2012,2012,hhi,0.23517756439567494,NA,annual
2012,2012,2012,top_x_share,0.2345679012345679,1,annual
2012,2012,2012,top_x_share,0.345679012345679,3,annual
2012,2012,2012,top_x_share,0.3888888888888889,5,annual
2012,2012,2012,top_x_share,0.5,10,annual
2013,2013,2013,n_papers,171,NA,annual
2013,2013,2013,n_authors,679,NA,annual
2013,2013,2013,hhi,0.2588488765774109,NA,annual
2013,2013,2013,top_x_share,0.17543859649122806,1,annual
2013,2013,2013,top_x_share,0.3391812865497076,3,annual
2013,2013,2013,top_x_share,0.4502923976608187,5,annual
2013,2013,2013,top_x_share,0.52046783625731,10,annual
2014,2014,2014,n_papers,179,NA,annual
2014,2014,2014,n_authors,760,NA,annual
2014,2014,2014,hhi,0.22258980681002655,NA,annual
2014,2014,2014,top_x_share,0.18994413407821228,1,annual
2014,2014,2014,top_x_share,0.37988826815642457,3,annual
2014,2014,2014,top_x_share,0.41899441340782123,5,annual
2014,2014,2014,top_x_share,0.5586592178770949,10,annual
2015,2015,2015,n_papers,137,NA,annual
2015,2015,2015,n_authors,598,NA,annual
2015,2015,2015,hhi,0.25787202301668205,NA,annual
2015,2015,2015,top_x_share,0.1897810218978102,1,annual
2015,2015,2015,top_x_share,0.29927007299270075,3,annual
2015,2015,2015,top_x_share,0.45255474452554745,5,annual
2015,2015,2015,top_x_share,0.5620437956204379,10,annual
2016,2016,2016,n_papers,156,NA,annual
2016,2016,2016,n_authors,655,NA,annual
2016,2016,2016,hhi,0.33727810650887247,NA,annual
2016,2016,2016,top_x_share,0.21153846153846154,1,annual
2016,2016,2016,top_x_share,0.4358974358974359,3,annual
2016,2016,2016,top_x_share,0.5128205128205128,5,annual
2016,2016,2016,top_x_share,0.6474358974358975,10,annual
2017,2017,2017,n_papers,151,NA,annual
2017,2017,2017,n_authors,683,NA,annual
2017,2017,2017,hhi,0.3811236349282846,NA,annual
2017,2017,2017,top_x_share,0.2251655629139073,1,annual
2017,2017,2017,top_x_share,0.40397350993377484,3,annual
2017,2017,2017,top_x_share,0.5033112582781457,5,annual
2017,2017,2017,top_x_share,0.6688741721854304,10,annual
2018,2018,2018,n_papers,136,NA,annual
2018,2018,2018,n_authors,663,NA,annual
2018,2018,2018,hhi,0.2935229238754235,NA,annual
2018,2018,2018,top_x_share,0.22058823529411764,1,annual
2018,2018,2018,top_x_share,0.35294117647058826,3,annual
2018,2018,2018,top_x_share,0.5,5,annual
2018,2018,2018,top_x_share,0.5441176470588235,10,annual
2019,2019,2019,n_papers,137,NA,annual
2019,2019,2019,n_authors,724,NA,annual
2019,2019,2019,hhi,0.38254568703714203,NA,annual
2019,2019,2019,top_x_share,0.29927007299270075,1,annual
2019,2019,2019,top_x_share,0.44525547445255476,3,annual
2019,2019,2019,top_x_share,0.48905109489051096,5,annual
2019,2019,2019,top_x_share,0.5620437956204379,10,annual
2020,2020,2020,n_papers,129,NA,annual
2020,2020,2020,n_authors,623,NA,annual
2020,2020,2020,hhi,0.4077279009674969,NA,annual
2020,2020,2020,top_x_share,0.27906976744186046,1,annual
2020,2020,2020,top_x_share,0.4728682170542636,3,annual
2020,2020,2020,top_x_share,0.5736434108527132,5,annual
2020,2020,2020,top_x_share,0.6356589147286822,10,annual
2021,2021,2021,n_papers,138,NA,annual
2021,2021,2021,n_authors,740,NA,annual
2021,2021,2021,hhi,0.455681579500099,NA,annual
2021,2021,2021,top_x_share,0.3188405797101449,1,annual
2021,2021,2021,top_x_share,0.5289855072463768,3,annual
2021,2021,2021,top_x_share,0.572463768115942,5,annual
2021,2021,2021,top_x_share,0.6666666666666666,10,annual
2022,2022,2022,n_papers,145,NA,annual
2022,2022,2022,n_authors,779,NA,annual
2022,2022,2022,hhi,0.44047562425683984,NA,annual
2022,2022,2022,top_x_share,0.27586206896551724,1,annual
2022,2022,2022,top_x_share,0.43448275862068964,3,annual
2022,2022,2022,top_x_share,0.5379310344827586,5,annual
2022,2022,2022,top_x_share,0.6206896551724138,10,annual
2023,2023,2023,n_papers,127,NA,annual
2023,2023,2023,n_authors,705,NA,annual
2023,2023,2023,hhi,0.5159030318060701,NA,annual
2023,2023,2023,top_x_share,0.3543307086614173,1,annual
2023,2023,2023,top_x_share,0.5118110236220472,3,annual
2023,2023,2023,top_x_share,0.6062992125984252,5,annual
2023,2023,2023,top_x_share,0.6692913385826772,10,annual
2024,2024,2024,n_papers,123,NA,annual
2024,2024,2024,n_authors,666,NA,annual
2024,2024,2024,hhi,0.4508559719743659,NA,annual
2024,2024,2024,top_x_share,0.2926829268292683,1,annual
2024,2024,2024,top_x_share,0.4634146341463415,3,annual
2024,2024,2024,top_x_share,0.5121951219512195,5,annual
2024,2024,2024,top_x_share,0.6666666666666666,10,annual
2025,2025,2025,n_papers,109,NA,annual
2025,2025,2025,n_authors,623,NA,annual
2025,2025,2025,hhi,0.5082063799343457,NA,annual
2025,2025,2025,top_x_share,0.3211009174311927,1,annual
2025,2025,2025,top_x_share,0.5137614678899083,3,annual
2025,2025,2025,top_x_share,0.5963302752293578,5,annual
2025,2025,2025,top_x_share,0.7064220183486238,10,annual
2026,2026,2026,n_papers,76,NA,annual
2026,2026,2026,n_authors,481,NA,annual
2026,2026,2026,hhi,0.5192174515235463,NA,annual
2026,2026,2026,top_x_share,0.4605263157894737,1,annual
2026,2026,2026,top_x_share,0.5,3,annual
2026,2026,2026,top_x_share,0.618421052631579,5,annual
2026,2026,2026,top_x_share,0.6973684210526315,10,annual
1990-1994,1990,1994,n_papers,18,NA,five_year
1990-1994,1990,1994,n_authors,23,NA,five_year
1990-1994,1990,1994,hhi,0.09876543209876543,NA,five_year
1990-1994,1990,1994,top_x_share,0.3333333333333333,1,five_year
1990-1994,1990,1994,top_x_share,0.3333333333333333,3,five_year
1990-1994,1990,1994,top_x_share,1,5,five_year
1990-1994,1990,1994,top_x_share,1,10,five_year
1995-1999,1995,1999,n_papers,43,NA,five_year
1995-1999,1995,1999,n_authors,101,NA,five_year
1995-1999,1995,1999,hhi,0.09951325040562428,NA,five_year
1995-1999,1995,1999,top_x_share,0.27906976744186046,1,five_year
1995-1999,1995,1999,top_x_share,0.27906976744186046,3,five_year
1995-1999,1995,1999,top_x_share,0.27906976744186046,5,five_year
1995-1999,1995,1999,top_x_share,0.37209302325581395,10,five_year
2000-2004,2000,2004,n_papers,355,NA,five_year
2000-2004,2000,2004,n_authors,903,NA,five_year
2000-2004,2000,2004,hhi,0.044015076373734356,NA,five_year
2000-2004,2000,2004,top_x_share,0.061971830985915494,1,five_year
2000-2004,2000,2004,top_x_share,0.12112676056338029,3,five_year
2000-2004,2000,2004,top_x_share,0.18873239436619718,5,five_year
2000-2004,2000,2004,top_x_share,0.2028169014084507,10,five_year
2005-2009,2005,2009,n_papers,693,NA,five_year
2005-2009,2005,2009,n_authors,1802,NA,five_year
2005-2009,2005,2009,hhi,0.08773365483322058,NA,five_year
2005-2009,2005,2009,top_x_share,0.08802308802308802,1,five_year
2005-2009,2005,2009,top_x_share,0.1746031746031746,3,five_year
2005-2009,2005,2009,top_x_share,0.215007215007215,5,five_year
2005-2009,2005,2009,top_x_share,0.26695526695526695,10,five_year
2010-2014,2010,2014,n_papers,794,NA,five_year
2010-2014,2010,2014,n_authors,2037,NA,five_year
2010-2014,2010,2014,hhi,0.18660101897733677,NA,five_year
2010-2014,2010,2014,top_x_share,0.17758186397984888,1,five_year
2010-2014,2010,2014,top_x_share,0.29974811083123426,3,five_year
