author_raw,n_papers,last_name,initials
Adams-Campbell LL,18,Adams-Campbell,LL
Adams-Campbell L,6,Adams-Campbell,L
Allison M,79,Allison,M
Allison MA,76,Allison,MA
Anderson GL,115,Anderson,GL
Anderson G,35,Anderson,G
Andrews CA,33,Andrews,CA
Andrews C,6,Andrews,C
Aragaki AK,96,Aragaki,AK
Aragaki A,35,Aragaki,A
Arthur R,9,Arthur,R
Arthur RS,6,Arthur,RS
Assaf AR,14,Assaf,AR
Assaf A,5,Assaf,A
Assimes TL,20,Assimes,TL
Assimes T,8,Assimes,T
Banack HR,22,Banack,HR
Banack H,5,Banack,H
Barad D,8,Barad,D
Barad DH,8,Barad,DH
Barrington WE,10,Barrington,WE
Barrington W,8,Barrington,W
Bea JW,54,Bea,JW
Bea J,7,Bea,J
Beresford SA,55,Beresford,SA
Beresford SAA,11,Beresford,SAA
Beydoun HA,15,Beydoun,HA
Beydoun MA,13,Beydoun,MA
Black HR,9,Black,HR
Black H,6,Black,H
Bowen DJ,12,Bowen,DJ
Bowen D,11,Bowen,D
Brinton LA,11,Brinton,LA
Brinton RD,10,Brinton,RD
Brinton EA,8,Brinton,EA
Brunner RL,34,Brunner,RL
Brunner R,23,Brunner,R
Brzyski RG,13,Brzyski,RG
Brzyski R,11,Brzyski,R
Caan B,41,Caan,B
Caan BJ,34,Caan,BJ
Cai J,6,Cai,J
Cai Y,5,Cai,Y
Carbone L,9,Carbone,L
Carbone LD,9,Carbone,LD
Cauley JA,122,Cauley,JA
Cauley J,11,Cauley,J
Chan KH,5,Chan,KH
Chan KHK,5,Chan,KHK
Chang Y,10,Chang,Y
Chang S,8,Chang,S
Chang YF,8,Chang,YF
Chen Z,71,Chen,Z
Chen JC,47,Chen,JC
Chen C,35,Chen,C
Chen BH,10,Chen,BH
Chen B,9,Chen,B
Chen L,9,Chen,L
Chen GC,7,Chen,GC
Chen S,5,Chen,S
Chen W,5,Chen,W
Cheng TD,17,Cheng,TD
Cheng RK,13,Cheng,RK
Cheng TY,10,Cheng,TY
Chlebowski RT,253,Chlebowski,RT
Chlebowski R,42,Chlebowski,R
Clish CB,12,Clish,CB
Clish C,5,Clish,C
Cochrane BB,55,Cochrane,BB
Cochrane B,23,Cochrane,B
Crandall CJ,65,Crandall,CJ
Crandall C,8,Crandall,C
Curb JD,45,Curb,JD
Curb D,8,Curb,D
Desai P,26,Desai,P
Desai M,23,Desai,M
Eaton CB,117,Eaton,CB
Eaton C,26,Eaton,C
Garcia L,75,Garcia,L
Garcia DO,22,Garcia,DO
Gass M,47,Gass,M
Gass ML,17,Gass,ML
Going SB,14,Going,SB
Going S,5,Going,S
Gray SL,16,Gray,SL
Gray KE,6,Gray,KE
Gray S,5,Gray,S
Haan MN,10,Haan,MN
Haan M,5,Haan,M
Harris HR,17,Harris,HR
Harris WS,10,Harris,WS
He K,10,He,K
He T,5,He,T
Hendrix SL,45,Hendrix,SL
Hendrix S,11,Hendrix,S
Hlatky MA,18,Hlatky,MA
Hlatky M,5,Hlatky,M
Ho GY,27,Ho,GY
Ho GYF,15,Ho,GYF
Hogan PE,13,Hogan,PE
Hogan P,7,Hogan,P
Holahan CJ,7,Holahan,CJ
Holahan CK,7,Holahan,CK
Hovey KM,58,Hovey,KM
Hovey K,5,Hovey,K
Howard BV,123,Howard,BV
Howard AG,6,Howard,AG
Howard B,6,Howard,B
Hsu L,12,Hsu,L
Hsu YH,7,Hsu,YH
Hu FB,14,Hu,FB
Hu C,8,Hu,C
Hu J,5,Hu,J
Huang Y,41,Huang,Y
Huang T,12,Huang,T
Huang M,5,Huang,M
Hunt JR,16,Hunt,JR
Hunt RP,7,Hunt,RP
Hunt J,5,Hunt,J
Jackson RD,84,Jackson,RD
Jackson R,28,Jackson,R
Jiang X,13,Jiang,X
Jiang L,7,Jiang,L
Johnson KC,162,Johnson,KC
Johnson K,9,Johnson,K
Johnson SR,7,Johnson,SR
Johnson L,6,Johnson,L
Johnson M,6,Johnson,M
Kim MY,18,Kim,MY
Kim M,10,Kim,M
Klein L,16,Klein,L
Klein BE,6,Klein,BE
Klein ML,6,Klein,ML
Ko MG,7,Ko,MG
Ko M,5,Ko,M
Kooperberg C,113,Kooperberg,C
Kooperberg CL,9,Kooperberg,CL
Kroenke CH,56,Kroenke,CH
Kroenke C,7,Kroenke,C
Kuller LH,82,Kuller,LH
Kuller L,24,Kuller,L
LaCroix AZ,189,LaCroix,AZ
LaCroix A,32,LaCroix,A
LaMonte MJ,109,LaMonte,MJ
LaMonte M,12,LaMonte,M
Laddu D,17,Laddu,D
Laddu DR,5,Laddu,DR
Lane DS,83,Lane,DS
Lane D,61,Lane,D
Langer RD,44,Langer,RD
Langer R,7,Langer,R
Larson JC,57,Larson,JC
Larson J,32,Larson,J
Lasser NL,11,Lasser,NL
Lasser N,6,Lasser,N
LeBlanc ES,40,LeBlanc,ES
LeBlanc E,12,LeBlanc,E
LeBoff MS,30,LeBoff,MS
LeBoff M,6,LeBoff,M
Lee IM,18,Lee,IM
Lee JS,6,Lee,JS
Lee DJ,5,Lee,DJ
Lessin L,12,Lessin,L
Lessin LS,5,Lessin,LS
Li W,56,Li,W
Li Y,42,Li,Y
Li J,20,Li,J
Li CI,18,Li,CI
Li S,8,Li,S
Li X,7,Li,X
Li D,6,Li,D
Limacher M,25,Limacher,M
Limacher MC,21,Limacher,MC
Liu S,158,Liu,S
Liu J,28,Liu,J
Liu L,18,Liu,L
Liu B,13,Liu,B
Liu Y,10,Liu,Y
Liu Q,9,Liu,Q
Liu Z,9,Liu,Z
Lu B,11,Lu,B
Lu AT,7,Lu,AT
Ma Y,23,Ma,Y
