pmid,title,pub_year,cluster,domain,has_abstract
42402217,Worsening frailty and declining quality of life in older survivors of non-metastatic breast cancer.,2026,1,"Domain 1: cancer, breast, colorectal, lung",TRUE
42395085,Intake of B vitamins and their circulating levels in relation to incident stroke in women and men: Findings from two national prospective cohorts in the United States.,2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
42382186,"The effects of menopausal hormone therapy on cardiovascular disease, cancer, cognition and depression in younger women: A systematic review.",2026,7,"Domain 7: estrogen, therapy, hormone, menopause",TRUE
42342116,"Data-Driven Discovery of Plant-Based Dietary Subtypes and Their Association with Cancer, Cardiovascular diseases, and Type 2 diabetes in Postmenopausal Women: Insights from the Women's Health Initiative.",2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
42321810,"Epigenetic entropy, socioeconomic differences, and health and lifespan in the Women's Health Initiative.",2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
42314912,Air pollution is linked to divergent cortical thickness patterns in brain regions vulnerable to Alzheimer's disease.,2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
42304170,Menopausal Hormone Therapy: A Narrative Review of Contemporary Evidence.,2026,7,"Domain 7: estrogen, therapy, hormone, menopause",TRUE
42271627,Associations of obesity phenotypes with incident fall rates: results from the objective physical activity and cardiovascular disease health in older women study.,2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
42265390,Identification of DNA methylation signatures of smoking in women and associations with cardiovascular disease mortality.,2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
42262514,Low-fat dietary pattern and dementia mortality: a secondary analysis of the Women's Health Initiative dietary modification randomized clinical trial with long-term follow-up.,2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
42254430,"Breastfeeding Practices, Insomnia Symptoms, Anxiety, and Depression Among Lebanese Mothers: A Cross-Sectional Study.",2026,6,"Domain 6: sleep, insomnia, duration, quality",TRUE
42247650,Migraine and Stroke Risk in Postmenopausal Women in the Women's Health Initiative.,2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
42247305,Reproductive Lifespan and Adult-Onset Bronchiectasis in U.S. Postmenopausal Women: An Investigation of the Women's Health Initiative Cohort.,2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
42246930,"Purpose in life, personal growth, life satisfaction and risk of cognitive impairment among older women.",2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
42178982,Association of self-reported birth weight and preterm birth with blood pressure measures and risk for hypertension in older women from the women's health initiative.,2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
42163933,The association between 10-year cardiovascular risk and fracture incidence in postmenopausal women: a prospective analysis from the Women's Health Initiative.,2026,5,"Domain 5: fracture, bmd, hip, fractures",TRUE
42147192,Plasma proteomics link menopause timing to brain aging and dementia risk.,2026,7,"Domain 7: estrogen, therapy, hormone, menopause",TRUE
42107553,"Women's health initiative strong and healthy silent atrial fibrillation recording study: Rationale, study design, and baseline data.",2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
42081783,Metabolomic Profiles of Inflammation Associated With Incident Ischemic Stroke Risk in Women.,2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
42078334,Plasma proteomics link menopause timing to brain aging and dementia risk.,2026,7,"Domain 7: estrogen, therapy, hormone, menopause",TRUE
42074990,Phosphorus Intake and Cancer Risk: A Theoretical-Conceptual Model and Hypothesis for Population-Study Replication.,2026,1,"Domain 1: cancer, breast, colorectal, lung",TRUE
42061715,Dietary Patterns and the Risk of Liver Cancer and Chronic Liver Disease Mortality.,2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
42045564,The semi-competing risk problem revisited.,2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
42038100,Variable Selection with FDR Control for Noisy Data - An Application to Screening Metabolites that Are Associated with Breast Cancer and Colorectal Cancer.,2025,1,"Domain 1: cancer, breast, colorectal, lung",TRUE
41979564,"The Food and Drug Administration boxed warning on menopausal hormone therapy: history, impact, and a regulatory inflection point in women's health.",2026,7,"Domain 7: estrogen, therapy, hormone, menopause",TRUE
41961741,Mediation Analysis of Inflammatory Biomarkers in the Association between Migraine and Stroke among Postmenopausal Women: The Women's Health Initiative.,2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
41961496,Residential Radon Levels and Ovarian Cancer Among Postmenopausal Women.,2026,1,"Domain 1: cancer, breast, colorectal, lung",TRUE
41952250,"Sensitive Period Analysis of Adulthood BMI and Cancer Risk: An Individual Participant Data Meta-Analysis of Over 720,000 Participants in the ABACus 2 Consortium.",2026,1,"Domain 1: cancer, breast, colorectal, lung",TRUE
41936491,Gut bacteria associated with an atherogenic TMAO-dietary pattern and choline-rich foods among aging women.,2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
41935319,Hypertension and epigenetic aging: socio-biological pathways of health disparity.,2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
41900920,"Overview of Aging, Skin Health, Estrogen, Menopause and HRT.",2026,8,"Domain 8: hrt, replacement, therapy, hormone",TRUE
41874660,Advanced Bayesian BMD-Derived Genome-Wide Polygenic Scores Enhance Clinical FRAX-Based Fracture Risk Prediction in Postmenopausal Women.,2026,5,"Domain 5: fracture, bmd, hip, fractures",TRUE
41860387,DXA-Derived Abdominal Adiposity and Obesity-Related Cancer Risk Among Postmenopausal Women in the Women's Health Initiative.,2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
41848053,Survival After the First Myocardial Infarction in Older Women: A Prospective Cohort Analysis From the WHI.,2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
41824753,"Farming History, Insecticide Exposure, and the Risk of ALS Mortality.",2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
41805953,Plasma Phosphorylated Tau 217 and Incident Mild Cognitive Impairment and Dementia in Older Women.,2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
41792585,Impact of Genetic Predisposition to Obesity on Long-Term Maintenance of Modest Weight Loss in Postmenopausal Women.,2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
41759821,Circulating Asprosin Concentrations and Body Weight Changes in Postmenopausal Women: Findings from the Women's Health Initiative.,2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
41758580,Alterations of Plasma Metabolites Associated with Sickle Cell Trait.,2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
41752283,"Psychosocial and Behavioral Correlates of Sleep Duration and Sleep Disturbance Among Lesbian, Gay, and Bisexual Women.",2026,6,"Domain 6: sleep, insomnia, duration, quality",TRUE
41744883,DXA-Derived Visceral and Subcutaneous Adipose Tissue and Postmenopausal Breast Cancer Mortality.,2026,1,"Domain 1: cancer, breast, colorectal, lung",TRUE
41721741,Epigenetic Clocks of Biological Aging and Risk of Incident Mild Cognitive Impairment and Dementia: The Women's Health Initiative Memory Study.,2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
41717941,Insomnia and Incident Cardiovascular Disease in US Hispanic/Latino Adults: Results From HCHS/SOL.,2026,6,"Domain 6: sleep, insomnia, duration, quality",TRUE
41712224,Fuchs Endothelial Corneal Dystrophy: A Post Hoc Analysis of the Women's Health Initiative Randomized Hormone Therapy Clinical Trials.,2026,7,"Domain 7: estrogen, therapy, hormone, menopause",FALSE
41701631,"Endogenous sex hormones, sex hormone-binding globulin, and muscle health: insights into sarcopenia and sarcopenic obesity from the Women's Health Initiative.",2026,2,"Domain 2: diabetes, dietary, physical, intake",TRUE
41695793,The Relationship between Occupation and Lung Cancer Incidence in the Women's Health Initiative Observational Study.,2025,1,"Domain 1: cancer, breast, colorectal, lung",TRUE
