pmid,source
42402217,esearch
42395085,esearch
42382186,esearch
42342116,esearch
42321810,esearch
42314912,esearch
42304170,esearch
42271627,esearch
42265390,esearch
42262514,esearch
42254430,esearch
42247650,esearch
42247305,esearch
42246930,esearch
42178982,esearch
42163933,esearch
42147192,esearch
42107553,esearch
42081783,esearch
42078334,esearch
42074990,esearch
42061715,esearch
42045564,esearch
42038100,esearch
41979564,esearch
41961741,esearch
41961496,esearch
41952250,esearch
41936491,esearch
41935319,esearch
41900920,esearch
41874660,esearch
41860387,esearch
41848053,esearch
41824753,esearch
41805953,esearch
41792585,esearch
41759821,esearch
41758580,esearch
41752283,esearch
41744883,esearch
41721741,esearch
41717941,esearch
41712224,esearch
41701631,esearch
41695793,esearch
41687116,esearch
41678876,esearch
41674645,esearch
41667867,esearch
41660151,esearch
41649804,esearch
41641624,esearch
31971737,esearch
41603726,esearch
41592519,esearch
41589860,esearch
41579732,esearch
41544713,esearch
41528117,esearch
41514045,esearch
41499366,esearch
41494991,esearch
41482168,esearch
41477444,esearch
41458318,esearch
41428435,esearch
41408582,esearch
41399190,esearch
41387075,esearch
41379766,esearch
41363715,esearch
41360798,esearch
41358287,esearch
41328526,esearch
41307293,esearch
41288775,esearch
41282951,esearch
41274869,esearch
41271511,esearch
41256164,esearch
41245951,esearch
41222070,esearch
41217670,esearch
41205698,esearch
41182009,esearch
41165774,esearch
41117635,esearch
41071097,esearch
41065709,esearch
41048432,esearch
41047130,esearch
41025350,esearch
41000565,esearch
40998424,esearch
40991796,esearch
40971177,esearch
40966182,esearch
40952729,esearch
40928988,esearch
40908426,esearch
40904946,esearch
40891652,esearch
40880581,esearch
40864016,esearch
40861793,esearch
40853256,esearch
40833820,esearch
40832399,esearch
40831512,esearch
40812163,esearch
40796174,esearch
40791710,esearch
40789098,esearch
40782919,esearch
30855848,esearch
40758858,esearch
40748320,esearch
40719521,esearch
40718583,esearch
40674461,esearch
40665589,esearch
40640959,esearch
40623313,esearch
40601110,esearch
40576032,esearch
40519778,esearch
40505798,esearch
40502616,esearch
40499654,esearch
40499013,esearch
40455801,esearch
40397323,esearch
40392206,esearch
40388602,esearch
40340733,esearch
40297687,esearch
40274741,esearch
40273665,esearch
40272393,esearch
40234341,esearch
40225940,esearch
40202941,esearch
40179014,esearch
40176948,esearch
40173438,esearch
40152978,esearch
40128438,esearch
40106531,esearch
40105250,esearch
40100219,esearch
40088973,esearch
40072913,esearch
40071883,esearch
40062652,esearch
40061325,esearch
40057740,esearch
40048162,esearch
40025644,esearch
40014954,esearch
40014858,esearch
39999642,esearch
39996449,esearch
39986610,esearch
39980037,esearch
39975081,esearch
39928313,esearch
39923503,esearch
39911229,esearch
39909978,esearch
39875753,esearch
39875703,esearch
39874450,esearch
39867366,esearch
39847539,esearch
39844378,esearch
39844098,esearch
39817753,esearch
39739511,esearch
39680601,esearch
39679980,esearch
39673348,esearch
39640936,esearch
39624744,esearch
39596582,esearch
39540294,esearch
39522613,esearch
39522475,esearch
39520665,esearch
39498208,esearch
39482741,esearch
39479313,esearch
39457271,esearch
39449954,esearch
39419045,esearch
39378060,esearch
39367431,esearch
39364911,esearch
39363289,esearch
39357086,esearch
39348095,esearch
39323093,esearch
39297873,esearch
39254768,esearch
39239793,esearch
39225279,esearch
39209332,esearch
39195559,esearch
39192085,esearch
39173088,esearch
39163274,esearch
39161156,esearch
39142704,esearch
39142425,esearch
39129431,esearch
39098912,esearch
39093129,esearch
39069644,esearch
39067141,esearch
39052387,esearch
39029743,esearch
39028918,esearch
39025233,esearch
39012906,esearch
39003134,esearch
38992341,esearch
38950085,esearch
38940271,esearch
38914983,esearch
38900510,esearch
38890130,esearch
38859857,esearch
38857479,esearch
38832110,esearch
38830011,esearch
38809417,esearch
38787308,esearch
38786753,esearch
38772931,esearch
38760255,esearch
38754277,esearch
38746099,esearch
38745494,esearch
38738397,esearch
38736319,esearch
38730133,esearch
38710906,esearch
38705054,esearch
38703248,esearch
38691368,esearch
38686660,esearch
38684633,esearch
38664135,esearch
38659158,esearch
38653905,esearch
38630732,esearch
38623761,esearch
38617337,esearch
