dataset,metric,value,top_x,year,computed_date
WLS,n_papers,1006,NA,NA,2026-06-24
WLS,n_authors,1650,NA,NA,2026-06-24
WLS,hhi,0.046353094158706684,NA,NA,2026-06-24
WLS,top_x_share,0.13220675944333996,1,NA,2026-06-24
WLS,top_x_share,0.21073558648111332,3,NA,2026-06-24
WLS,top_x_share,0.28429423459244535,5,NA,2026-06-24
WLS,top_x_share,0.3548707753479125,10,NA,2026-06-24
WLS,top_x_share,0.4552683896620278,20,NA,2026-06-24
WLS,hhi,0.3400000000000001,NA,1973,2026-06-24
WLS,top_x_share,0.6,1,1973,2026-06-24
WLS,top_x_share,0.8,3,1973,2026-06-24
WLS,top_x_share,1,5,1973,2026-06-24
WLS,top_x_share,1,10,1973,2026-06-24
WLS,top_x_share,1,20,1973,2026-06-24
WLS,hhi,0.23140495867768596,NA,1981,2026-06-24
WLS,top_x_share,0.36363636363636365,1,1981,2026-06-24
WLS,top_x_share,1,3,1981,2026-06-24
WLS,top_x_share,1,5,1981,2026-06-24
WLS,top_x_share,1,10,1981,2026-06-24
WLS,top_x_share,1,20,1981,2026-06-24
WLS,hhi,0.2396694214876033,NA,1983,2026-06-24
WLS,top_x_share,0.2727272727272727,1,1983,2026-06-24
WLS,top_x_share,0.5454545454545454,3,1983,2026-06-24
WLS,top_x_share,1,5,1983,2026-06-24
WLS,top_x_share,1,10,1983,2026-06-24
WLS,top_x_share,1,20,1983,2026-06-24
WLS,hhi,0.3400000000000001,NA,1995,2026-06-24
WLS,top_x_share,0.5,1,1995,2026-06-24
WLS,top_x_share,1,3,1995,2026-06-24
WLS,top_x_share,1,5,1995,2026-06-24
WLS,top_x_share,1,10,1995,2026-06-24
WLS,top_x_share,1,20,1995,2026-06-24
WLS,hhi,0.2959183673469388,NA,1996,2026-06-24
WLS,top_x_share,0.2857142857142857,1,1996,2026-06-24
WLS,top_x_share,0.5714285714285714,3,1996,2026-06-24
WLS,top_x_share,0.8571428571428571,5,1996,2026-06-24
WLS,top_x_share,1,10,1996,2026-06-24
WLS,top_x_share,1,20,1996,2026-06-24
WLS,hhi,0.3076923076923077,NA,1997,2026-06-24
WLS,top_x_share,0.3076923076923077,1,1997,2026-06-24
WLS,top_x_share,0.8461538461538461,3,1997,2026-06-24
WLS,top_x_share,0.8461538461538461,5,1997,2026-06-24
WLS,top_x_share,1,10,1997,2026-06-24
WLS,top_x_share,1,20,1997,2026-06-24
WLS,hhi,0.2777777777777777,NA,1998,2026-06-24
WLS,top_x_share,0.2916666666666667,1,1998,2026-06-24
WLS,top_x_share,0.5416666666666666,3,1998,2026-06-24
WLS,top_x_share,0.75,5,1998,2026-06-24
WLS,top_x_share,1,10,1998,2026-06-24
WLS,top_x_share,1,20,1998,2026-06-24
WLS,hhi,0.3801652892561983,NA,1999,2026-06-24
WLS,top_x_share,0.5454545454545454,1,1999,2026-06-24
WLS,top_x_share,0.7272727272727273,3,1999,2026-06-24
WLS,top_x_share,0.7272727272727273,5,1999,2026-06-24
WLS,top_x_share,1,10,1999,2026-06-24
WLS,top_x_share,1,20,1999,2026-06-24
WLS,hhi,0.1937716262975778,NA,2001,2026-06-24
WLS,top_x_share,0.23529411764705882,1,2001,2026-06-24
WLS,top_x_share,0.5294117647058824,3,2001,2026-06-24
WLS,top_x_share,0.5294117647058824,5,2001,2026-06-24
WLS,top_x_share,1,10,2001,2026-06-24
WLS,top_x_share,1,20,2001,2026-06-24
WLS,hhi,0.2291666666666667,NA,2002,2026-06-24
WLS,top_x_share,0.3333333333333333,1,2002,2026-06-24
WLS,top_x_share,1,3,2002,2026-06-24
WLS,top_x_share,1,5,2002,2026-06-24
WLS,top_x_share,1,10,2002,2026-06-24
WLS,top_x_share,1,20,2002,2026-06-24
WLS,hhi,0.3520408163265308,NA,2003,2026-06-24
WLS,top_x_share,0.42857142857142855,1,2003,2026-06-24
WLS,top_x_share,0.5,3,2003,2026-06-24
WLS,top_x_share,1,5,2003,2026-06-24
WLS,top_x_share,1,10,2003,2026-06-24
WLS,top_x_share,1,20,2003,2026-06-24
WLS,hhi,0.2857142857142858,NA,2004,2026-06-24
WLS,top_x_share,0.7142857142857143,1,2004,2026-06-24
WLS,top_x_share,0.7142857142857143,3,2004,2026-06-24
WLS,top_x_share,0.7142857142857143,5,2004,2026-06-24
WLS,top_x_share,1,10,2004,2026-06-24
