period,period_start,period_end,metric,value,top_x,period_type
1964,1964,1964,n_papers,5,NA,annual
1964,1964,1964,n_authors,6,NA,annual
1964,1964,1964,hhi,0.24000000000000005,NA,annual
1964,1964,1964,top_x_share,1,1,annual
1964,1964,1964,top_x_share,1,3,annual
1964,1964,1964,top_x_share,1,5,annual
1964,1964,1964,top_x_share,1,10,annual
1964,1964,1964,top_x_share,1,20,annual
1965,1965,1965,n_papers,8,NA,annual
1965,1965,1965,n_authors,8,NA,annual
1965,1965,1965,hhi,0.25,NA,annual
1965,1965,1965,top_x_share,0.375,1,annual
1965,1965,1965,top_x_share,1,3,annual
1965,1965,1965,top_x_share,1,5,annual
1965,1965,1965,top_x_share,1,10,annual
1965,1965,1965,top_x_share,1,20,annual
1967,1967,1967,n_papers,6,NA,annual
1967,1967,1967,n_authors,8,NA,annual
1967,1967,1967,hhi,0.44444444444444453,NA,annual
1967,1967,1967,top_x_share,0.5,1,annual
1967,1967,1967,top_x_share,1,3,annual
1967,1967,1967,top_x_share,1,5,annual
1967,1967,1967,top_x_share,1,10,annual
1967,1967,1967,top_x_share,1,20,annual
1970,1970,1970,n_papers,5,NA,annual
1970,1970,1970,n_authors,7,NA,annual
1970,1970,1970,hhi,0.40000000000000013,NA,annual
1970,1970,1970,top_x_share,0.4,1,annual
1970,1970,1970,top_x_share,1,3,annual
1970,1970,1970,top_x_share,1,5,annual
1970,1970,1970,top_x_share,1,10,annual
1970,1970,1970,top_x_share,1,20,annual
1972,1972,1972,n_papers,8,NA,annual
1972,1972,1972,n_authors,11,NA,annual
1972,1972,1972,hhi,0.34375,NA,annual
1972,1972,1972,top_x_share,0.375,1,annual
1972,1972,1972,top_x_share,1,3,annual
1972,1972,1972,top_x_share,1,5,annual
1972,1972,1972,top_x_share,1,10,annual
1972,1972,1972,top_x_share,1,20,annual
1973,1973,1973,n_papers,10,NA,annual
1973,1973,1973,n_authors,12,NA,annual
1973,1973,1973,hhi,0.3400000000000001,NA,annual
1973,1973,1973,top_x_share,0.6,1,annual
1973,1973,1973,top_x_share,0.8,3,annual
1973,1973,1973,top_x_share,1,5,annual
1973,1973,1973,top_x_share,1,10,annual
1973,1973,1973,top_x_share,1,20,annual
1974,1974,1974,n_papers,6,NA,annual
1974,1974,1974,n_authors,7,NA,annual
1974,1974,1974,hhi,0.6944444444444445,NA,annual
1974,1974,1974,top_x_share,0.6666666666666666,1,annual
1974,1974,1974,top_x_share,1,3,annual
1974,1974,1974,top_x_share,1,5,annual
1974,1974,1974,top_x_share,1,10,annual
1974,1974,1974,top_x_share,1,20,annual
1975,1975,1975,n_papers,5,NA,annual
1975,1975,1975,n_authors,6,NA,annual
1975,1975,1975,hhi,0.5600000000000002,NA,annual
1975,1975,1975,top_x_share,0.6,1,annual
1975,1975,1975,top_x_share,1,3,annual
1975,1975,1975,top_x_share,1,5,annual
1975,1975,1975,top_x_share,1,10,annual
1975,1975,1975,top_x_share,1,20,annual
1976,1976,1976,n_papers,9,NA,annual
1976,1976,1976,n_authors,9,NA,annual
1976,1976,1976,hhi,0.8395061728395063,NA,annual
1976,1976,1976,top_x_share,0.6666666666666666,1,annual
