author_raw,author_id,notes,merged_by,merged_date
Anthony D,Anthony DL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Aschbrenner K,Aschbrenner KA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Beauchamp J,Beauchamp JP,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Beck E,Beck ED,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Benjamin D,Benjamin DJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Bierut L,Bierut LJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Brand JEL,Brand JE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Brand J,Brand JE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Brand J. E. and Xie Y,Brand JE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Brown S,Brown SL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Burden B,Burden BC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Burgard S,Burgard SA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Carr DS,Carr D,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Carr DaSBD,Carr D,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Carr KA,Carr K,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Cauley A,Cauley AS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Chabris C,Chabris CF,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Choi KW,Choi KH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Christakis N,Christakis NA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Clouston SA,Clouston SAP,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Clouston S,Clouston SAP,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Coleman P,Coleman PL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Conley DC,Conley D,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Damian R,Damian RI,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Dawes C,Dawes CT,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Domingue B,Domingue BW,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Ferrie JP,Ferrie JE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Fischer A,Fischer AM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Fletcher J,Fletcher JM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Floyd F,Floyd FJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Flynn K,Flynn KE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Fransson E,Fransson EI,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Gordon R,Gordon RL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Gordon S,Gordon SD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Greenberg J,Greenberg JS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Hall A,Hall AN,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Hauser R,Hauser RM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Hayes J,Hayes JA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Henechowicz T,Henechowicz TL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Hofer S,Hofer SM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Jack B,Jack B. Nitschke,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Janssen SG,Janssen SLG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Jennifer DeVoe,Jennifer Dykema,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Jiang W,Jiang WY,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Johnson K,Johnson KA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Katz M,Katz MJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Kim JS,Kim J,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Kim YY,Kim YJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Kim Y,Kim YJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Krahn D,Krahn DD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Kuo HH,Kuo HHD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Laibson DI,Laibson D,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Lee CSH,Lee C,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Lee JH,Lee JJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Lee JC,Lee JJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Lee ML,Lee MJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Lee M,Lee MJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Liebler C,Liebler CA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Lipton RA,Lipton RB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Li J,Li JJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
MacDonald M,MacDonald MM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Maenner M,Maenner MJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Magee W,Magee WJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Magnusson PK,Magnusson PKE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Mailick M,Mailick MR,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Marks N,Marks NF,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Marmot M,Marmot MG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
