pmid,title,abstract,pub_year,text,has_abstract
wls_zotero_7EN8PA7J,Metacognition and self-awareness : neural and cognitive mechanisms in brain ageing and Alzheimer's disease,NA,2026,Metacognition and self-awareness : neural and cognitive mechanisms in brain ageing and Alzheimer's disease,FALSE
wls_zotero_449XT22G,"Municipal water fluoridation, adolescent IQ, and cognition across the life course: Evidence from the Wisconsin Longitudinal Study",NA,2026,"Municipal water fluoridation, adolescent IQ, and cognition across the life course: Evidence from the Wisconsin Longitudinal Study",FALSE
wls_zotero_HWJQN8QB,Genetic and Phenotypic Associations of the Polygenic Score of Delay Discounting and Life History Traits,NA,2026,Genetic and Phenotypic Associations of the Polygenic Score of Delay Discounting and Life History Traits,FALSE
wls_zotero_D567XIYD,Adolescent IQ and Risk of Dementia: A 67-Year Prospective Study,NA,2026,Adolescent IQ and Risk of Dementia: A 67-Year Prospective Study,FALSE
wls_zotero_82BX4BKF,Voting Behavior and Mortality Risk in Older Adults: Evidence from the Wisconsin Longitudinal Study,NA,2026,Voting Behavior and Mortality Risk in Older Adults: Evidence from the Wisconsin Longitudinal Study,FALSE
wls_zotero_VQSHQI2A,"Polygenic Associations Between Motor Behavior, Neuromotor Traits, and Active Music Engagement in Four Cohorts",NA,2026,"Polygenic Associations Between Motor Behavior, Neuromotor Traits, and Active Music Engagement in Four Cohorts",FALSE
wls_zotero_AMWH67QK,Learning to give: Both genetic and shared environmental influences are reflected in the association between educational attainment and prosocial behaviour,NA,2026,Learning to give: Both genetic and shared environmental influences are reflected in the association between educational attainment and prosocial behaviour,FALSE
wls_zotero_297LEQW4,GWAS of Active Music Engagement Frequency in the Canadian Longitudinal Study on Aging,NA,2026,GWAS of Active Music Engagement Frequency in the Canadian Longitudinal Study on Aging,FALSE
wls_zotero_SMB78DNL,Early‐life influences on the risk for later‐life Alzheimer's and non‐Alzheimer's dementia: A nearly full life course prospective cohort study,NA,2026,Early‐life influences on the risk for later‐life Alzheimer's and non‐Alzheimer's dementia: A nearly full life course prospective cohort study,FALSE
wls_zotero_HNLWQH8M,Life Course Modifiable Risk Factors for Dementia Stratified by ApoE-4 Status,NA,2025,Life Course Modifiable Risk Factors for Dementia Stratified by ApoE-4 Status,FALSE
wls_zotero_5YCLXYMW,Older Adults’ Economic Security: Do Marital Histories Contribute to Cumulative (Dis)advantages?,NA,2025,Older Adults’ Economic Security: Do Marital Histories Contribute to Cumulative (Dis)advantages?,FALSE
wls_zotero_QBT8IDU3,"Sibling Disconnectedness, Sibship Size, and Cognition in Later Life",NA,2025,"Sibling Disconnectedness, Sibship Size, and Cognition in Later Life",FALSE
wls_zotero_9ZYJQ4SV,Socioeconomic Status Across the Life Course and Old Age Cognition,NA,2025,Socioeconomic Status Across the Life Course and Old Age Cognition,FALSE
wls_zotero_VW8T5JK4,Life Course Approaches to Family Relationships and Health in Later Life: The Long-Lasting Shadow of Childhood Trauma,NA,2025,Life Course Approaches to Family Relationships and Health in Later Life: The Long-Lasting Shadow of Childhood Trauma,FALSE
