paper_id,zotero_key,item_type,fetch_date,fetch_status,source
wls_zotero_7EN8PA7J,7EN8PA7J,thesis,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_449XT22G,449XT22G,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_HWJQN8QB,HWJQN8QB,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_D567XIYD,D567XIYD,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_82BX4BKF,82BX4BKF,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_VQSHQI2A,VQSHQI2A,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_AMWH67QK,AMWH67QK,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_297LEQW4,297LEQW4,preprint,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_SMB78DNL,SMB78DNL,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_HNLWQH8M,HNLWQH8M,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_5YCLXYMW,5YCLXYMW,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_QBT8IDU3,QBT8IDU3,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_9ZYJQ4SV,9ZYJQ4SV,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_VW8T5JK4,VW8T5JK4,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_BBIL8AH3,BBIL8AH3,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_279K67Y7,279K67Y7,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_NVY88FFU,NVY88FFU,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_CWX4DQ3P,CWX4DQ3P,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_5PLMQ4YH,5PLMQ4YH,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_J4UVV3AW,J4UVV3AW,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_LWDB3EJ9,LWDB3EJ9,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_7WDKI8BI,7WDKI8BI,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_XA6WRECJ,XA6WRECJ,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_W3F5RGPP,W3F5RGPP,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_GXVLLBHQ,GXVLLBHQ,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_F8TZ2A44,F8TZ2A44,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_KXTPK8R9,KXTPK8R9,presentation,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_ZD4FTMHC,ZD4FTMHC,presentation,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_JVVJIFBC,JVVJIFBC,presentation,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_F2HYKUM8,F2HYKUM8,presentation,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_D4A2YDG6,D4A2YDG6,presentation,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_K7HU6W6M,K7HU6W6M,presentation,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_FGJ8RMYM,FGJ8RMYM,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_BIVBNNAK,BIVBNNAK,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_DUDQEYF9,DUDQEYF9,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_MWNIAQB8,MWNIAQB8,manuscript,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_R4Y5Z6X5,R4Y5Z6X5,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_N42FCF6H,N42FCF6H,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_IAYXU748,IAYXU748,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_RX4QA883,RX4QA883,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_3I7GZMS3,3I7GZMS3,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_JPPSPGMF,JPPSPGMF,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_CB4Y2B8R,CB4Y2B8R,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_WRAD8W5J,WRAD8W5J,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_8CQNZGVR,8CQNZGVR,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_L7ZZCB2Y,L7ZZCB2Y,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_IM6KJ9CT,IM6KJ9CT,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_7BLHEQFS,7BLHEQFS,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_L9PKZSD5,L9PKZSD5,thesis,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_M5KNDIQR,M5KNDIQR,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_IF8WIPAF,IF8WIPAF,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_FQ6IHPPB,FQ6IHPPB,presentation,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_EAW867BM,EAW867BM,presentation,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_G66V3WNS,G66V3WNS,presentation,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_CUJ4HKDU,CUJ4HKDU,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_LPVKBP6G,LPVKBP6G,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_ZLVQLXSB,ZLVQLXSB,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_2Y4LCFMK,2Y4LCFMK,presentation,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_6MWXAZM8,6MWXAZM8,presentation,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_38XZU4EF,38XZU4EF,presentation,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_Z7QEXNWF,Z7QEXNWF,presentation,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_DE6RK9JT,DE6RK9JT,presentation,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_UHXWES76,UHXWES76,bookSection,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_LNHB4QSG,LNHB4QSG,bookSection,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_6GYG8KNN,6GYG8KNN,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
wls_zotero_EWE7DTJU,EWE7DTJU,journalArticle,2026-06-24T19:38:31Z,success,zotero_group_5400572
