paper_id,zotero_key,item_type,title,pub_year,doi,url,author_list,n_authors
wls_zotero_7EN8PA7J,7EN8PA7J,thesis,Metacognition and self-awareness : neural and cognitive mechanisms in brain ageing and Alzheimer's disease,2026,NA,https://hdl.handle.net/2078.5/275668,Bellaali Y,1
wls_zotero_449XT22G,449XT22G,journalArticle,"Municipal water fluoridation, adolescent IQ, and cognition across the life course: Evidence from the Wisconsin Longitudinal Study",2026,10.1073/pnas.2536005123,https://www.pnas.org/doi/full/10.1073/pnas.2536005123,Warren JR|Rumore G|Sicinski K|Herd P|Engelman M,5
wls_zotero_HWJQN8QB,HWJQN8QB,journalArticle,Genetic and Phenotypic Associations of the Polygenic Score of Delay Discounting and Life History Traits,2026,10.1002/ajhb.70192,https://onlinelibrary.wiley.com/doi/abs/10.1002/ajhb.70192,Fieder M|Huber S,2
wls_zotero_D567XIYD,D567XIYD,journalArticle,Adolescent IQ and Risk of Dementia: A 67-Year Prospective Study,2026,10.1093/gerona/glag069,NA,Stephan Y|Sutin AR|Luchetti M|Karakose S|Terracciano A,5
wls_zotero_82BX4BKF,82BX4BKF,journalArticle,Voting Behavior and Mortality Risk in Older Adults: Evidence from the Wisconsin Longitudinal Study,2026,10.1093/geronb/gbag034,https://doi.org/10.1093/geronb/gbag034,Handy F|Konrath S,2
wls_zotero_VQSHQI2A,VQSHQI2A,journalArticle,"Polygenic Associations Between Motor Behavior, Neuromotor Traits, and Active Music Engagement in Four Cohorts",2026,10.1111/nyas.70191,NA,Henechowicz TL|Coleman PL|Gustavson DE|Mekki YN|Nayak S|Nitin R|Scartozzi AC|Tio ES|van Klei RTN|Felsky D|Thaut MH|Gordon RL,12
wls_zotero_AMWH67QK,AMWH67QK,journalArticle,Learning to give: Both genetic and shared environmental influences are reflected in the association between educational attainment and prosocial behaviour,2026,10.1177/00016993251409671,https://doi.org/10.1177/00016993251409671,Bekkers R|Merz EM|Li T,3
wls_zotero_297LEQW4,297LEQW4,preprint,GWAS of Active Music Engagement Frequency in the Canadian Longitudinal Study on Aging,2026,10.21203/rs.3.rs-8108581/v1,https://www.researchsquare.com/article/rs-8108581/v1,Henechowicz T|Wolford B|Nitin R|Mekki Y|Scartozzi A|Coleman P|Tio E|Schlicht G|Nayak S|Thaut M|Felsky D|Gordon R,12
wls_zotero_SMB78DNL,SMB78DNL,journalArticle,Early‐life influences on the risk for later‐life Alzheimer's and non‐Alzheimer's dementia: A nearly full life course prospective cohort study,2026,10.1002/alz.70967,https://pmc.ncbi.nlm.nih.gov/articles/PMC12805529/,Herd P|Sicinski K|Williams V|Asthana S|Engelman M,5
wls_zotero_HNLWQH8M,HNLWQH8M,journalArticle,Life Course Modifiable Risk Factors for Dementia Stratified by ApoE-4 Status,2025,10.1093/geroni/igaf122.2174,https://pmc.ncbi.nlm.nih.gov/articles/PMC12760680/,Williams V|Trane R|Sicinski K|Roan C|Herd P|Engelman M|Asthana S,7
wls_zotero_5YCLXYMW,5YCLXYMW,journalArticle,Older Adults’ Economic Security: Do Marital Histories Contribute to Cumulative (Dis)advantages?,2025,10.1093/geroni/igaf122.559,https://pmc.ncbi.nlm.nih.gov/articles/PMC12759942/,Carr D,1
wls_zotero_QBT8IDU3,QBT8IDU3,journalArticle,"Sibling Disconnectedness, Sibship Size, and Cognition in Later Life",2025,10.1093/geroni/igaf122.2788,https://pmc.ncbi.nlm.nih.gov/articles/PMC12760820/,Lee G|Kong J|Carr D|Engelman M,4
wls_zotero_9ZYJQ4SV,9ZYJQ4SV,journalArticle,Socioeconomic Status Across the Life Course and Old Age Cognition,2025,10.1093/geroni/igaf122.2298,https://pmc.ncbi.nlm.nih.gov/articles/PMC12760796/,Topping M,1
wls_zotero_VW8T5JK4,VW8T5JK4,journalArticle,Life Course Approaches to Family Relationships and Health in Later Life: The Long-Lasting Shadow of Childhood Trauma,2025,10.1093/geroni/igaf122.2106,https://pmc.ncbi.nlm.nih.gov/articles/PMC12760448/,Kong J|Robert S|Roberto K,3
wls_zotero_BBIL8AH3,BBIL8AH3,journalArticle,Trajectories of Sense of Purpose Later in Life: A Coordinated Analysis of Six Longitudinal Studies,2025,10.1093/geroni/igaf122.3676,https://pmc.ncbi.nlm.nih.gov/articles/PMC12762005/,Duchow O|Pfund G,2
wls_zotero_279K67Y7,279K67Y7,journalArticle,Public Health,2025,10.1002/alz70860_107692,NA,Williams VJ|Trane R|Sicinski K|Roan C|Herd P|Engelman M|Asthana S,7
wls_zotero_NVY88FFU,NVY88FFU,journalArticle,Developing Topics,2025,10.1002/alz70861_108816,NA,Lange K|Williams VJ|Trane R|Wilson RE|Reyes RER|Jeffers B|Keske E|Jensen C|Fredricks A|Strait BJ|Fischer AM|Cooke N|Henning E|Herd P|Engelman M|Johnson SC|Zetterberg H|Asthana S,18
wls_zotero_CWX4DQ3P,CWX4DQ3P,journalArticle,Dementia prevalence in the Wisconsin Longitudinal Study,2025,10.1002/alz.70714,NA,Williams VJ|Trane R|Sicinski K|Roan C|Lange K|DiLoreto K|Strait B|Fischer A|Wichmann G|Wartenweiler G|Cooke N|Henning E|Johnson SC|Engelman M|Herd P|Asthana S,16
wls_zotero_5PLMQ4YH,5PLMQ4YH,journalArticle,Loneliness and performance-based measures of physical function: coordinated meta-analytic findings from six cohorts,NA,10.1080/13607863.2025.2562139,https://doi.org/10.1080/13607863.2025.2562139,Stephan Y|Sutin AR|Luchetti M|Karakose S|Hajek A|O’Súilleabháin PrS|Terracciano A,7
wls_zotero_J4UVV3AW,J4UVV3AW,journalArticle,Religion as a Predictor of Mental Health in a Christian Older Adult Population: Linear and Curvilinear Approaches,2025,NA,https://aquila.usm.edu/dissertations/2399,Lawrence R,1
wls_zotero_LWDB3EJ9,LWDB3EJ9,journalArticle,Genotypic and socioeconomic risks for depressive symptoms in two U.S. cohorts spanning early to older adulthood,2025,10.1037/abn0001051,NA,Sbarra DA|Trejo S|Harden KP|Oliver JC|Klimentidis YC,5
wls_zotero_7WDKI8BI,7WDKI8BI,journalArticle,Adolescent IQ and Performance-Based Measures of Physical Function in Old Age: A 54-year Longitudinal Study,2025,10.1093/geronb/gbaf150,https://doi.org/10.1093/geronb/gbaf150,Stephan Y|Sutin AR|Luchetti M|Terracciano A,4
wls_zotero_XA6WRECJ,XA6WRECJ,journalArticle,Perceived Spousal Similarity in Outlook on Life: Implications for Later-Life Well-Being,2025,10.1093/geronb/gbaf134,NA,Qin Y|Moorman S|Engelman M,3
wls_zotero_W3F5RGPP,W3F5RGPP,journalArticle,Purpose and meaning in life and the trajectory of episodic memory in eight longitudinal samples,2025,10.1177/25424823251349147,https://doi.org/10.1177/25424823251349147,Sutin AR|Brown J|Luchetti M|Stephan Y|Terracciano A,5
wls_zotero_GXVLLBHQ,GXVLLBHQ,journalArticle,Do Social Security Benefits Rules Perpetuate Marital Status and Gender Inequalities?,2025,10.1093/geront/gnaf158,https://doi.org/10.1093/geront/gnaf158,Carr D|Wang L|Smock PJ,3
wls_zotero_F8TZ2A44,F8TZ2A44,journalArticle,Midlife and late-life environmental exposures on dementia risk in the Wisconsin Longitudinal Study: The modifying effects of ApoE,2024,NA,https://alz.journals.onlinelibrary.wiley.com/doi/full/10.1002/alz.14216,Williams VJ|Trane R|Sicinski K|Herd P|Engelman M|Asthana S,6
wls_zotero_KXTPK8R9,KXTPK8R9,presentation,Impact of High School Background on Old Age Cognition: Evidence From a Wisconsin Cohort,2024,NA,https://doi.org/10.1093/geroni/igae098.1356,Topping M|Engelman M,2
wls_zotero_ZD4FTMHC,ZD4FTMHC,presentation,The association between mid‐life personality traits and late‐life dementia risk in the Wisconsin Longitudinal Study,2024,NA,https://alz-journals.onlinelibrary.wiley.com/doi/10.1002/alz.092932,Strait BJ|Trane R|Lange K|Asthana S|Williams VJ,5
wls_zotero_JVVJIFBC,JVVJIFBC,presentation,Siblings’ Educational Differentials and Later-Life Cognitive Health,2024,NA,https://doi.org/10.1093/geroni/igae098.1357,Qin Y|Engelman M,2
wls_zotero_F2HYKUM8,F2HYKUM8,presentation,Sibling Relationships and Cognitive Trajectories in the Wisconsin Longitudinal Study,2024,NA,https://academic.oup.com/innovateage/article/8/Supplement_1/417/7936591,Lee G|Engelman M|Kong J,3
wls_zotero_D4A2YDG6,D4A2YDG6,presentation,Deep Learning Models for Predicting the Risk of Cardivascular Incidents Based on the Wisconsin Longitudinal Study,2024,NA,https://journals.lww.com/jhypertension/abstract/2024/05001/deep_learning_models_for_predicting_the_risk_of.134.aspx,Kvan V|Artomov M,2
wls_zotero_K7HU6W6M,K7HU6W6M,presentation,Early Life Influences on Later Life ADRD Risk: The Roles of Adolescent Cognitive Function and Education,2024,NA,https://doi.org/10.1093/geroni/igae098.1355,Herd P|Asthana S|Engelman M|Sicinski K|Trane R|Williams V,6
wls_zotero_FGJ8RMYM,FGJ8RMYM,journalArticle,"Linking the 1940 U.S. Census to the National Social Life, Health, and Aging Project: Novel Opportunity to Understand the Effects of Early-Life Residential Environment on Cognitive Aging",2025,10.1093/geronb/gbae106,https://doi.org/10.1093/geronb/gbae106,Lee H|Warren JR|Iveniuk J|Riley A|Hawkley L|Hanis-Martin J|Choi KW,7
wls_zotero_BIVBNNAK,BIVBNNAK,journalArticle,Receiving Social Support Motivates Long-Term Prosocial Behavior,2025,10.1007/s10551-024-05743-7,https://link.springer.com/article/10.1007/s10551-024-05743-7,Trombini C|Jiang W|Kinias Z,3
wls_zotero_DUDQEYF9,DUDQEYF9,journalArticle,Contribution of rare chromosome 22q11.2 copy number variants to non-syndromic bicuspid aortic valve,2025,10.1136/heartjnl-2024-324669,https://heart.bmj.com/content/111/5/221,DiGregorio H|Mansoorshahi S|Carlisle SG|Pensa CT|Watts A|McNeely C|Sabate-Rotes A|Yetman A|Michelena HI|Backer JFAD|Mosquera LMo|Bissell MM|Andreassi MG|Foffa I|Hui DS|Caffarelli A|Kim YY|Citro R|Marco MD|Tretter JT|McBride KL|Body SC|Milewicz DM|Prakash SK,24
wls_zotero_MWNIAQB8,MWNIAQB8,manuscript,Changes in the College Mobility Pipeline Since 1900,2025,NA,https://www-nber-org.ezproxy.library.wisc.edu/papers/w33797,Bleemer Z|Quincy S,2
wls_zotero_R4Y5Z6X5,R4Y5Z6X5,journalArticle,Building Survey Data Infrastructure on Aging: The Legacy of NIA,2025,10.1093/geront/gnaf038,https://doi.org/10.1093/geront/gnaf038,Agree EM|Sonnega A|Wolf DA,3
wls_zotero_N42FCF6H,N42FCF6H,journalArticle,Using internet-assisted geocoding of 1940 census addresses to reconstruct enumeration districts for use with redlining and longitudinal health datasets,2025,10.1371/journal.pgph.0004067,https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0004067,Huang SJ|Boudreaux M|Whilby KW|McCoy RG|Sehgal NJ,5
wls_zotero_IAYXU748,IAYXU748,journalArticle,Compensating or boosting genetic propensities? Gene-family socioeconomic status interactions by educational outcome selectivity,2025,10.1016/j.ssresearch.2025.103174,https://www.sciencedirect.com/science/article/pii/S0049089X25000353,Ghirardi G|Bernardi F,2
wls_zotero_RX4QA883,RX4QA883,journalArticle,Is Healthy Neuroticism Associated with Longevity? A Coordinated Integrative Data Analysis,2020,10.1525/collabra.268,https://doi.org/10.1525/collabra.268,Turiano NA|Graham EK|Weston SJ|Booth T|Harrison F|James BD|Lewis NA|Makkar SR|Mueller S|Wisniewski KM|Zhaoyang R|Spiro A|Willis S|Schaie KW|Lipton RB|Katz M|Sliwinski M|Deary IJ|Zelinski EM|Bennett DA|Sachdev PS|Brodaty H|Trollor JN|Ames D|Wright MJ|Gerstorf D|Muniz-Terrera G|Piccinin AM|Hofer SM|Mroczek DK,30
wls_zotero_3I7GZMS3,3I7GZMS3,journalArticle,Sibling Relationships in Adulthood: Research Findings and New Frontiers,2020,10.1111/jftr.12385,https://onlinelibrary.wiley.com/doi/abs/10.1111/jftr.12385,Gilligan M|Stocker CM|Jewsbury Conger K,3
wls_zotero_JPPSPGMF,JPPSPGMF,journalArticle,Families in Later Life: A Decade in Review,2020,10.1111/jomf.12609,https://onlinelibrary.wiley.com/doi/abs/10.1111/jomf.12609,Carr D|Utz RL,2
wls_zotero_CB4Y2B8R,CB4Y2B8R,journalArticle,Is Healthy Neuroticism Associated with Health Behaviors? A Coordinated Integrative Data Analysis,2020,10.1525/collabra.266,https://doi.org/10.1525/collabra.266,Graham EK|Weston SJ|Turiano NA|Aschwanden D|Booth T|Harrison F|James BD|Lewis NA|Makkar SR|Mueller S|Wisniewski KM|Yoneda T|Zhaoyang R|Spiro A|Willis S|Schaie KW|Sliwinski M|Lipton RA|Katz MJ|Deary IJ|Zelinski EM|Bennett DA|Sachdev PS|Brodaty H|Trollor JN|Ames D|Wright MJ|Gerstorf D|Allemand M|Drewelies J|Wagner GG|Muniz-Terrera G|Piccinin AM|Hofer SM|Mroczek DK,35
wls_zotero_WRAD8W5J,WRAD8W5J,journalArticle,Is Healthy Neuroticism Associated with Chronic Conditions? A Coordinated Integrative Data Analysis,2020,10.1525/collabra.267,https://doi.org/10.1525/collabra.267,Weston SJ|Graham EK|Turiano NA|Aschwanden D|Booth T|Harrison F|James BD|Lewis NA|Makkar SR|Mueller S|Wisniewski KM|Yoneda T|Zhaoyang R|Spiro A|Drewelies J|Wagner GG|Steinhagen-Thiessen E|Demuth I|Willis S|Schaie KW|Sliwinski M|Lipton RA|Katz M|Deary IJ|Zelinski EM|Bennett DA|Sachdev PS|Brodaty H|Trollor JN|Ames D|Wright MJ|Gerstorf D|Allemand M|Muniz-Terrera G|Piccinin AM|Hofer SM|Mroczek DK,37
