dataset,n_papers,n_authors,hhi,top1,top3,top5,top10,coverage_ratio,year_min,year_max,year_span,n_pub_years,papers_per_year
PHRESH,56,80,2.5003,1,1,1,1,1,2014,2026,13,13,4.31
Sister,393,1553,1.428,0.888,0.9338,0.9618,0.972,NA,2007,2026,20,19,19.65
SHOW,123,339,0.7964,0.6667,0.7398,0.7805,0.813,NA,2010,2026,17,16,7.24
PROSPER,259,193,NA,0.6332,0.8031,0.8378,0.8803,NA,1993,2019,27,27,9.56
StrongHeart,371,780,1.3048,0.5876,0.6765,0.8248,0.9003,1,1990,2026,37,36,10.03
HCHS_SOL,642,2494,1.3742,0.5639,0.7897,0.852,0.9097,0.7926,2010,2026,17,16,37.76
BLSA,821,1578,0.5133,0.4762,0.6577,0.7357,0.7747,1,1979,2026,48,48,17.1
NIH_AARP,459,1217,0.6109,0.4248,0.5468,0.6166,0.7974,NA,1997,2024,28,25,16.39
HPFS,1384,1933,0.6209,0.4162,0.6893,0.7507,0.7775,1,1990,2026,37,36,37.41
REGARDS,893,3487,0.7428,0.3863,0.7492,0.8343,0.8981,NA,2001,2026,26,24,34.35
CHS,1866,10052,0.762,0.3564,0.582,0.627,0.7122,0.6617,1976,2026,51,40,36.59
EdShare_post2017,54,94,0.3532,0.3333,0.3333,0.3333,0.4074,NA,2017,2025,9,9,6
CARDIA,1364,3215,0.3748,0.3182,0.5513,0.6437,0.7485,NA,1987,2025,39,39,34.97
JHS,657,2663,0.342,0.2725,0.5708,0.6514,0.726,1,1999,2026,28,26,23.46
NHS,3450,4102,0.2909,0.2467,0.4186,0.5342,0.642,1,1978,2026,49,42,70.41
EdShare_post2015,105,174,0.15,0.2381,0.2571,0.2667,0.3429,NA,2015,2025,11,11,9.55
SWAN,707,943,0.4092,0.2291,0.5276,0.6464,0.7553,1,1999,2026,28,28,25.25
ARIC,3410,12681,0.5057,0.1994,0.4818,0.5944,0.7155,NA,1988,2026,39,39,87.44
Framingham,4523,16127,0.3654,0.1941,0.3544,0.4515,0.6737,0.7221,1951,2026,76,65,59.51
WHI,3467,6919,0.1449,0.1771,0.2781,0.3438,0.4399,1,1991,2026,36,36,96.31
MESA,1877,7234,NA,0.1668,0.2952,0.4518,0.5962,NA,2002,2026,25,25,75.08
WLS,1006,1650,0.0464,0.1322,0.2107,0.2843,0.3549,NA,1958,2026,69,66,14.57
ALSPAC,2982,9810,0.0966,0.0939,0.2626,0.3571,0.4742,NA,1990,2025,36,35,82.83
MIDUS,2294,3521,0.0286,0.0833,0.1857,0.2132,0.2507,NA,1998,2026,29,29,79.1
FFCWS,1710,1771,0.0237,0.0719,0.1316,0.1784,0.2626,NA,1998,2026,29,29,58.72
NHATS,1162,2006,0.0388,0.0628,0.1523,0.1962,0.2573,NA,2011,2025,15,7,77.47
ABCD,1963,5957,0.0552,0.0621,0.0779,0.1207,0.2318,NA,2017,2026,10,10,196.3
AddHealth,2664,4012,0.0125,0.042,0.0995,0.1344,0.1682,1,1997,2026,30,30,88.8
HRS,4652,6916,0.0146,0.0415,0.0899,0.1137,0.1466,1,1995,2026,32,32,145.38
EdShare,989,1059,0.0093,0.0273,0.0495,0.0677,0.1365,NA,1972,2025,54,54,18.31
ADNI,5332,13596,0.0234,0.0272,0.0737,0.1035,0.147,NA,2005,2025,21,21,253.9
EdShare_pre2015,884,904,0.0092,0.0226,0.06,0.1199,0.2048,NA,1972,2014,43,43,20.56
