dataset_label,papers_per_year,x,xend
Sister,19.65,0.9338,0.972
SHOW,7.24,0.7398,0.813
PROSPER,9.56,0.8031,0.8803
StrongHeart,10.03,0.6765,0.9003
HCHS SOL,37.76,0.7897,0.9097
BLSA,17.1,0.6577,0.7747
NIH AARP,16.39,0.5468,0.7974
HPFS,37.41,0.6893,0.7775
REGARDS,34.35,0.7492,0.8981
CHS,36.59,0.582,0.7122
CARDIA,34.97,0.5513,0.7485
JHS,23.46,0.5708,0.726
NHS,70.41,0.4186,0.642
EdShare (≥2015),9.55,0.2571,0.3429
SWAN,25.25,0.5276,0.7553
ARIC,87.44,0.4818,0.7155
Framingham,59.51,0.3544,0.6737
WHI,96.31,0.2781,0.4399
MESA,75.08,0.2952,0.5962
WLS,14.57,0.2107,0.3549
ALSPAC,82.83,0.2626,0.4742
MIDUS,79.1,0.1857,0.2507
FFCWS,58.72,0.1316,0.2626
NHATS,77.47,0.1523,0.2573
ABCD,196.3,0.0779,0.2318
AddHealth,88.8,0.0995,0.1682
HRS,145.38,0.0899,0.1466
EdShare,18.31,0.0495,0.1365
ADNI,253.9,0.0737,0.147
EdShare (≤2014),20.56,0.06,0.2048
