dataset_label,papers_per_year,n_pub_years,share,point_size_mm,crowded,stagger,nudge_x,nudge_y
HRS,145.38,32,0.1466,8.355727485873498,FALSE,0,0,4
ADNI,253.9,21,0.147,6.768912897813195,FALSE,0,0,12
AddHealth,88.8,30,0.1682,8.090398349558905,FALSE,0,0,4
ABCD,196.3,10,0.2318,4.670993664969138,FALSE,0,0,12
MIDUS,79.1,29,0.2507,7.954415583355402,FALSE,0,0,4
NHATS,77.47,7,0.2573,3.908033683673578,FALSE,0,0,4
FFCWS,58.72,29,0.2626,7.954415583355402,FALSE,0,0,4
WLS,14.57,66,0.3549,12,FALSE,0,0,4
EdShare (>=2017 journals),6,9,0.4074,4.431293675255978,FALSE,0,0,4
WHI,96.31,36,0.4399,8.862587350511957,FALSE,0,0,4
ALSPAC,82.83,35,0.4742,8.738628975053029,TRUE,-9,0.09200000000000001,-53
MESA,75.08,25,0.5962,7.385489458759965,TRUE,-8,0.084,-48
NHS,70.41,42,0.642,9.572688422609588,TRUE,-7,0.076,-43
Framingham,59.51,65,0.6737,11.908743922772956,TRUE,-6,0.068,-38
CHS,36.59,40,0.7122,9.341987329938275,TRUE,-5,0.06,-33
ARIC,87.44,39,0.7155,9.224473377429689,TRUE,-4,0.052000000000000005,-28
JHS,23.46,26,0.726,7.531750973530174,TRUE,-3,0.044,-23
CARDIA,34.97,39,0.7485,9.224473377429689,TRUE,-2,0.036000000000000004,-18
SWAN,25.25,28,0.7553,7.816067367347156,TRUE,-1,0.028,-13
BLSA,17.1,48,0.7747,10.233634385069301,TRUE,0,0.02,-8
HPFS,37.41,36,0.7775,8.862587350511957,TRUE,1,0.028,-3
NIH AARP,16.39,25,0.7974,7.385489458759965,TRUE,2,0.036000000000000004,2
SHOW,7.24,16,0.813,5.908391567007971,TRUE,3,0.044,7
PROSPER,9.56,27,0.8803,7.675225788801976,TRUE,4,0.052000000000000005,12
REGARDS,34.35,24,0.8981,7.236272269866327,TRUE,5,0.06,17
StrongHeart,10.03,36,0.9003,8.862587350511957,TRUE,6,0.068,22
HCHS SOL,37.76,16,0.9097,5.908391567007971,TRUE,7,0.076,27
Sister,19.65,19,0.972,6.438520439863918,TRUE,8,0.084,32
PHRESH,4.31,13,1,5.325752187591567,TRUE,9,0.09200000000000001,37
