acronym,dataset,n_papers
ADNI,ADNI,5332
HRS,HRS,4652
Framingham,Framingham,4523
WHI,WHI,3467
NHS,NHS,3450
ARIC,ARIC,3410
ALSPAC,ALSPAC,2982
AddHealth,AddHealth,2664
MIDUS,MIDUS,2294
ABCD,ABCD,1963
MESA,MESA,1877
CHS,CHS,1866
FFCWS,FFCWS,1710
HPFS,HPFS,1384
CARDIA,CARDIA,1364
NHATS,NHATS,1162
WLS,WLS,1006
REGARDS,REGARDS,893
BLSA,BLSA,821
SWAN,SWAN,707
JHS,JHS,657
HCHS SOL,HCHS_SOL,642
NIH AARP,NIH_AARP,459
Sister,Sister,393
StrongHeart,StrongHeart,371
PROSPER,PROSPER,259
SHOW,SHOW,123
PHRESH,PHRESH,56
EdShare (>=2017 journals),EdShare_post2017,54
