group,study,birth_week,birth_year,death_year,cohort,week_in_year,deaths_total,age,rate
1,NSHD,10-16 February 1944,1944,1970,0,1,6,26,0.3931847968545216
1,NSHD,10-16 February 1944,1944,1971,0,1,7,27,0.45871559633027525
1,NSHD,10-16 February 1944,1944,1972,0,1,7,28,0.45871559633027525
1,NSHD,10-16 February 1944,1944,1973,0,1,8,29,0.5242463958060288
1,NSHD,10-16 February 1944,1944,1974,0,1,10,30,0.6553079947575361
1,NSHD,10-16 February 1944,1944,1975,0,1,11,31,0.7208387942332896
1,NSHD,10-16 February 1944,1944,1976,0,1,7,32,0.45871559633027525
1,NSHD,10-16 February 1944,1944,1977,0,1,7,33,0.45871559633027525
1,NSHD,10-16 February 1944,1944,1978,0,1,16,34,1.0484927916120577
1,NSHD,10-16 February 1944,1944,1979,0,1,12,35,0.7863695937090432
1,NSHD,10-16 February 1944,1944,1980,0,1,26,36,1.7038007863695936
1,NSHD,10-16 February 1944,1944,1981,0,1,20,37,1.3106159895150722
1,NSHD,10-16 February 1944,1944,1982,0,1,14,38,0.9174311926605505
1,NSHD,10-16 February 1944,1944,1983,0,1,14,39,0.9174311926605505
1,NSHD,10-16 February 1944,1944,1984,0,1,11,40,0.7208387942332896
1,NSHD,10-16 February 1944,1944,1985,0,1,18,41,1.179554390563565
1,NSHD,10-16 February 1944,1944,1986,0,1,18,42,1.179554390563565
1,NSHD,10-16 February 1944,1944,1987,0,1,31,43,2.0314547837483614
1,NSHD,10-16 February 1944,1944,1988,0,1,36,44,2.35910878112713
1,NSHD,10-16 February 1944,1944,1989,0,1,29,45,1.9003931847968545
1,NSHD,10-16 February 1944,1944,1990,0,1,30,46,1.965923984272608
1,NSHD,10-16 February 1944,1944,1991,0,1,41,47,2.686762778505898
1,NSHD,10-16 February 1944,1944,1992,0,1,43,48,2.8178243774574048
1,NSHD,10-16 February 1944,1944,1993,0,1,45,49,2.948885976408912
1,NSHD,10-16 February 1944,1944,1994,0,1,45,50,2.948885976408912
1,NSHD,10-16 February 1944,1944,1995,0,1,51,51,3.342070773263434
1,NSHD,10-16 February 1944,1944,1996,0,1,52,52,3.4076015727391873
1,NSHD,10-16 February 1944,1944,1997,0,1,59,53,3.8663171690694624
1,NSHD,10-16 February 1944,1944,1998,0,1,60,54,3.931847968545216
