,coef,se,t,pval,ci_lo,ci_hi
Intercept,0.24288184705893825,0.05759777909767701,4.2168613245841975,2.4772621132692673e-05,0.12999227443799738,0.35577141967987913
C(age)[T.1],1.4688972508865583,0.06354687638512374,23.11517629890028,3.2583133391045695e-118,1.344347661841697,1.5934468399314197
C(age)[T.10],0.22243611722601236,0.018405401610471904,12.085371562849001,1.2619836242271374e-33,0.18636219294849193,0.2585100415035328
C(age)[T.11],0.2559918131403048,0.01920306883527837,13.330776207499538,1.5329435069680727e-40,0.21835448983051564,0.2936291364500939
C(age)[T.12],0.21320404009077565,0.01789969514980219,11.911043082380749,1.0367217167930957e-32,0.17812128226291707,0.24828679791863423
C(age)[T.13],0.2460229481128367,0.01593788185460181,15.43636415160158,9.320860476896532e-54,0.2147852736879627,0.27726062253771067
C(age)[T.14],0.2640205365446815,0.01669317817032153,15.816073718908623,2.410645907941139e-56,0.23130250854334106,0.29673856454602193
C(age)[T.15],0.3448249463810813,0.017669885805057482,19.514837287877963,8.213018112433842e-85,0.3101926065922331,0.3794572861699295
C(age)[T.16],0.37496717922797307,0.017561347541417853,21.351845485867496,3.7484052422634676e-101,0.34054757052680307,0.40938678792914307
C(age)[T.17],0.5586134246903289,0.02303218551030701,24.253600442752028,6.058399222163313e-130,0.5134711706048819,0.603755678775776
C(age)[T.18],0.7090766399937101,0.024564498147050914,28.86591192496388,3.1994761750477383e-183,0.6609311083271894,0.7572221716602308
C(age)[T.19],0.6810452772736613,0.025295660376279238,26.92340374368344,1.16886488282914e-159,0.6314666939709971,0.7306238605763254
C(age)[T.2],0.7201606227706105,0.03775797379487568,19.073073854094023,4.227117020729901e-81,0.6461563540034471,0.794164891537774
C(age)[T.20],0.6413620750528339,0.02631099669340977,24.376198382993174,3.0588802903753367e-131,0.5897934691363983,0.6929306809692696
C(age)[T.21],0.6248376861508016,0.024023629439007543,26.0092958783423,3.887338148367533e-149,0.5777522376724107,0.6719231346291925
C(age)[T.22],0.5927348015729733,0.02023430415195012,29.29355994265053,1.2527603620889594e-188,0.5530762941829218,0.6323933089630248
C(age)[T.23],0.5745324446304703,0.02228372930666597,25.782598447675642,1.3899146685834653e-146,0.5308571377481652,0.6182077515127753
C(age)[T.24],0.5377884900210708,0.020949834646838455,25.670297598374056,2.5095697656677138e-145,0.496727568631198,0.5788494114109435
C(age)[T.25],0.5864763029440543,0.02074325338500469,28.273110878933693,7.401090262830228e-176,0.5458202733872566,0.627132332500852
C(age)[T.26],0.5383094093478388,0.01902388744777243,28.29649885312327,3.816287975862618e-176,0.5010232751042611,0.5755955435914164
C(age)[T.27],0.5787237948540231,0.02296889538814633,25.19597852113898,4.433553456810559e-140,0.5337055871285882,0.6237420025794581
C(age)[T.28],0.5663616467183398,0.020159284795439256,28.09433233695229,1.148945051740642e-173,0.5268501745651929,0.6058731188714866
C(age)[T.29],0.6095371253767797,0.02167250794965996,28.12490030192114,4.860254391510087e-174,0.5670597903407882,0.6520144604127712
C(age)[T.3],0.5302809254673096,0.025995146855717445,20.3992279178326,1.698764960371387e-92,0.4793313738572738,0.5812304770773454
C(age)[T.30],0.6330605162293603,0.02057364729439796,30.77045635956526,6.5130463107983924e-208,0.5927369085017103,0.6733841239570103
C(age)[T.31],0.659245337986875,0.020911270805961984,31.525838104440716,3.8447697517237816e-218,0.6182600003362256,0.7002306756375244
C(age)[T.32],0.6853150746651084,0.02343661745606884,29.241210936250027,5.808093923982914e-188,0.6393801485317707,0.7312500007984462
C(age)[T.33],0.7277758135779961,0.022604852584990266,32.195556721358265,2.0366322492757203e-227,0.683471116635578,0.7720805105204143
C(age)[T.34],0.7942090684228256,0.023448632303579187,33.8701659926493,1.8323337567339444e-251,0.7482505936210879,0.8401675432245632
C(age)[T.35],0.8451580567477706,0.021496896450872004,39.315352273257446,0.0,0.8030249139246746,0.8872911995708666
C(age)[T.36],0.8912809906922635,0.02303288420264822,38.69602186380931,0.0,0.8461373671949914,0.9364246141895356
C(age)[T.37],0.9597760009383722,0.024479444914264497,39.20742501718648,0.0,0.9117971705448816,1.007754831331863
C(age)[T.38],1.0070531183986982,0.02619796851784351,38.44012247410678,0.0,0.9557060436356107,1.0584001931617857
C(age)[T.39],1.111540547894894,0.023998601144182473,46.31688910602791,0.0,1.0645041539729547,1.1585769418168335
C(age)[T.4],0.4686960284186251,0.022722934183258596,20.626562777440192,1.585254420275698e-94,0.4241598957963642,0.5132321610408861
C(age)[T.40],1.1721277519582893,0.029667054063965838,39.50940829618731,0.0,1.1139813944655137,1.230274109451065
C(age)[T.41],1.3101592507333433,0.029633917941922,44.21147596146609,0.0,1.252077838846361,1.3682406626203256
C(age)[T.42],1.4128909093441646,0.02548858496814228,55.43230081662483,0.0,1.3629342007897167,1.4628476178986125
C(age)[T.43],1.5445467151906775,0.03242342463867242,47.636754365189695,0.0,1.480997970643431,1.608095459737924
C(age)[T.44],1.6572008473768365,0.03762612292310802,44.04389075014342,0.0,1.5834550015696678,1.7309466931840052
C(age)[T.45],1.870466056471154,0.043772819207815644,42.73122203052395,0.0,1.7846729073220522,1.9562592056202557
C(age)[T.46],2.034489138790885,0.04089850658759657,49.74482709859855,0.0,1.9543295388577218,2.1146487387240485
C(age)[T.47],2.1307166621102938,0.03720488436556893,57.26981009198229,0.0,2.057796428704801,2.2036368955157863
C(age)[T.48],2.347000518210617,0.042371441926044855,55.39109389543725,0.0,2.2639540180625386,2.4300470183586955
C(age)[T.49],2.59572543761311,0.05096692941899777,50.929602140119535,0.0,2.4958320915492793,2.6956187836769407
C(age)[T.5],0.34913071358637593,0.02310005451038238,15.113848040032035,1.3124621248008635e-51,0.30385543870511444,0.3944059884676374
C(age)[T.50],2.7931587442610653,0.05070024206267444,55.09162541686149,0.0,2.6937880958107607,2.8925293927113698
C(age)[T.51],2.9696186809160654,0.057046973775350764,52.05567419948222,0.0,2.857808666889377,3.081428694942754
C(age)[T.52],3.2419487081837186,0.052203389693678895,62.102264377982976,0.0,3.1396319445131984,3.344265471854239
C(age)[T.53],3.5496201883781957,0.056831302525178116,62.45889203059526,0.0,3.438232882234346,3.661007494522045
C(age)[T.54],3.73757822090532,0.06797151295565976,54.987421323745956,0.0,3.604356503537529,3.8707999382731106
C(age)[T.55],4.100910708140128,0.08639783531763857,47.4654335153569,0.0,3.9315740625753333,4.270247353704922
C(age)[T.56],4.544077864441742,0.07939968370871522,57.230427782459365,0.0,4.388457343988788,4.699698384894695
C(age)[T.57],4.960565432067424,0.08079409100779007,61.397626610950205,0.0,4.802211923528504,5.118918940606345
C(age)[T.58],5.275192635953111,0.09674012128206931,54.52952266383878,0.0,5.0855854823802185,5.464799789526004
C(age)[T.59],5.61788340748719,0.09329282983711464,60.21774039115094,0.0,5.435032820990621,5.8007339939837586
C(age)[T.6],0.31652184359997154,0.02373312200333465,13.336713288521343,1.4156458121611576e-40,0.27000577923274055,0.36303790796720253
C(age)[T.60],5.978413780948492,0.10178885889653712,58.73347874962649,0.0,5.7789112834838505,6.177916278413134
C(age)[T.61],6.349786871424287,0.11537097427207661,55.037992974296436,0.0,6.12366391698972,6.575909825858854
C(age)[T.62],6.625678649582026,0.10554464506583715,62.7760759008572,0.0,6.418814946491922,6.83254235267213
C(age)[T.63],7.259312554135477,0.12126802413020832,59.861720401587334,0.0,7.021631594363934,7.496993513907019
C(age)[T.64],7.58279905686209,0.1308388458239576,57.955257929015,0.0,7.326359631268344,7.839238482455835
C(age)[T.65],8.094624931707434,0.13141055315748174,61.597982332567135,0.0,7.837064980330284,8.352184883084584
C(age)[T.66],8.456891486208836,0.14539376371743956,58.16543481633838,0.0,8.171924945745928,8.741858026671743
C(age)[T.67],9.2562273391806,0.170320640759405,54.34589312199658,0.0,8.92240501746838,9.590049660892818
C(age)[T.68],9.903562533355814,0.2234449347543287,44.32216171847662,0.0,9.465618508709428,10.3415065580022
C(age)[T.69],10.599377507996115,0.3412751395615548,31.05815888497889,8.85282081025436e-212,9.930490525636587,11.268264490355643
C(age)[T.7],0.27668115864244547,0.02125430507973515,13.017652546365595,9.711060980114423e-39,0.23502348616973784,0.3183388311151531
C(age)[T.8],0.2359108332086878,0.018139066049505184,13.005676949675324,1.1358857109343458e-38,0.20035891703846442,0.2714627493789112
C(age)[T.9],0.2319673891372644,0.020730882940528845,11.189460178937603,4.5922085881299994e-29,0.19133560520611204,0.27259917306841674
C(year)[T.1945],-0.13986240061536875,0.05707474333719122,-2.4505130016805734,0.014265281064292324,-0.25172684198313094,-0.02799795924760655
