,coef,se,t,pval,ci_lo,ci_hi
Intercept,0.2428818470589466,0.05759777909767962,4.21686132458415,2.4772621132697857e-05,0.1299922744380006,0.3557714196798926
C(age_needed)[T.1],1.4688972508865623,0.06354687638512099,23.115176298901343,3.2583133390245936e-118,1.3443476618417063,1.5934468399314183
C(age_needed)[T.10],0.22243611722600992,0.01840540161046905,12.085371562850744,1.26198362420038e-33,0.18636219294849507,0.25851004150352475
C(age_needed)[T.11],0.2559918131402979,0.019203068835252017,13.330776207517475,1.5329435065994878e-40,0.2183544898305604,0.29362913645003536
C(age_needed)[T.12],0.21320404009078772,0.017899695149830242,11.911043082362758,1.0367217170168094e-32,0.17812128226287416,0.24828679791870129
C(age_needed)[T.13],0.24602294811284067,0.015937881854624324,15.436364151580024,9.320860480010929e-54,0.21478527368792255,0.2772606225377588
C(age_needed)[T.14],0.2640205365446817,0.01669317817035574,15.816073718876225,2.4106459091812215e-56,0.23130250854327422,0.2967385645460892
C(age_needed)[T.15],0.34482494638107997,0.0176698858050816,19.514837287851254,8.21301811672586e-85,0.3101926065921845,0.3794572861699754
C(age_needed)[T.16],0.3749671792279836,0.017561347541414866,21.35184548587173,3.748405241923729e-101,0.34054757052681944,0.4093867879291478
C(age_needed)[T.17],0.5586134246903328,0.02303218551030634,24.2536004427529,6.0583992220346416e-130,0.5134711706048871,0.6037556787757785
C(age_needed)[T.18],0.709076639993695,0.02456449814704173,28.865911924974057,3.199476174106349e-183,0.6609311083271923,0.7572221716601977
C(age_needed)[T.19],0.6810452772736594,0.025295660376283294,26.923403743679046,1.1688648829675303e-159,0.6314666939709872,0.7306238605763316
C(age_needed)[T.2],0.7201606227706006,0.03775797379486405,19.073073854099633,4.227117020276451e-81,0.6461563540034598,0.7941648915377413
C(age_needed)[T.20],0.6413620750528339,0.026310996693398307,24.376198383003793,3.0588802895823476e-131,0.5897934691364208,0.692930680969247
C(age_needed)[T.21],0.6248376861508059,0.024023629439011325,26.009295878338385,3.8873381487638735e-149,0.5777522376724076,0.6719231346292043
C(age_needed)[T.22],0.5927348015729718,0.02023430415195666,29.293559942640982,1.2527603624396541e-188,0.5530762941829074,0.6323933089630361
C(age_needed)[T.23],0.574532444630481,0.022283729306642075,25.782598447703773,1.3899146675738173e-146,0.5308571377482229,0.6182077515127392
C(age_needed)[T.24],0.537788490021068,0.020949834646826978,25.670297598387986,2.5095697647692146e-145,0.4967275686312177,0.5788494114109183
C(age_needed)[T.25],0.5864763029440558,0.02074325338501475,28.273110878920058,7.401090265686998e-176,0.5458202733872384,0.6271323325008733
C(age_needed)[T.26],0.5383094093478389,0.019023887447798534,28.29649885308445,3.8162879800595955e-176,0.5010232751042102,0.5755955435914676
C(age_needed)[T.27],0.5787237948540244,0.022968895388172424,25.195978521110412,4.433553460006877e-140,0.5337055871285382,0.6237420025795105
C(age_needed)[T.28],0.5663616467183441,0.020159284795466532,28.094332336914494,1.1489450529622393e-173,0.5268501745651438,0.6058731188715444
C(age_needed)[T.29],0.6095371253767716,0.02167250794967844,28.124900301896783,4.860254394843933e-174,0.5670597903407438,0.6520144604127994
C(age_needed)[T.3],0.5302809254672967,0.025995146855726448,20.399227917825037,1.698764960634135e-92,0.47933137385724317,0.5812304770773501
C(age_needed)[T.30],0.6330605162293594,0.020573647294367916,30.77045635961015,6.513046301792101e-208,0.5927369085017684,0.6733841239569505
C(age_needed)[T.31],0.6592453379868803,0.020911270805972805,31.525838104424658,3.8447697536719237e-218,0.6182600003362098,0.7002306756375509
C(age_needed)[T.32],0.68531507466511,0.023436617456078467,29.241210936238083,5.808093926014396e-188,0.6393801485317534,0.7312500007984666
C(age_needed)[T.33],0.7277758135780039,0.022604852585001813,32.195556721342165,2.0366322503323197e-227,0.6834711166355633,0.7720805105204446
C(age_needed)[T.34],0.7942090684228306,0.02344863230358393,33.87016599264266,1.832333757146137e-251,0.7482505936210836,0.8401675432245775
C(age_needed)[T.35],0.8451580567477737,0.02149689645083462,39.315352273325956,0.0,0.803024913924751,0.8872911995707964
C(age_needed)[T.36],0.8912809906922652,0.0230328842026433,38.69602186381764,0.0,0.8461373671950028,0.9364246141895276
C(age_needed)[T.37],0.9597760009383707,0.02447944491428031,39.20742501716109,0.0,0.9117971705448491,1.0077548313318923
C(age_needed)[T.38],1.0070531183987,0.02619796851782753,38.44012247413029,0.0,0.9557060436356438,1.0584001931617562
C(age_needed)[T.39],1.1115405478948968,0.023998601144203165,46.31688910598808,0.0,1.0645041539729168,1.1585769418168768
C(age_needed)[T.4],0.468696028418618,0.02272293418325635,20.62656277744192,1.585254420219111e-94,0.4241598957963615,0.5132321610408745
C(age_needed)[T.40],1.172127751958289,0.02966705406397726,39.50940829617209,0.0,1.113981394465491,1.2302741094510872
C(age_needed)[T.41],1.31015925073334,0.029633917941924735,44.2114759614619,0.0,1.252077838846352,1.3682406626203278
C(age_needed)[T.42],1.4128909093441706,0.025488584968142783,55.43230081662397,0.0,1.3629342007897218,1.4628476178986194
C(age_needed)[T.43],1.5445467151906773,0.03242342463866177,47.63675436520534,0.0,1.4809979706434517,1.608095459737903
C(age_needed)[T.44],1.6572008473768425,0.03762612292311924,44.043890750130444,0.0,1.5834550015696518,1.7309466931840332
C(age_needed)[T.45],1.8704660564711502,0.04377281920783872,42.731222030501335,0.0,1.7846729073220031,1.9562592056202972
C(age_needed)[T.46],2.0344891387908826,0.04089850658759515,49.74482709860022,0.0,1.954329538857722,2.114648738724043
C(age_needed)[T.47],2.130716662110287,0.03720488436555542,57.26981009200291,0.0,2.057796428704821,2.203636895515753
C(age_needed)[T.48],2.3470005182106166,0.04237144192605169,55.391093895428305,0.0,2.263954018062525,2.4300470183587084
C(age_needed)[T.49],2.595725437613108,0.05096692941898652,50.92960214013073,0.0,2.4958320915492993,2.6956187836769163
C(age_needed)[T.5],0.34913071358636316,0.023100054510380073,15.113848040032993,1.3124621247818129e-51,0.3038554387051062,0.39440598846762015
C(age_needed)[T.50],2.7931587442610626,0.05070024206265579,55.091625416881705,0.0,2.6937880958107945,2.8925293927113307
C(age_needed)[T.51],2.9696186809160663,0.057046973775341646,52.055674199490554,0.0,2.8578086668893956,3.081428694942737
C(age_needed)[T.52],3.2419487081837217,0.05220338969366126,62.102264378004016,0.0,3.139631944513236,3.3442654718542073
C(age_needed)[T.53],3.5496201883781904,0.05683130252517377,62.45889203059994,0.0,3.4382328822343498,3.661007494522031
C(age_needed)[T.54],3.737578220905319,0.06797151295565539,54.98742132374948,0.0,3.6043565035375367,3.8707999382731013
C(age_needed)[T.55],4.100910708140132,0.08639783531763971,47.465433515356324,0.0,3.9315740625753355,4.270247353704929
C(age_needed)[T.56],4.544077864441732,0.07939968370871228,57.23042778246136,0.0,4.388457343988784,4.69969838489468
C(age_needed)[T.57],4.96056543206741,0.08079409100779396,61.39762661094708,0.0,4.802211923528483,5.118918940606338
C(age_needed)[T.58],5.275192635953113,0.09674012128206458,54.52952266384147,0.0,5.08558548238023,5.464799789525996
C(age_needed)[T.59],5.61788340748719,0.09329282983711985,60.21774039114757,0.0,5.435032820990611,5.800733993983768
C(age_needed)[T.6],0.3165218435999613,0.023733122003346135,13.336713288514458,1.4156458122918807e-40,0.27000577923270774,0.3630379079672148
