Study,Age interval,ONS mean,ONS SD,ONS N,HMD mean,HMD SD,HMD N,Ratio ONS/HMD
NSHD 1946,20–29,0.6474520870634084,0.21810261865371683,264,0.675530303030303,0.03841427954435207,264,0.9584352976603108
NSHD 1946,30–39,0.8731339744121798,0.2958785250478767,440,0.9619818181818183,0.18497030393037264,440,0.907640828453947
NSHD 1946,40–49,1.9374651694985594,0.6084860102674742,440,2.1916159090909093,0.539765350369314,440,0.8840349996830545
NSHD 1946,50–59,4.330098296121513,1.110369312273551,440,5.014070454545454,1.099062728478058,440,0.8635894400319218
NSHD 1946,60–69,7.578783629960753,1.4538439082015155,352,9.653863636363637,1.8666300129601487,352,0.7850518626981028
NCDS 1958,10–19,0.48670067704566206,0.27140986220478447,352,0.5081193181818182,0.20357984908477547,352,0.9578472213715519
NCDS 1958,20–29,0.5964167565837059,0.210933660810052,440,0.6149636363636364,0.05503594638499109,440,0.9698406886468918
NCDS 1958,30–39,0.8618696420313742,0.2893554652243442,440,0.923784090909091,0.17858910787110374,440,0.9329773596590226
NCDS 1958,40–49,1.789398484650865,0.5184598832719567,440,1.94065,0.44131056141600794,440,0.9220614148099168
NCDS 1958,50–59,3.1542600914584744,0.632832810913407,264,3.5048371212121214,0.5473570302981192,264,0.8999733746165064
BCS70 1970,0–9,1.4704066451263882,3.794586069270141,413,1.5419225181598062,4.208169683052317,413,0.953619022881404
BCS70 1970,10–19,0.3478603697072459,0.21401583116192086,440,0.37035909090909097,0.16048231165622195,440,0.9392516026901911
BCS70 1970,20–29,0.6136096849544092,0.21216262439137196,440,0.6225045454545455,0.044763310485534384,440,0.9857111718057554
BCS70 1970,30–39,0.9070751864543439,0.2685866369651915,440,0.8721727272727273,0.1408904877932914,440,1.0400178291412026
BCS70 1970,40–49,1.3972959673690077,0.3702585513628605,176,1.367346590909091,0.15084815180371755,176,1.0219032808938404
