year,subject,gap_pair,gap_desc,T,B,W,B_pct,W_pct,n_units_a,n_units_b,n_units_both
2015-16,Composite,BW,Black–White,5.984190551593123,2.7803892803613985,3.2038012712317245,46.46224508377658,53.53775491622341,231,45,45
2015-16,Composite,HW,Hispanic–White,4.104172138990126,1.335207532946022,2.768964606044104,32.53293204398984,67.46706795601017,231,108,108
2015-16,Mathematics,BW,Black–White,5.496457209970552,2.7099039146943467,2.7865532952762058,49.302738312573254,50.69726168742674,231,45,45
2015-16,Mathematics,HW,Hispanic–White,3.736411891095379,1.3384058191702521,2.398006071925127,35.82061769902677,64.17938230097323,231,108,108
2015-16,English,BW,Black–White,6.956262909969418,3.1088579743607534,3.8474049356086644,44.691496204165475,55.30850379583452,231,45,45
2015-16,English,HW,Hispanic–White,4.743518862203189,1.435094250472807,3.3084246117303815,30.25379032236543,69.74620967763457,231,108,108
2016-17,Composite,BW,Black–White,5.671031779698755,2.5734161205758745,3.09761565912288,45.37827013751234,54.62172986248766,258,58,58
2016-17,Composite,HW,Hispanic–White,3.9587455023262876,1.1921097626856878,2.7666357396406,30.113321555658615,69.88667844434138,258,117,117
2016-17,Mathematics,BW,Black–White,5.340907290378361,2.6434139362498272,2.6974933541285337,49.49372442790638,50.50627557209363,258,58,58
2016-17,Mathematics,HW,Hispanic–White,3.701583156877227,1.2706721368346217,2.4309110200426054,34.32780199666245,65.67219800333756,258,117,117
2016-17,English,BW,Black–White,6.556164754733688,2.836356073007002,3.7198086817266858,43.26242825058802,56.73757174941198,258,58,58
2016-17,English,HW,Hispanic–White,4.672340298811346,1.2731261626090082,3.399214136202337,27.248147206505795,72.7518527934942,258,117,117
2017-18,Composite,BW,Black–White,6.046851475719869,2.6307667815254403,3.4160846941944287,43.50638993017852,56.493610069821486,256,57,57
2017-18,Composite,HW,Hispanic–White,4.247810791883513,1.2471169162468834,3.0006938756366295,29.359050516793427,70.64094948320657,256,122,122
2017-18,Mathematics,BW,Black–White,5.506657616122208,2.517964185667633,2.988693430454575,45.725817023662806,54.2741829763372,256,57,57
2017-18,Mathematics,HW,Hispanic–White,3.881364420190053,1.2383699985514565,2.6429944216385968,31.90553280979525,68.09446719020475,256,122,122
2017-18,English,BW,Black–White,6.7617327265903775,2.7609878317302186,4.0007448948601585,40.83254904283172,59.16745095716827,256,57,57
2017-18,English,HW,Hispanic–White,4.781621559390757,1.3013356489940742,3.480285910396683,27.215362672069805,72.7846373279302,256,122,122
2018-19,Composite,BW,Black–White,6.0810453113647025,2.5997952401346947,3.481250071230008,42.75243986878386,57.24756013121614,265,52,52
2018-19,Composite,HW,Hispanic–White,4.201479949849642,1.1928874069302382,3.0085925429194034,28.39207662940122,71.60792337059877,265,121,121
2018-19,Mathematics,BW,Black–White,5.615174359410723,2.5640521407731236,3.0511222186375995,45.662912256249236,54.337087743750764,265,52,52
2018-19,Mathematics,HW,Hispanic–White,3.9483764823088485,1.2425803772481128,2.7057961050607355,31.47066605263292,68.52933394736706,265,121,121
2018-19,English,BW,Black–White,6.686554705948316,2.683015193547435,4.003539512400881,40.12552520000535,59.87447479999465,265,52,52
2018-19,English,HW,Hispanic–White,4.687339464227726,1.2035544657876063,3.48378499844012,25.676707969899525,74.32329203010048,265,121,121
2021-22,Composite,BW,Black–White,5.399720623813771,1.4433614493995288,3.956359174414242,26.730298657194165,73.26970134280585,263,45,45
2021-22,Composite,HW,Hispanic–White,3.9170375616458557,0.982486843441888,2.9345507182039676,25.082395253546355,74.91760474645365,263,128,127
2021-22,Mathematics,BW,Black–White,5.122770268811131,1.7187431097154136,3.404027159095717,33.5510479589453,66.4489520410547,263,45,45
2021-22,Mathematics,HW,Hispanic–White,3.603365772609056,1.1020903876169168,2.501275384992139,30.585026810057542,69.41497318994246,263,128,127
2021-22,English,BW,Black–White,5.621643379027713,1.2323887270293308,4.389254651998382,21.922214625476254,78.07778537452374,263,45,45
2021-22,English,HW,Hispanic–White,4.249484892188335,0.9510076793859299,3.2984772128024047,22.379363699683484,77.62063630031652,263,128,127
2022-23,Composite,BW,Black–White,5.94150412533881,2.281449065028489,3.6600550603103206,38.39851015669186,61.60148984330813,257,54,54
2022-23,Composite,HW,Hispanic–White,3.9082446370866073,1.1411343681972281,2.767110268889379,29.198130469332245,70.80186953066776,257,136,136
2022-23,Mathematics,BW,Black–White,5.60838916192575,2.4281128173023,3.18027634462345,43.2942997926442,56.70570020735579,257,54,54
2022-23,Mathematics,HW,Hispanic–White,3.6328365568082006,1.236192196662917,2.3966443601452836,34.02829104288225,65.97170895711774,257,136,136
2022-23,English,BW,Black–White,6.381392746155139,2.2506354317061597,4.13075731444898,35.2687183070215,64.7312816929785,257,54,54
2022-23,English,HW,Hispanic–White,4.29416585223462,1.1217592209931713,3.172406631241449,26.122866689217986,73.87713331078201,257,136,136
