year,era,subject_era,gap_pair,T,metric
2015-16,Forward Exam (Gr 3–8),ELA (grades 3–8),BW,38.05645049826621,Proficiency rate gap (pp)
2015-16,Forward Exam (Gr 3–8),ELA (grades 3–8),HW,25.65732116867399,Proficiency rate gap (pp)
2015-16,Forward Exam (Gr 3–8),Math (grades 3–8),BW,42.211919915713665,Proficiency rate gap (pp)
2015-16,Forward Exam (Gr 3–8),Math (grades 3–8),HW,29.723222223794366,Proficiency rate gap (pp)
2016-17,Forward Exam (Gr 3–8),ELA (grades 3–8),BW,39.078682047168925,Proficiency rate gap (pp)
2016-17,Forward Exam (Gr 3–8),ELA (grades 3–8),HW,26.34793650578132,Proficiency rate gap (pp)
2016-17,Forward Exam (Gr 3–8),Math (grades 3–8),BW,41.784407867686596,Proficiency rate gap (pp)
2016-17,Forward Exam (Gr 3–8),Math (grades 3–8),HW,29.545537239883114,Proficiency rate gap (pp)
2017-18,Forward Exam (Gr 3–8),ELA (grades 3–8),BW,38.57372394914527,Proficiency rate gap (pp)
2017-18,Forward Exam (Gr 3–8),ELA (grades 3–8),HW,25.738585114184097,Proficiency rate gap (pp)
2017-18,Forward Exam (Gr 3–8),Math (grades 3–8),BW,42.579444407533124,Proficiency rate gap (pp)
2017-18,Forward Exam (Gr 3–8),Math (grades 3–8),HW,29.277484262762158,Proficiency rate gap (pp)
2018-19,Forward Exam (Gr 3–8),ELA (grades 3–8),BW,36.76590066569983,Proficiency rate gap (pp)
2018-19,Forward Exam (Gr 3–8),ELA (grades 3–8),HW,24.627074598740663,Proficiency rate gap (pp)
2018-19,Forward Exam (Gr 3–8),Math (grades 3–8),BW,41.695823303871116,Proficiency rate gap (pp)
2018-19,Forward Exam (Gr 3–8),Math (grades 3–8),HW,28.515451883056556,Proficiency rate gap (pp)
2021-22,Forward Exam (Gr 3–8),ELA (grades 3–8),BW,36.62207249901373,Proficiency rate gap (pp)
2021-22,Forward Exam (Gr 3–8),ELA (grades 3–8),HW,25.12593198191845,Proficiency rate gap (pp)
2021-22,Forward Exam (Gr 3–8),Math (grades 3–8),BW,42.91205258912728,Proficiency rate gap (pp)
2021-22,Forward Exam (Gr 3–8),Math (grades 3–8),HW,29.77260153365869,Proficiency rate gap (pp)
2022-23,Forward Exam (Gr 3–8),ELA (grades 3–8),BW,38.566748446935385,Proficiency rate gap (pp)
2022-23,Forward Exam (Gr 3–8),ELA (grades 3–8),HW,25.872536826461946,Proficiency rate gap (pp)
2022-23,Forward Exam (Gr 3–8),Math (grades 3–8),BW,44.24848816334619,Proficiency rate gap (pp)
2022-23,Forward Exam (Gr 3–8),Math (grades 3–8),HW,30.540967799968126,Proficiency rate gap (pp)
2015-16,ACT (Gr 11),Composite (grade 11),BW,5.637707766946889,ACT score gap (points)
2015-16,ACT (Gr 11),Composite (grade 11),HW,3.8632747473459723,ACT score gap (points)
2015-16,ACT (Gr 11),Math (grade 11),BW,5.170261597938966,ACT score gap (points)
2015-16,ACT (Gr 11),Math (grade 11),HW,3.5292621779112174,ACT score gap (points)
2015-16,ACT (Gr 11),English (grade 11),BW,6.52287807620263,ACT score gap (points)
2015-16,ACT (Gr 11),English (grade 11),HW,4.47081244712118,ACT score gap (points)
2016-17,ACT (Gr 11),Composite (grade 11),BW,5.341856059975441,ACT score gap (points)
2016-17,ACT (Gr 11),Composite (grade 11),HW,3.7159108029925,ACT score gap (points)
2016-17,ACT (Gr 11),Math (grade 11),BW,5.049410384481426,ACT score gap (points)
2016-17,ACT (Gr 11),Math (grade 11),HW,3.4651801656276717,ACT score gap (points)
2016-17,ACT (Gr 11),English (grade 11),BW,6.186498523183454,ACT score gap (points)
2016-17,ACT (Gr 11),English (grade 11),HW,4.406731044906245,ACT score gap (points)
2017-18,ACT (Gr 11),Composite (grade 11),BW,5.766505521002209,ACT score gap (points)
2017-18,ACT (Gr 11),Composite (grade 11),HW,3.998095219633509,ACT score gap (points)
2017-18,ACT (Gr 11),Math (grade 11),BW,5.309911177097966,ACT score gap (points)
2017-18,ACT (Gr 11),Math (grade 11),HW,3.6692443434427986,ACT score gap (points)
2017-18,ACT (Gr 11),English (grade 11),BW,6.4070425695754025,ACT score gap (points)
2017-18,ACT (Gr 11),English (grade 11),HW,4.483609768783577,ACT score gap (points)
2018-19,ACT (Gr 11),Composite (grade 11),BW,5.707554341067956,ACT score gap (points)
2018-19,ACT (Gr 11),Composite (grade 11),HW,3.960806288286477,ACT score gap (points)
2018-19,ACT (Gr 11),Math (grade 11),BW,5.3505735796717175,ACT score gap (points)
2018-19,ACT (Gr 11),Math (grade 11),HW,3.7304138962050217,ACT score gap (points)
2018-19,ACT (Gr 11),English (grade 11),BW,6.2127669741074545,ACT score gap (points)
2018-19,ACT (Gr 11),English (grade 11),HW,4.426129477226318,ACT score gap (points)
2021-22,ACT (Gr 11),Composite (grade 11),BW,5.019531345473158,ACT score gap (points)
2021-22,ACT (Gr 11),Composite (grade 11),HW,3.679659337244381,ACT score gap (points)
2021-22,ACT (Gr 11),Math (grade 11),BW,4.859410869858667,ACT score gap (points)
2021-22,ACT (Gr 11),Math (grade 11),HW,3.3977131127097167,ACT score gap (points)
2021-22,ACT (Gr 11),English (grade 11),BW,5.236733336274391,ACT score gap (points)
2021-22,ACT (Gr 11),English (grade 11),HW,4.014845532163992,ACT score gap (points)
2022-23,ACT (Gr 11),Composite (grade 11),BW,5.509081266970252,ACT score gap (points)
2022-23,ACT (Gr 11),Composite (grade 11),HW,3.71169425800797,ACT score gap (points)
2022-23,ACT (Gr 11),Math (grade 11),BW,5.331039650004751,ACT score gap (points)
2022-23,ACT (Gr 11),Math (grade 11),HW,3.472396669904658,ACT score gap (points)
2022-23,ACT (Gr 11),English (grade 11),BW,5.872694330358279,ACT score gap (points)
2022-23,ACT (Gr 11),English (grade 11),HW,4.089576326988027,ACT score gap (points)
