State,County_with_largest_share,Share_of_state_Black_pop_pct
Alabama,Jefferson County Alabama,21.7
Alaska,Anchorage Municipality Alaska,66.1
Arizona,Maricopa County Arizona,77.3
Arkansas,Pulaski County Arkansas,32.6
California,Los Angeles County California,35.5
Colorado,Arapahoe County Colorado,30.7
Connecticut,Capitol Planning Region Connecticut,32.1
Delaware,New Castle County Delaware,66.2
District of Columbia,District of Columbia,100.0
Florida,Broward County Florida,16.4
Georgia,Fulton County Georgia,13.7
Hawaii,Honolulu County Hawaii,88.7
Idaho,Ada County Idaho,49.0
Illinois,Cook County Illinois,67.0
Indiana,Marion County Indiana,42.8
Iowa,Polk County Iowa,29.8
Kansas,Sedgwick County Kansas,25.7
Kentucky,Jefferson County Kentucky,47.6
Louisiana,Orleans Parish Louisiana,14.8
Maine,Cumberland County Maine,44.2
Maryland,Prince George's County Maryland,31.8
Massachusetts,Suffolk County Massachusetts,31.2
Michigan,Wayne County Michigan,49.2
Minnesota,Hennepin County Minnesota,44.2
Mississippi,Hinds County Mississippi,15.0
Missouri,St. Louis County Missouri,34.9
Montana,Yellowstone County Montana,22.9
Nebraska,Douglas County Nebraska,66.7
Nevada,Clark County Nevada,93.7
New Hampshire,Hillsborough County New Hampshire,52.2
New Jersey,Essex County New Jersey,26.6
New Mexico,Bernalillo County New Mexico,43.2
New York,Kings County New York,26.7
North Carolina,Mecklenburg County North Carolina,15.9
North Dakota,Cass County North Dakota,47.7
Ohio,Cuyahoga County Ohio,25.2
Oklahoma,Oklahoma County Oklahoma,41.2
Oregon,Multnomah County Oregon,55.2
Pennsylvania,Philadelphia County Pennsylvania,45.4
Rhode Island,Providence County Rhode Island,87.0
South Carolina,Richland County South Carolina,14.8
South Dakota,Minnehaha County South Dakota,63.3
Tennessee,Shelby County Tennessee,44.2
Texas,Harris County Texas,25.1
Utah,Salt Lake County Utah,57.1
Vermont,Chittenden County Vermont,53.3
Virginia,Fairfax County Virginia,6.9
Washington,King County Washington,48.8
West Virginia,Kanawha County West Virginia,19.6
Wisconsin,Milwaukee County Wisconsin,67.0
Wyoming,Laramie County Wyoming,48.4
