center_year,geography,sex,gap_lo,gap_hi,sex_label
2006,Dane,1,-2.011870859774703,8.114192567201739,Male
2006,Dane,2,0.7859495463637713,7.679783888099953,Female
2006,Milwaukee,1,7.88153918250621,9.256969639061444,Male
2006,Milwaukee,2,5.429023948728641,6.68088119627108,Female
2006,Rest_of_WI,1,0.38053123902526886,3.36909036864466,Male
2006,Rest_of_WI,2,2.982414797073437,5.6862687583316385,Female
2006,Statewide,1,7.0007130818585335,8.072081901505586,Male
2006,Statewide,2,5.735598831942191,6.719506712241516,Female
2007,Dane,1,3.570440685578451,8.456351827904129,Male
2007,Dane,2,4.167394320747322,9.479766662673027,Female
2007,Milwaukee,1,7.198672007731851,8.602290568906362,Male
2007,Milwaukee,2,5.287010338743383,6.580891260792988,Female
2007,Rest_of_WI,1,0.24924963413224113,3.448359965702182,Male
2007,Rest_of_WI,2,2.540859608936056,5.399996791559511,Female
2007,Statewide,1,6.438352722653248,7.561666954283863,Male
2007,Statewide,2,5.545924463941176,6.6587368869874775,Female
2008,Dane,1,1.70284203191006,8.622581670853384,Male
2008,Dane,2,4.815397270653878,9.639766486347945,Female
2008,Milwaukee,1,7.079353686883943,8.500737419252257,Male
2008,Milwaukee,2,4.799110598048286,6.130168290044313,Female
2008,Rest_of_WI,1,0.08799628743047698,3.278807211442612,Male
2008,Rest_of_WI,2,2.380146783760687,5.064863867704504,Female
2008,Statewide,1,6.37206080363744,7.3939794310483755,Male
2008,Statewide,2,5.250713913955135,6.312386743367063,Female
2009,Dane,1,4.922548514067518,9.901718602863081,Male
2009,Dane,2,3.827099214121552,9.211311305277967,Female
2009,Milwaukee,1,6.542662950666255,7.838600280076124,Male
2009,Milwaukee,2,4.46670311385356,5.794785052082439,Female
2009,Rest_of_WI,1,1.3726987865114524,4.046805418456559,Male
2009,Rest_of_WI,2,3.1794651182319584,5.783169991819981,Female
2009,Statewide,1,6.1694135698971575,7.332277999484793,Male
2009,Statewide,2,5.189171258399621,6.206170260789035,Female
2010,Dane,1,1.0834082436202512,8.214062060006322,Male
2010,Dane,2,3.0132620192828483,8.638847895834266,Female
2010,Milwaukee,1,6.424362631168032,7.768038764653157,Male
2010,Milwaukee,2,4.630828682316764,5.888335024867817,Female
2010,Rest_of_WI,1,2.1393675254743854,4.568646861392165,Male
2010,Rest_of_WI,2,3.7688988313623097,6.418500134871684,Female
2010,Statewide,1,6.12762258705197,7.22213385930152,Male
2010,Statewide,2,5.2694124409380425,6.259434994941168,Female
2011,Dane,1,1.245644979332063,8.183416545552507,Male
2011,Dane,2,3.7555916535697706,8.927917647486616,Female
2011,Milwaukee,1,6.4012459743009185,7.653814297749107,Male
2011,Milwaukee,2,4.417483424582175,5.761465246627373,Female
2011,Rest_of_WI,1,2.3828686416147695,4.665006975298372,Male
2011,Rest_of_WI,2,5.07660361554051,7.334204406319082,Female
2011,Statewide,1,5.985680970151714,7.047483239060415,Male
2011,Statewide,2,5.420193615000593,6.4101240430924165,Female
2012,Dane,1,1.7071580587708213,7.411702429920937,Male
2012,Dane,2,3.7070647453291357,9.270159735773982,Female
2012,Milwaukee,1,6.474165733261811,7.855664469707779,Male
2012,Milwaukee,2,4.7439867951402315,5.957561539926084,Female
2012,Rest_of_WI,1,1.8350048244253827,4.410678147852735,Male
2012,Rest_of_WI,2,4.69509538074303,7.07000787678591,Female
2012,Statewide,1,5.896240174841491,6.997576993473386,Male
2012,Statewide,2,5.349992798989062,6.312308930833135,Female
2013,Dane,1,2.051902728340941,7.7478607200477,Male
2013,Dane,2,4.8932418007717775,9.312249545003285,Female
2013,Milwaukee,1,7.0502153087162105,8.299813680860483,Male
2013,Milwaukee,2,5.024271160568951,6.186323863972259,Female
2013,Rest_of_WI,1,1.5850881154808274,3.9136597590670825,Male
2013,Rest_of_WI,2,4.295530476260185,6.6671612629658545,Female
2013,Statewide,1,5.966909940731861,7.001066504511398,Male
2013,Statewide,2,5.400745088939765,6.36417120627741,Female
2014,Dane,1,1.7055089601765865,8.452488716408507,Male
2014,Dane,2,2.725846249251182,7.168631737103312,Female
2014,Milwaukee,1,7.404360533780769,8.703942437697767,Male
2014,Milwaukee,2,5.247839674307677,6.447281727092716,Female
2014,Rest_of_WI,1,1.0072274653536148,3.5903610338502503,Male
2014,Rest_of_WI,2,2.9100148970240363,5.578054777464569,Female
2014,Statewide,1,6.137134083217139,7.240543738491492,Male
2014,Statewide,2,5.016399738963806,6.016504146715544,Female
2015,Dane,1,4.660926913300814,10.28614601277394,Male
2015,Dane,2,3.2544772282823557,7.536455132839735,Female
2015,Milwaukee,1,8.045273312204047,9.444121281902213,Male
2015,Milwaukee,2,5.306750277352543,6.735177464940624,Female
2015,Rest_of_WI,1,1.5351140957630922,4.081138927493929,Male
2015,Rest_of_WI,2,2.8196368099170437,5.338243445954289,Female
2015,Statewide,1,6.677035446977155,7.720603068344283,Male
2015,Statewide,2,5.0366831574953235,6.068651472595248,Female
2016,Dane,1,1.378622700642197,10.558320450706315,Male
2016,Dane,2,3.2828469650477463,7.284378498652535,Female
2016,Milwaukee,1,8.559443259020085,9.87625141141236,Male
2016,Milwaukee,2,5.421897901284838,6.739092860822535,Female
2016,Rest_of_WI,1,2.5664993743651574,4.922149136314083,Male
2016,Rest_of_WI,2,3.035705099551909,5.474101659289847,Female
2016,Statewide,1,7.397453944504834,8.394232126382649,Male
2016,Statewide,2,5.250939143182318,6.214568025522986,Female
