subject_scope,year,gap_pair,T,B,W,B_pct,W_pct,n_schools
ELA+Math (pooled),2015-16,BW,44.25,8.36,35.89,18.9,81.1,35
ELA+Math (pooled),2015-16,HW,37.83,9.24,28.59,24.4,75.6,35
ELA+Math (pooled),2016-17,BW,44.09,7.74,36.34,17.6,82.4,35
ELA+Math (pooled),2016-17,HW,39.03,8.62,30.41,22.1,77.9,36
ELA+Math (pooled),2017-18,BW,47.0,8.03,38.97,17.1,82.9,36
ELA+Math (pooled),2017-18,HW,39.76,9.34,30.42,23.5,76.5,36
ELA+Math (pooled),2018-19,BW,44.85,7.98,36.87,17.8,82.2,35
ELA+Math (pooled),2018-19,HW,40.19,9.95,30.24,24.8,75.2,38
ELA+Math (pooled),2021-22,BW,50.07,9.01,41.07,18.0,82.0,33
ELA+Math (pooled),2021-22,HW,43.47,9.65,33.82,22.2,77.8,34
ELA+Math (pooled),2022-23,BW,50.79,9.24,41.55,18.2,81.8,31
ELA+Math (pooled),2022-23,HW,45.36,10.25,35.11,22.6,77.4,32
ELA,2015-16,BW,43.14,8.25,34.89,19.1,80.9,34
ELA,2015-16,HW,37.36,9.15,28.21,24.5,75.5,35
ELA,2016-17,BW,43.72,6.84,36.89,15.6,84.4,34
ELA,2016-17,HW,39.04,8.34,30.69,21.4,78.6,35
ELA,2017-18,BW,46.67,7.89,38.78,16.9,83.1,36
ELA,2017-18,HW,40.77,9.82,30.95,24.1,75.9,36
ELA,2018-19,BW,43.05,7.93,35.12,18.4,81.6,34
ELA,2018-19,HW,40.31,10.27,30.03,25.5,74.5,38
ELA,2021-22,BW,51.58,9.29,42.29,18.0,82.0,30
ELA,2021-22,HW,44.71,9.71,35.0,21.7,78.3,33
ELA,2022-23,BW,51.84,9.6,42.24,18.5,81.5,28
ELA,2022-23,HW,46.44,10.07,36.38,21.7,78.3,30
Mathematics,2015-16,BW,44.85,8.41,36.44,18.7,81.3,34
Mathematics,2015-16,HW,38.08,9.38,28.7,24.6,75.4,34
Mathematics,2016-17,BW,44.46,8.08,36.37,18.2,81.8,31
Mathematics,2016-17,HW,39.09,9.19,29.9,23.5,76.5,33
Mathematics,2017-18,BW,47.61,8.1,39.5,17.0,83.0,35
Mathematics,2017-18,HW,38.83,8.85,29.98,22.8,77.2,36
Mathematics,2018-19,BW,46.64,7.89,38.75,16.9,83.1,34
Mathematics,2018-19,HW,40.04,9.61,30.43,24.0,76.0,37
Mathematics,2021-22,BW,48.17,8.73,39.44,18.1,81.9,29
Mathematics,2021-22,HW,42.39,9.65,32.74,22.8,77.2,34
Mathematics,2022-23,BW,48.67,8.61,40.06,17.7,82.3,27
Mathematics,2022-23,HW,44.37,10.49,33.89,23.6,76.4,31
