district_name,race,year,subject,pct_proficient,n_tested,tier
Appleton Area,Black,2015-16,ELA,19.880593471810087,337.0,Tier 2
Appleton Area,Black,2015-16,Mathematics,19.881097922848664,337.0,Tier 2
Appleton Area,Black,2016-17,ELA,17.58861111111111,324.0,Tier 2
Appleton Area,Black,2016-17,Mathematics,17.59117283950617,324.0,Tier 2
Appleton Area,Black,2017-18,ELA,14.738843930635836,346.0,Tier 2
Appleton Area,Black,2017-18,Mathematics,13.581300578034682,346.0,Tier 2
Appleton Area,Black,2018-19,ELA,16.66840277777778,288.0,Tier 2
Appleton Area,Black,2018-19,Mathematics,12.848368055555557,288.0,Tier 2
Appleton Area,Black,2021-22,ELA,15.53514563106796,206.0,Tier 2
Appleton Area,Black,2021-22,Mathematics,16.020631067961165,206.0,Tier 2
Appleton Area,Black,2022-23,ELA,14.967664670658685,167.0,Tier 2
Appleton Area,Black,2022-23,Mathematics,11.378622754491017,167.0,Tier 2
Appleton Area,Hispanic,2015-16,ELA,24.402963549920763,631.0,Tier 2
Appleton Area,Hispanic,2015-16,Mathematics,25.198209191759116,631.0,Tier 2
Appleton Area,Hispanic,2016-17,ELA,25.18219796215429,687.0,Tier 2
Appleton Area,Hispanic,2016-17,Mathematics,24.308850072780203,687.0,Tier 2
Appleton Area,Hispanic,2017-18,ELA,23.92914246196404,723.0,Tier 2
Appleton Area,Hispanic,2017-18,Mathematics,23.096791147994473,723.0,Tier 2
Appleton Area,Hispanic,2018-19,ELA,23.41186507936508,756.0,Tier 2
Appleton Area,Hispanic,2018-19,Mathematics,24.604841269841273,756.0,Tier 2
Appleton Area,Hispanic,2021-22,ELA,20.995114401076716,743.0,Tier 2
Appleton Area,Hispanic,2021-22,Mathematics,17.629421265141314,743.0,Tier 2
Appleton Area,Hispanic,2022-23,ELA,24.931253333333338,750.0,Tier 2
Appleton Area,Hispanic,2022-23,Mathematics,22.800213333333332,750.0,Tier 2
Appleton Area,White,2015-16,ELA,44.590404781879194,4768.0,Tier 2
Appleton Area,White,2015-16,Mathematics,53.48084941275168,4768.0,Tier 2
Appleton Area,White,2016-17,ELA,47.12354162208431,4673.0,Tier 2
Appleton Area,White,2016-17,Mathematics,49.38947357158142,4673.0,Tier 2
Appleton Area,White,2017-18,ELA,46.901968675222975,4597.0,Tier 2
Appleton Area,White,2017-18,Mathematics,51.18750054383293,4597.0,Tier 2
Appleton Area,White,2018-19,ELA,43.54555679039787,4499.0,Tier 2
Appleton Area,White,2018-19,Mathematics,48.98898644143143,4499.0,Tier 2
Appleton Area,White,2021-22,ELA,44.31434008897676,4046.0,Tier 2
Appleton Area,White,2021-22,Mathematics,46.81250123578843,4046.0,Tier 2
Appleton Area,White,2022-23,ELA,47.02063144654088,3975.0,Tier 2
Appleton Area,White,2022-23,Mathematics,50.58882264150944,3975.0,Tier 2
Beloit,Black,2015-16,ELA,9.337455716586152,621.0,Tier 1
Beloit,Black,2015-16,Mathematics,7.567890499194847,621.0,Tier 1
Beloit,Black,2016-17,ELA,12.143375394321767,634.0,Tier 1
Beloit,Black,2016-17,Mathematics,7.8854889589905355,634.0,Tier 1
Beloit,Black,2017-18,ELA,9.44049535603715,646.0,Tier 1
Beloit,Black,2017-18,Mathematics,8.666950464396285,646.0,Tier 1
Beloit,Black,2018-19,ELA,8.793208469055376,614.0,Tier 1
Beloit,Black,2018-19,Mathematics,8.303029315960911,614.0,Tier 1
Beloit,Black,2021-22,ELA,7.174478260869566,460.0,Tier 1
Beloit,Black,2021-22,Mathematics,5.041326259946949,377.0,Tier 1
Beloit,Black,2022-23,ELA,9.618076923076924,416.0,Tier 1
Beloit,Black,2022-23,Mathematics,4.564855769230769,416.0,Tier 1
Beloit,Hispanic,2015-16,ELA,20.558646694214875,968.0,Tier 1
Beloit,Hispanic,2015-16,Mathematics,17.770723140495868,968.0,Tier 1
Beloit,Hispanic,2016-17,ELA,20.530201058201058,945.0,Tier 1
Beloit,Hispanic,2016-17,Mathematics,15.982613756613757,945.0,Tier 1
Beloit,Hispanic,2017-18,ELA,15.857022653721682,927.0,Tier 1
Beloit,Hispanic,2017-18,Mathematics,14.7770334412082,927.0,Tier 1
Beloit,Hispanic,2018-19,ELA,15.55510729613734,932.0,Tier 1
Beloit,Hispanic,2018-19,Mathematics,16.952210300429183,932.0,Tier 1
Beloit,Hispanic,2021-22,ELA,11.245733882030178,729.0,Tier 1
Beloit,Hispanic,2021-22,Mathematics,8.777064471879287,729.0,Tier 1
Beloit,Hispanic,2022-23,ELA,11.92566091954023,696.0,Tier 1
Beloit,Hispanic,2022-23,Mathematics,7.756810344827586,696.0,Tier 1
Beloit,White,2015-16,ELA,33.04247563352827,1026.0,Tier 1
Beloit,White,2015-16,Mathematics,30.01853801169591,1026.0,Tier 1
Beloit,White,2016-17,ELA,33.92789940828402,1014.0,Tier 1
Beloit,White,2016-17,Mathematics,29.09285996055227,1014.0,Tier 1
Beloit,White,2017-18,ELA,30.4235167206041,927.0,Tier 1
Beloit,White,2017-18,Mathematics,29.23382955771305,927.0,Tier 1
Beloit,White,2018-19,ELA,28.10028441410694,879.0,Tier 1
Beloit,White,2018-19,Mathematics,29.46456200227531,879.0,Tier 1
Beloit,White,2021-22,ELA,19.673668639053254,676.0,Tier 1
Beloit,White,2021-22,Mathematics,15.675902366863905,676.0,Tier 1
Beloit,White,2022-23,ELA,20.988856655290103,586.0,Tier 1
Beloit,White,2022-23,Mathematics,13.651996587030716,586.0,Tier 1
Green Bay Area Public,Black,2015-16,ELA,11.550365497076022,684.0,Tier 1
Green Bay Area Public,Black,2015-16,Mathematics,8.33187134502924,684.0,Tier 1
Green Bay Area Public,Black,2016-17,ELA,12.016315086782376,749.0,Tier 1
Green Bay Area Public,Black,2016-17,Mathematics,7.477009345794392,749.0,Tier 1
Green Bay Area Public,Black,2017-18,ELA,10.258838071693448,809.0,Tier 1
Green Bay Area Public,Black,2017-18,Mathematics,7.4185661310259565,809.0,Tier 1
Green Bay Area Public,Black,2018-19,ELA,11.531899592944367,737.0,Tier 1
Green Bay Area Public,Black,2018-19,Mathematics,12.07560379918589,737.0,Tier 1
