birth_week,death_year,deaths_total,birth_year,group,study,age,week_in_year,treated,rate,log_rate,study_name
3-9 February 1944,1970,11.0,1944,1,NSHD 1946,26,1,0,0.752278206158423,-0.284649068450871,NSHD
10-16 February 1944,1970,6.0,1944,1,NSHD 1946,26,2,0,0.410333566995503,-0.890784872021187,NSHD
17-23 February 1944,1970,7.0,1944,1,NSHD 1946,26,3,0,0.478722494828087,-0.736634192193928,NSHD
24-1 Feb/March 1944,1970,10.0,1944,1,NSHD 1946,26,4,0,0.683889278325839,-0.379959248255196,NSHD
3-9 March 1944,1970,9.0,1944,1,NSHD 1946,26,5,0,0.615500350493255,-0.485319763913022,NSHD
10-16 March 1944,1970,5.0,1944,1,NSHD 1946,26,6,0,0.34194463916292,-1.07310642881514,NSHD
17-23 March 1944,1970,10.0,1944,1,NSHD 1946,26,7,0,0.683889278325839,-0.379959248255196,NSHD
24-30 March 1944,1970,12.0,1944,1,NSHD 1946,26,8,0,0.820667133991007,-0.197637691461241,NSHD
31-6 March/April 1944,1970,15.0,1944,1,NSHD 1946,26,9,0,1.02583391748876,0.0255058598529684,NSHD
3-9 February 1945,1970,6.0,1945,1,NSHD 1946,25,1,0,0.436840189297415,-0.828187850319182,NSHD
10-16 February 1945,1970,9.0,1945,1,NSHD 1946,25,2,0,0.655260283946123,-0.422722742211018,NSHD
17-23 February 1945,1970,4.0,1945,1,NSHD 1946,25,3,0,0.291226792864944,-1.23365295842735,NSHD
24-2 Feb/March 1945,1970,14.0,1945,1,NSHD 1946,25,4,0,1.0192937750273,0.0191100100680215,NSHD
3-9 March 1945,1970,3.0,1945,1,NSHD 1946,25,5,0,0.218420094648708,-1.52133503087913,NSHD
10-16 March 1945,1970,6.0,1945,1,NSHD 1946,25,6,0,0.436840189297415,-0.828187850319182,NSHD
17-23 March 1945,1970,6.0,1945,1,NSHD 1946,25,7,0,0.436840189297415,-0.828187850319182,NSHD
24-30 March 1945,1970,6.0,1945,1,NSHD 1946,25,8,0,0.436840189297415,-0.828187850319182,NSHD
31-6 March/April 1945,1970,9.0,1945,1,NSHD 1946,25,9,0,0.655260283946123,-0.422722742211018,NSHD
