study,age_interval,coef,se,pval,n,stars,age_lo,age_hi
NSHD 1946,Pooled,0.1299696070285804,0.05904757636376437,0.027728961244626923,1980,**,,
NSHD 1946,Age 20–29,-0.0006450752847630241,0.043912672758817814,0.9882795314634849,270,,20.0,29.0
NSHD 1946,Age 30–39,-0.09515568813597913,0.027202490872508426,0.00046867229409419296,450,***,30.0,39.0
NSHD 1946,Age 40–49,0.021481340329837832,0.05284896332332895,0.6843997668607938,450,,40.0,49.0
NSHD 1946,Age 50–59,0.248405612536882,0.12684669697585754,0.0501932252580246,450,*,50.0,59.0
NSHD 1946,Age 60–69,0.49690256420736223,0.17672394951425568,0.004927365105466611,360,***,60.0,69.0
NCDS 1958,Pooled,-0.021292708980971027,0.023314320571884945,0.36109064593701823,1980,,,
NCDS 1958,Age 10–19,0.08072047985498754,0.03470260393648854,0.02001513342283738,360,**,10.0,19.0
NCDS 1958,Age 20–29,0.03439991323333802,0.02915476464258716,0.2380371734428196,450,,20.0,29.0
NCDS 1958,Age 30–39,-0.12194666742253366,0.044256223051334184,0.005860799025768036,450,***,30.0,39.0
NCDS 1958,Age 40–49,-0.053958020738798115,0.06669956475726929,0.4185317658082769,450,,40.0,49.0
NCDS 1958,Age 50–59,-0.027932547453771953,0.0766634216481794,0.7155944294853451,270,,50.0,59.0
BCS70 1970,Pooled,0.07468209914681781,0.019158034602980933,9.690517044076299e-05,1953,***,,
BCS70 1970,Age 0–9,0.06970469069425567,0.028434789813875982,0.014230662980641677,423,**,0.0,9.0
BCS70 1970,Age 10–19,0.004276291216082646,0.0260845973073816,0.8697789108048436,450,,10.0,19.0
BCS70 1970,Age 20–29,0.06674603005952447,0.034088476429349986,0.05022728233350289,450,*,20.0,29.0
BCS70 1970,Age 30–39,0.09166635167044525,0.059202626895188196,0.12153819741578471,450,,30.0,39.0
BCS70 1970,Age 40–49,0.239090487685428,0.06617418130662896,0.00030261875769725785,180,***,40.0,49.0
