study,age_interval,ons_mean,ons_sd,hmd_mean,hmd_sd,ratio
BCS70 1970,Age 0–9,0.4551417839880767,0.39623089625032953,1.541922518159806,4.208169683052317,0.295178116038711
BCS70 1970,Age 10–19,0.3377883243438693,0.20672058796051437,0.37035909090909097,0.16048231165622195,0.9120562519870302
BCS70 1970,Age 20–29,0.5962646846294091,0.20512239937134563,0.6225045454545453,0.044763310485534384,0.9578479209240534
BCS70 1970,Age 30–39,0.8815594083364252,0.2607781806622255,0.8721727272727272,0.1408904877932914,1.0107624106672655
BCS70 1970,Age 40–49,1.3386236298296088,0.34436998441279987,1.367346590909091,0.15084815180371752,0.9789936499857104
NCDS 1958,Age 10–19,0.5008413660934261,0.2807229398612998,0.5081193181818182,0.20357984908477547,0.9856766868962304
NCDS 1958,Age 20–29,0.6182627894829332,0.22148964875958826,0.6149636363636363,0.05503594638499109,1.0053647938255428
NCDS 1958,Age 30–39,0.8918663372575351,0.30025773636928166,0.923784090909091,0.17858910787110374,0.9654489030871426
NCDS 1958,Age 40–49,1.8521456654172888,0.5412099709774345,1.94065,0.44131056141600794,0.9543944891749099
NCDS 1958,Age 50–59,3.3079295016187396,0.7091864876258708,3.5048371212121214,0.5473570302981192,0.9438183251365236
NSHD 1946,Age 20–29,0.6341168585110198,0.2092130241627031,0.6755303030303029,0.03841427954435207,0.9386949122289406
NSHD 1946,Age 30–39,0.870689225076597,0.28616992162618626,0.9619818181818183,0.18497030393037264,0.9050994609463953
NSHD 1946,Age 40–49,1.933846349596049,0.5958898177482465,2.191615909090909,0.539765350369314,0.882383788862993
NSHD 1946,Age 50–59,4.317056443166243,1.0597258340249094,5.014070454545454,1.099062728478058,0.860988389034833
NSHD 1946,Age 60–69,7.676136179867155,1.5002162412952615,9.653863636363637,1.8666300129601487,0.7951361723147934
