race,year,subject,grade,pct_proficient,n_districts
American Indian,2015-16,ELA,3,24.545212121212117,17
American Indian,2015-16,ELA,4,23.529738562091506,14
American Indian,2015-16,ELA,5,23.505485074626865,15
American Indian,2015-16,ELA,6,20.45448051948052,13
American Indian,2015-16,ELA,7,22.408674698795178,21
American Indian,2015-16,ELA,8,24.619148936170212,14
American Indian,2015-16,Mathematics,3,28.10594674556212,18
American Indian,2015-16,Mathematics,4,20.888069620253166,15
American Indian,2015-16,Mathematics,5,29.600040000000003,14
American Indian,2015-16,Mathematics,6,21.30536082474227,14
American Indian,2015-16,Mathematics,7,19.072888283378745,18
American Indian,2015-16,Mathematics,8,13.28813953488372,12
American Indian,2016-17,ELA,3,24.76658878504673,9
American Indian,2016-17,ELA,4,26.85515901060071,14
American Indian,2016-17,ELA,5,21.472628205128203,13
American Indian,2016-17,ELA,6,24.819640287769786,18
American Indian,2016-17,ELA,7,22.915000000000003,16
American Indian,2016-17,ELA,8,20.218852459016393,19
American Indian,2016-17,Mathematics,3,33.17742990654206,9
American Indian,2016-17,Mathematics,4,25.442862190812722,14
American Indian,2016-17,Mathematics,5,16.344871794871796,13
American Indian,2016-17,Mathematics,6,28.04357933579336,17
American Indian,2016-17,Mathematics,7,19.57156583629893,15
American Indian,2016-17,Mathematics,8,15.774422535211269,18
American Indian,2017-18,ELA,3,22.519427480916033,12
American Indian,2017-18,ELA,4,25.102914979757085,12
American Indian,2017-18,ELA,5,22.78528481012658,17
American Indian,2017-18,ELA,6,16.823714285714285,14
American Indian,2017-18,ELA,7,26.506465863453816,14
American Indian,2017-18,ELA,8,15.958156028368798,15
American Indian,2017-18,Mathematics,3,26.29733333333333,13
American Indian,2017-18,Mathematics,4,23.07728744939271,12
American Indian,2017-18,Mathematics,5,25.6971826625387,18
American Indian,2017-18,Mathematics,6,17.777814814814814,13
American Indian,2017-18,Mathematics,7,20.080481927710842,14
American Indian,2017-18,Mathematics,8,18.909963636363635,14
American Indian,2018-19,ELA,3,14.404485596707817,12
American Indian,2018-19,ELA,4,23.846923076923076,13
American Indian,2018-19,ELA,5,17.074285714285715,12
American Indian,2018-19,ELA,6,18.624251012145752,15
American Indian,2018-19,ELA,7,17.664731861198735,15
American Indian,2018-19,ELA,8,18.287898832684824,14
American Indian,2018-19,Mathematics,3,19.215607843137256,14
American Indian,2018-19,Mathematics,4,21.236061776061774,13
American Indian,2018-19,Mathematics,5,19.861951219512196,12
American Indian,2018-19,Mathematics,6,22.726227272727268,13
American Indian,2018-19,Mathematics,7,13.565110410094636,15
American Indian,2018-19,Mathematics,8,20.35340707964602,14
American Indian,2021-22,ELA,3,12.820102564102564,10
American Indian,2021-22,ELA,4,18.47913043478261,10
American Indian,2021-22,ELA,5,23.473333333333333,10
American Indian,2021-22,ELA,6,16.049629629629628,9
American Indian,2021-22,ELA,7,15.866201923076924,9
American Indian,2021-22,ELA,8,11.050276243093924,10
American Indian,2021-22,Mathematics,3,16.13016129032258,9
American Indian,2021-22,Mathematics,4,17.160236686390533,8
American Indian,2021-22,Mathematics,5,24.782391304347822,12
American Indian,2021-22,Mathematics,6,14.517204301075267,10
American Indian,2021-22,Mathematics,7,8.936871508379888,8
American Indian,2021-22,Mathematics,8,13.873236994219651,9
American Indian,2022-23,ELA,3,11.886352459016395,11
American Indian,2022-23,ELA,4,17.491330798479083,12
American Indian,2022-23,ELA,5,12.388849557522125,10
American Indian,2022-23,ELA,6,22.581806451612902,8
American Indian,2022-23,ELA,7,16.967906137184116,16
American Indian,2022-23,ELA,8,15.694529147982063,13
American Indian,2022-23,Mathematics,3,18.017162162162162,10
American Indian,2022-23,Mathematics,4,17.39079051383399,11
American Indian,2022-23,Mathematics,5,23.757403314917127,9
American Indian,2022-23,Mathematics,6,19.39363636363636,8
American Indian,2022-23,Mathematics,7,17.874106280193235,13
American Indian,2022-23,Mathematics,8,11.42942857142857,9
Asian,2015-16,ELA,3,40.3446484375,47
Asian,2015-16,ELA,4,37.11855332629356,41
Asian,2015-16,ELA,5,44.333877229800635,46
Asian,2015-16,ELA,6,38.82074174336763,48
Asian,2015-16,ELA,7,44.42350485991996,50
Asian,2015-16,ELA,8,41.78489553924336,51
Asian,2015-16,Mathematics,3,44.86549665178571,47
Asian,2015-16,Mathematics,4,41.81604012671595,41
Asian,2015-16,Mathematics,5,47.060613850996845,46
Asian,2015-16,Mathematics,6,46.182906215921484,47
Asian,2015-16,Mathematics,7,39.62177244139508,50
Asian,2015-16,Mathematics,8,39.585654126895,52
Asian,2016-17,ELA,3,37.21312535132096,38
Asian,2016-17,ELA,4,41.73692647871753,44
Asian,2016-17,ELA,5,40.189303797468355,41
Asian,2016-17,ELA,6,45.81452860169492,47
Asian,2016-17,ELA,7,46.689375678610205,46
Asian,2016-17,ELA,8,41.622486865148865,48
Asian,2016-17,Mathematics,3,45.86736368746486,38
Asian,2016-17,Mathematics,4,39.745644002211165,44
Asian,2016-17,Mathematics,5,42.45744725738396,41
Asian,2016-17,Mathematics,6,47.19322033898304,47
Asian,2016-17,Mathematics,7,40.174408251900104,46
Asian,2016-17,Mathematics,8,38.87909515469936,48
Asian,2017-18,ELA,3,37.32375591296122,46
Asian,2017-18,ELA,4,41.06107262569833,40
Asian,2017-18,ELA,5,40.10830517711172,46
Asian,2017-18,ELA,6,42.990404984423684,42
Asian,2017-18,ELA,7,46.09738910724313,40
Asian,2017-18,ELA,8,39.273596214511045,51
Asian,2017-18,Mathematics,3,47.59578699340245,47
Asian,2017-18,Mathematics,4,42.73964245810056,40
Asian,2017-18,Mathematics,5,46.32104632152588,46
Asian,2017-18,Mathematics,6,43.71935098650053,42
Asian,2017-18,Mathematics,7,40.315176866928695,40
Asian,2017-18,Mathematics,8,41.06085173501577,51
Asian,2018-19,ELA,3,35.25505221282944,46
Asian,2018-19,ELA,4,39.33615996258184,47
Asian,2018-19,ELA,5,39.563216438356164,41
Asian,2018-19,ELA,6,43.34283835616438,42
Asian,2018-19,ELA,7,45.621160409556325,38
Asian,2018-19,ELA,8,40.37555862831858,42
Asian,2018-19,Mathematics,3,47.354814448292935,47
Asian,2018-19,Mathematics,4,44.013110383536,47
Asian,2018-19,Mathematics,5,48.98531506849315,41
Asian,2018-19,Mathematics,6,44.493830136986304,42
Asian,2018-19,Mathematics,7,38.67948236632537,38
Asian,2018-19,Mathematics,8,43.250403761061946,42
Asian,2021-22,ELA,3,28.96813197476953,42
Asian,2021-22,ELA,4,37.8215266772319,41
Asian,2021-22,ELA,5,37.87844031830239,40
Asian,2021-22,ELA,6,37.1883560090703,44
Asian,2021-22,ELA,7,39.42178896625603,44
Asian,2021-22,ELA,8,36.11018082191781,41
Asian,2021-22,Mathematics,3,44.054570596797674,42
Asian,2021-22,Mathematics,4,39.45962493396725,41
Asian,2021-22,Mathematics,5,43.39579310344828,40
Asian,2021-22,Mathematics,6,37.24393424036281,44
Asian,2021-22,Mathematics,7,35.11404530744336,42
Asian,2021-22,Mathematics,8,35.043195364238414,40
Asian,2022-23,ELA,3,29.389887352790577,42
Asian,2022-23,ELA,4,37.517405506299575,46
Asian,2022-23,ELA,5,35.34387931034483,45
Asian,2022-23,ELA,6,37.59868852459016,41
Asian,2022-23,ELA,7,40.210115830115825,46
Asian,2022-23,ELA,8,39.95866977225673,44
Asian,2022-23,Mathematics,3,43.8289452124936,42
Asian,2022-23,Mathematics,4,42.69707419505366,46
Asian,2022-23,Mathematics,5,47.76751014198783,45
Asian,2022-23,Mathematics,6,39.7385,42
Asian,2022-23,Mathematics,7,36.017506894649756,46
Asian,2022-23,Mathematics,8,35.5515479876161,45
Black,2015-16,ELA,3,13.853838809946714,36
Black,2015-16,ELA,4,12.434569142857143,31
Black,2015-16,ELA,5,12.592758945386064,38
Black,2015-16,ELA,6,11.629861923706997,44
Black,2015-16,ELA,7,12.928877031287898,35
Black,2015-16,ELA,8,12.547710557532623,36
Black,2015-16,Mathematics,3,15.045307212822797,34
Black,2015-16,Mathematics,4,10.384025676295279,29
Black,2015-16,Mathematics,5,9.812347805568665,37
Black,2015-16,Mathematics,6,8.617614141887147,44
Black,2015-16,Mathematics,7,7.324348249027238,35
Black,2015-16,Mathematics,8,6.166284566296383,38
Black,2016-17,ELA,3,13.239593110871901,33
Black,2016-17,ELA,4,14.993074750108649,32
Black,2016-17,ELA,5,14.847818659658344,39
Black,2016-17,ELA,6,14.431420415620005,44
Black,2016-17,ELA,7,14.447675115207373,44
Black,2016-17,ELA,8,12.012302477793362,40
Black,2016-17,Mathematics,3,15.249596739596738,35
Black,2016-17,Mathematics,4,10.85615351068469,31
Black,2016-17,Mathematics,5,11.563850197109067,39
Black,2016-17,Mathematics,6,9.914889244119662,44
Black,2016-17,Mathematics,7,7.475084432107333,42
Black,2016-17,Mathematics,8,7.140336812144213,36
Black,2017-18,ELA,3,12.003389529724933,30
Black,2017-18,ELA,4,12.41244722102542,34
Black,2017-18,ELA,5,13.215779178439469,39
Black,2017-18,ELA,6,12.365791139240507,38
Black,2017-18,ELA,7,14.86498592870544,42
Black,2017-18,ELA,8,9.59342437456966,42
Black,2017-18,Mathematics,3,15.421816570669026,32
Black,2017-18,Mathematics,4,10.667059582705958,35
Black,2017-18,Mathematics,5,12.519,40
Black,2017-18,Mathematics,6,11.030099435028246,38
Black,2017-18,Mathematics,7,8.33585383329353,36
Black,2017-18,Mathematics,8,7.046436304998848,39
Black,2018-19,ELA,3,12.004924242424245,35
Black,2018-19,ELA,4,13.402126224156692,38
Black,2018-19,ELA,5,11.647775607638886,39
Black,2018-19,ELA,6,12.044040743228118,36
Black,2018-19,ELA,7,14.387269593196967,38
Black,2018-19,ELA,8,11.208447831184056,41
