year,subject,gap_pair,gap_desc,T,B,W,B_pct,W_pct,n_units_a,n_units_b,n_units_both
2008-09,Reading,BW,Black–White,48.256893519408266,28.188703766657085,20.06818975275118,58.41383833652693,41.58616166347307,374,65,58
2008-09,Reading,HW,Hispanic–White,37.723879507801485,15.070089493346462,22.653790014455023,39.9484085146383,60.05159148536169,374,98,97
2008-09,Math,BW,Black–White,51.94950514382157,31.375051383458825,20.574453760362744,60.39528441435078,39.604715585649224,374,65,58
2008-09,Math,HW,Hispanic–White,37.40212018168114,16.354211671258756,21.047908510422385,43.725359930982584,56.274640069017416,374,98,97
2009-10,Reading,BW,Black–White,46.30690244747825,26.479930361541054,19.826972085937197,57.18354923777261,42.81645076222739,372,73,65
2009-10,Reading,HW,Hispanic–White,36.395218603004594,13.927002894462577,22.46821570854202,38.26602347516286,61.73397652483715,372,104,103
2009-10,Math,BW,Black–White,49.94771740851701,28.9704158338191,20.977301574697908,58.00148102239225,41.99851897760776,372,73,65
2009-10,Math,HW,Hispanic–White,36.08445637035396,14.885113368566229,21.19934300178773,41.250762421892674,58.749237578107326,372,104,103
2010-11,Reading,BW,Black–White,45.86306816896786,25.32793088984274,20.535137279125117,55.22511227667991,44.77488772332009,370,72,65
2010-11,Reading,HW,Hispanic–White,34.66688005969439,13.15329715045905,21.513582909235343,37.94196976425286,62.05803023574714,370,119,117
2010-11,Math,BW,Black–White,51.38726609236937,28.88761432147787,22.499651770891504,56.21551119211509,43.78448880788491,370,72,65
2010-11,Math,HW,Hispanic–White,35.693400647490364,14.22089460987103,21.472506037619333,39.84180367210518,60.158196327894814,370,119,117
2011-12,Reading,BW,Black–White,47.56997392327003,25.858302556974877,21.71167136629515,54.35845434492797,45.64154565507203,367,75,67
2011-12,Reading,HW,Hispanic–White,34.85580926358699,13.35894652396124,21.49686273962575,38.32631290508295,61.67368709491704,367,129,129
2011-12,Math,BW,Black–White,52.82322378229179,29.906155547503694,22.917068234788097,56.615544084852495,43.38445591514751,367,75,67
2011-12,Math,HW,Hispanic–White,35.62655498108188,14.990722211438055,20.635832769643827,42.07738362409249,57.92261637590751,367,129,129
2012-13,Reading,BW,Black–White,46.785303109447796,25.67734863972811,21.107954469719687,54.88336493120387,45.11663506879613,370,81,72
2012-13,Reading,HW,Hispanic–White,35.68784474353828,13.272443383911439,22.41540135962684,37.19037526443672,62.80962473556328,370,124,124
2012-13,Math,BW,Black–White,54.66880176493072,31.410234549377265,23.258567215553455,57.45550210600463,42.54449789399538,370,81,72
2012-13,Math,HW,Hispanic–White,36.8537117691576,15.39409361400819,21.459618155149407,41.77080916688373,58.22919083311626,370,124,124
2013-14,Reading,BW,Black–White,49.53842263600251,27.113771151435813,22.424651484566695,54.73281083384885,45.26718916615114,374,89,79
2013-14,Reading,HW,Hispanic–White,35.74271800182112,13.199823988558895,22.54289401326222,36.930106960210345,63.069893039789655,374,131,131
2013-14,Math,BW,Black–White,57.264121511490146,32.960811466302765,24.30331004518738,57.55927201238759,42.44072798761242,374,89,79
2013-14,Math,HW,Hispanic–White,36.647443136172114,15.405088719697753,21.242354416474363,42.035916837244436,57.96408316275557,374,131,131
