year,subject,gap_pair,gap_desc,mean_ss_white,mean_ss_minority,gap
2008-09,Reading,BW,Black–White,552.7178450512788,483.8685227989073,68.84932225237151
2008-09,Reading,HW,Hispanic–White,552.7178450512788,504.3070677781805,48.41077727309829
2008-09,Math,BW,Black–White,570.6739844425238,512.3236991784285,58.350285264095305
2008-09,Math,HW,Hispanic–White,570.6739844425238,532.0605151729005,38.61346926962324
2009-10,Reading,BW,Black–White,560.0801366155433,485.9830216744581,74.09711494108524
2009-10,Reading,HW,Hispanic–White,560.0801366155433,506.77213328977456,53.308003325768766
2009-10,Math,BW,Black–White,571.8370636762052,507.54002985711236,64.2970338190928
2009-10,Math,HW,Hispanic–White,571.8370636762052,531.3419501133786,40.49511356282653
2010-11,Reading,BW,Black–White,551.9882335040828,487.7206786171575,64.26755488692532
2010-11,Reading,HW,Hispanic–White,551.9882335040828,505.58867540029104,46.399558103791776
2010-11,Math,BW,Black–White,573.1278158295281,516.4349892933618,56.69282653616631
2010-11,Math,HW,Hispanic–White,573.1278158295281,534.2126016260163,38.91521420351182
2011-12,Reading,BW,Black–White,561.9963796251061,493.88280871670696,68.11357090839914
2011-12,Reading,HW,Hispanic–White,561.9963796251061,515.4710430137756,46.525336611330545
2011-12,Math,BW,Black–White,574.2272348630929,510.9234595070422,63.30377535605072
2011-12,Math,HW,Hispanic–White,574.2272348630929,534.7840078146804,39.443227048412496
2012-13,Reading,BW,Black–White,558.2414485374069,494.13929299796064,64.10215553944624
2012-13,Reading,HW,Hispanic–White,558.2414485374069,516.2059363194819,42.035512217924975
2012-13,Math,BW,Black–White,575.7509333758198,521.1277383946947,54.62319498112515
2012-13,Math,HW,Hispanic–White,575.7509333758198,541.8148097826088,33.93612359321105
