district_label,tier,year,subject,race,mean_ss,n_tested
Madison Metropolitan SD,MMSD,2008-09,Math,Black,458.7658043273754,2126.0
Madison Metropolitan SD,MMSD,2008-09,Math,Hispanic,471.1392909896603,1354.0
Madison Metropolitan SD,MMSD,2008-09,Math,White,521.324926377787,4754.0
Madison Metropolitan SD,MMSD,2008-09,Reading,Black,453.0993411764706,2125.0
Madison Metropolitan SD,MMSD,2008-09,Reading,Hispanic,458.4929889298893,1355.0
Madison Metropolitan SD,MMSD,2008-09,Reading,White,517.8449400378709,4753.0
Madison Metropolitan SD,MMSD,2009-10,Math,Black,460.00058558558555,2220.0
Madison Metropolitan SD,MMSD,2009-10,Math,Hispanic,471.33872549019605,1428.0
Madison Metropolitan SD,MMSD,2009-10,Math,White,520.6300083472454,4792.0
Madison Metropolitan SD,MMSD,2009-10,Reading,Black,454.84826498422717,2219.0
Madison Metropolitan SD,MMSD,2009-10,Reading,Hispanic,458.3977591036415,1428.0
Madison Metropolitan SD,MMSD,2009-10,Reading,White,515.0075093867334,4794.0
Madison Metropolitan SD,MMSD,2010-11,Math,Black,458.4233910341767,2253.0
Madison Metropolitan SD,MMSD,2010-11,Math,Hispanic,471.4698752228164,1683.0
Madison Metropolitan SD,MMSD,2010-11,Math,White,522.2993397887325,4544.0
Madison Metropolitan SD,MMSD,2010-11,Reading,Black,456.0497338065661,2254.0
Madison Metropolitan SD,MMSD,2010-11,Reading,Hispanic,462.98882947118244,1683.0
Madison Metropolitan SD,MMSD,2010-11,Reading,White,518.4585387323942,4544.0
Madison Metropolitan SD,MMSD,2011-12,Math,Black,459.63316261203585,2343.0
Madison Metropolitan SD,MMSD,2011-12,Math,Hispanic,473.6811447811448,1782.0
Madison Metropolitan SD,MMSD,2011-12,Math,White,519.2850055865922,4475.0
Madison Metropolitan SD,MMSD,2011-12,Reading,Black,453.3774647887325,2343.0
Madison Metropolitan SD,MMSD,2011-12,Reading,Hispanic,460.06806958473624,1782.0
Madison Metropolitan SD,MMSD,2011-12,Reading,White,514.1276324614353,4473.0
Madison Metropolitan SD,MMSD,2012-13,Math,Black,456.2351200686106,2332.0
Madison Metropolitan SD,MMSD,2012-13,Math,Hispanic,471.2565104166667,1920.0
Madison Metropolitan SD,MMSD,2012-13,Math,White,520.4302436901653,4596.0
Madison Metropolitan SD,MMSD,2012-13,Reading,Black,452.36722365038554,2334.0
