year,subject,gap_pair,gap_desc,mean_ss_white,mean_ss_minority,gap
2008-09,Reading,BW,Black–White,503.8591912450411,457.6762064005754,46.18298484446569
2008-09,Reading,HW,Hispanic–White,503.8591912450411,466.5719407100999,37.287250534941165
2008-09,Math,BW,Black–White,510.717715144152,461.26191777865705,49.45579736549496
2008-09,Math,HW,Hispanic–White,510.717715144152,474.04391042619795,36.673804717954056
2009-10,Reading,BW,Black–White,503.2723373694863,458.97564781882846,44.296689550657845
2009-10,Reading,HW,Hispanic–White,503.2723373694863,467.17752227249406,36.09481509699225
2009-10,Math,BW,Black–White,512.1585610108883,464.6157600406711,47.54280097021723
2009-10,Math,HW,Hispanic–White,512.1585610108883,476.7025039123631,35.45605709852521
2010-11,Reading,BW,Black–White,505.51180807560047,461.1327385261329,44.379069549467545
2010-11,Reading,HW,Hispanic–White,505.51180807560047,471.4977683627669,34.01403971283355
2010-11,Math,BW,Black–White,512.6357123199248,463.11099739621005,49.524714923714726
2010-11,Math,HW,Hispanic–White,512.6357123199248,477.9811638464713,34.654548473453474
2011-12,Reading,BW,Black–White,504.0786702031648,458.07992243649034,45.998747766674455
2011-12,Reading,HW,Hispanic–White,504.0786702031648,469.9919296592871,34.08674054387768
2011-12,Math,BW,Black–White,514.5815474698456,463.42600170806355,51.15554576178209
2011-12,Math,HW,Hispanic–White,514.5815474698456,480.0684529087474,34.51309456109823
2012-13,Reading,BW,Black–White,505.82647791197047,460.34134188279126,45.485136029179216
2012-13,Reading,HW,Hispanic–White,505.82647791197047,470.90250018630303,34.92397772566744
2012-13,Math,BW,Black–White,514.704218145891,461.57485040667893,53.12936773921206
2012-13,Math,HW,Hispanic–White,514.704218145891,479.19188977843976,35.51232836745123
2013-14,Reading,BW,Black–White,504.7721788509642,456.8948146053515,47.87736424561274
2013-14,Reading,HW,Hispanic–White,504.7721788509642,469.612007993434,35.160170857530204
2013-14,Math,BW,Black–White,514.5873697266718,459.31238769013083,55.27498203654096
2013-14,Math,HW,Hispanic–White,514.5873697266718,478.9371009737133,35.65026875295848
