focal_year,race_eth,prevalent,incident,N_children_under18,prevalence_rate_per_100k
2000,All,2236830.744321503,,72376189.0,3090.5616546368633
2001,All,2217901.639355078,262630.4835406441,72671175.0,3051.9688712272477
2002,All,2210184.166623946,270060.65994543344,72936457.0,3030.287263095253
2003,All,2197643.182131807,272156.4668306157,73100758.0,3006.3206487295342
2004,All,2187851.776191084,273619.6512482785,73297735.0,2984.883197538211
2005,All,2175753.668737577,268506.9035569203,73523669.0,2959.256112120271
2006,All,2167140.9403951527,273049.39940445486,73757714.0,2938.1888657709114
2007,All,2155712.058576707,273434.4251299848,74019405.0,2912.3606959238687
2008,All,2130766.163817863,268695.05024052254,74104602.0,2875.34931206818
2009,All,2109017.5019761375,265795.6804469024,74134167.0,2844.8657175525254
2010,All,2090191.3410189548,265200.58846060286,74122633.0,2819.9097312408676
2011,All,2059636.721685023,256883.39690380468,73916808.0,2786.425411775118
2012,All,2036540.9351528895,258861.55731845577,73712974.0,2762.798493455018
2013,All,2019511.7789599155,257586.24020640878,73591734.0,2744.2100752238225
2014,All,2012741.6631072923,259892.8041689181,73593217.0,2734.955400994758
2015,All,2013152.9362493316,264399.5184235341,73653720.0,2733.2671537151573
2016,All,2023596.2292572171,273533.4515371419,73699293.0,2745.7471393344535
2017,All,2048032.4295501641,288543.6954080064,73632336.0,2781.430741991079
2018,All,2069226.3833242273,292839.30507656076,73385501.0,2819.6664942360035
2019,All,2088404.4052954605,290043.66467698844,73088675.0,2857.357046485602
2020,All,2113664.046860385,292173.05338885175,72822113.0,2902.5030444535237
2021,All,2269874.9044254017,393390.6441595313,72812036.0,3117.444627458847
