focal_year,race_eth,prevalent_base,incident_base,N_children_under18,prevalence_rate_per_100k,prevalent_cal,incident_cal,delta_prevalent_abs,delta_prevalent_pct,delta_incident_abs,delta_incident_pct
2000,All,2236830.744321503,,72376189.0,3090.5616546368633,2106002.976652818,,-130827.76766868541,-5.84880049600576,,
2001,All,2217901.639355078,262630.4835406441,72671175.0,3051.9688712272477,2085574.1964332527,245023.6491751891,-132327.44292182522,-5.966335051734009,-17606.834365455026,-6.70403303077734
2002,All,2210184.166623946,270060.65994543344,72936457.0,3030.287263095253,2076302.7030891874,252526.4948126979,-133881.46353475843,-6.057479985446744,-17534.165132735536,-6.492676547660946
2003,All,2197643.182131807,272156.4668306157,73100758.0,3006.3206487295342,2062693.5887320382,254610.51057415333,-134949.5933997687,-6.140650788853806,-17545.956256462377,-6.447010596805918
2004,All,2187851.776191084,273619.6512482785,73297735.0,2984.883197538211,2051993.0588909336,256185.9935543665,-135858.71730015054,-6.209685627637547,-17433.657693912013,-6.371493280682887
2005,All,2175753.668737577,268506.9035569203,73523669.0,2959.256112120271,2039502.5660045613,251612.14026535134,-136251.10273301555,-6.262248557396281,-16894.76329156896,-6.292115050959005
2006,All,2167140.9403951527,273049.39940445486,73757714.0,2938.1888657709114,2030814.1512273506,256247.07324790265,-136326.78916780208,-6.290628663170587,-16802.32615655221,-6.153584733458336
2007,All,2155712.058576707,273434.4251299848,74019405.0,2912.3606959238687,2020241.5411553895,257170.5447104338,-135470.5174213173,-6.284258460323347,-16263.880419550987,-5.948000297263043
2008,All,2130766.163817863,268695.05024052254,74104602.0,2875.34931206818,1997508.8369889664,253044.5609107928,-133257.32682889653,-6.2539629684248785,-15650.489329729753,-5.824628818327769
2009,All,2109017.5019761375,265795.6804469024,74134167.0,2844.8657175525254,1979061.0512672057,250547.50806551942,-129956.45070893178,-6.16194273338952,-15248.172381382989,-5.736802176673859
2010,All,2090191.3410189548,265200.58846060286,74122633.0,2819.9097312408676,1965243.2288916388,250632.99066792865,-124948.11212731595,-5.977831295885312,-14567.597792674205,-5.493048819097289
2011,All,2059636.721685023,256883.39690380468,73916808.0,2786.425411775118,1941451.220664526,243084.6518837319,-118185.50102049694,-5.738172162895183,-13798.74502007279,-5.371598626609573
2012,All,2036540.9351528895,258861.55731845577,73712974.0,2762.798493455018,1926189.1620788865,245569.1476575456,-110351.77307400294,-5.418588508053657,-13292.409660910169,-5.134949275051152
2013,All,2019511.7789599155,257586.24020640878,73591734.0,2744.2100752238225,1917959.5193468821,245013.76331760403,-101552.25961303338,-5.028554954273879,-12572.476888804755,-4.880880624186365
2014,All,2012741.6631072923,259892.8041689181,73593217.0,2734.955400994758,1920590.7348129852,247934.88459401327,-92150.92829430709,-4.578378337538037,-11957.919574904838,-4.601096830342694
2015,All,2013152.9362493316,264399.5184235341,73653720.0,2733.2671537151573,1931312.5526967482,253229.77417466984,-81840.3835525834,-4.0652839672011565,-11169.74424886427,-4.224570572391047
2016,All,2023596.2292572171,273533.4515371419,73699293.0,2745.7471393344535,1953078.4898918134,263278.1211072152,-70517.73936540377,-3.4847732144316197,-10255.330429926747,-3.7492052150463286
2017,All,2048032.4295501641,288543.6954080064,73632336.0,2781.430741991079,1989818.0584555266,279222.03679899,-58214.37109463755,-2.8424535790882923,-9321.658609016391,-3.230588211548128
2018,All,2069226.3833242273,292839.30507656076,73385501.0,2819.6664942360035,2008125.3783305422,283015.5047453481,-61101.004993685056,-2.9528429313532065,-9823.800331212638,-3.3546727372011333
2019,All,2088404.4052954605,290043.66467698844,73088675.0,2857.357046485602,2024000.801136671,279729.89283420437,-64403.604158789385,-3.0838665152919833,-10313.771842784074,-3.555937639344808
2020,All,2113664.046860385,292173.05338885175,72822113.0,2902.5030444535237,2045412.2693446924,281305.26427041285,-68251.77751569287,-3.229074062979562,-10867.789118438901,-3.7196411484172742
2021,All,2240911.5928642373,364427.33259836683,72812036.0,3077.6664353462625,2165353.524456669,350648.97010236525,-75558.06840756815,-3.3717558804269054,-13778.362496001588,-3.78082576785936
