focal_year,race_eth,prevalent_base,incident_base,N_children_under18,prevalence_rate_per_100k,prevalent_cal,incident_cal,delta_prevalent_abs,delta_prevalent_pct,delta_incident_abs,delta_incident_pct
2000,Hispanic,309063.6912387271,,12448116.0,2482.814999785727,348192.8947311654,,39129.203492438304,12.66056304951529,,
2001,Hispanic,308884.384974796,32784.15610292603,12906700.0,2393.2096118666736,346835.719172479,35879.703088587994,37951.33419768303,12.286582308386919,3095.5469856619675,9.442204264595013
2002,Hispanic,310700.4291750319,34401.99731461705,13378633.0,2322.363048414826,347534.308888267,37444.59722422591,36833.87971323513,11.855110664325768,3042.5999096088563,8.844253668713844
2003,Hispanic,311430.6803659364,34627.635600224814,13839946.0,2250.23045874555,346792.9540264315,37407.374568495405,35362.27366049506,11.354781622332064,2779.7389682705907,8.027515942360628
2004,Hispanic,312976.5431638893,35861.16010968255,14310776.0,2186.999105875805,346804.287849874,38547.13141756776,33827.74468598468,10.808396164140287,2685.9713078852146,7.489917503142906
2005,Hispanic,314197.1304457597,35578.50390494528,14813372.0,2121.0371983216223,346354.6102530314,38049.71175440453,32157.47980727174,10.234810152991875,2471.2078494592497,6.94578910923728
2006,Hispanic,317008.07523448055,37566.62383422809,15340694.0,2066.451982123368,347448.1897450676,39958.794423002124,30440.114510587067,9.602315173855274,2392.170588774032,6.367808295283784
2007,Hispanic,320144.8899816381,38500.80172854192,15886708.0,2015.1745092919068,348758.34887901234,40772.81896507581,28613.45889737422,8.937659101482252,2272.0172365338876,5.901220583802976
2008,Hispanic,320903.78013210045,38305.51943112031,16378400.0,1959.3109225083062,347262.79444133653,40314.96617122369,26359.01430923608,8.213993084900826,2009.4467401033835,5.2458412519812
2009,Hispanic,321291.3358050902,37838.87018402116,16817739.0,1910.4312167354376,345255.88427565544,39584.90882943538,23964.548470565234,7.458821885288313,1746.0386454142208,4.614404808924632
2010,Hispanic,321184.70644856093,38386.3706865888,17178149.0,1869.728260294872,342560.79749765806,39975.31981530877,21376.09104909713,6.6553888214227905,1588.9491287199708,4.139357538364804
2011,Hispanic,315655.1421750598,36328.84920340079,17367694.0,1817.484475342897,334024.06769677106,37534.16342482234,18368.925521711237,5.8193018479401095,1205.314221421555,3.317788060593794
2012,Hispanic,311678.0763228983,36825.96303132221,17521880.0,1778.7935787877689,327094.29697730555,37796.500412542664,15416.220654407225,4.946199885562701,970.5373812204562,2.63547047064314
2013,Hispanic,309582.25561756094,37222.42463150607,17676658.0,1751.3619125151424,322082.1256280432,37960.85598851622,12499.870010482264,4.0376571278438655,738.431357010144,1.983834648925894
2014,Hispanic,310219.73911623214,38406.503367028075,17856378.0,1737.304951296574,319882.0077313796,38984.11098578715,9662.268615147448,3.1146530658151383,577.6076187590734,1.5039318035261409
2015,Hispanic,312653.3241744757,39668.94540342941,18054713.0,1731.6992198905386,319363.2871788039,40018.937275963915,6709.963004328194,2.14613518728613,349.9918725345051,0.8822817671988024
2016,Hispanic,317301.10448110703,41724.15758824265,18255321.0,1738.1294170675335,320817.24522473855,41844.71132678054,3516.1407436315203,1.1081400896418503,120.55373853789206,0.2889303116136792
2017,Hispanic,324532.7000884387,44873.121498389984,18417710.0,1762.0686832860256,324553.21552646026,44745.513487404016,20.515438021568116,0.006321531856721198,-127.60801098596858,-0.2843751598393864
2018,Hispanic,331804.0058416112,46377.18236783787,18525094.0,1791.1056529138864,331284.16793887556,46106.248377726915,-519.8379027356277,-0.15667017081878623,-270.9339901109561,-0.5841967456368073
2019,Hispanic,338968.44906689285,47284.226980806794,18588264.0,1823.5616250495088,337776.3373981385,46877.10931991015,-1192.111668754369,-0.3516880913359328,-407.1176608966416,-0.8610009867812691
2020,Hispanic,348559.47982956225,49817.1632550732,18631835.0,1870.7737580842802,346595.1756329085,49332.78168740399,-1964.3041966537712,-0.5635492104860472,-484.3815676692102,-0.9723186468669159
2021,Hispanic,363280.89118462615,69474.58392713123,17554386.0,2069.459399973466,360176.2541656621,68426.18015453574,-3104.637018964044,-0.8546106041636551,-1048.403772595484,-1.5090464934559489
