focal_year,race_eth,prevalent_base,incident_base,N_children_under18,prevalence_rate_per_100k,prevalent_cal,incident_cal,delta_prevalent_abs,delta_prevalent_pct,delta_incident_abs,delta_incident_pct
2000,Non-Hispanic American Indian or Alaska Native,33216.34418766369,,782530.0,4244.7374781367735,34893.536029098235,,1677.1918414345419,5.049296912263568,,
2001,Non-Hispanic American Indian or Alaska Native,32909.611257666875,3648.5340627098485,779394.0,4222.46145821842,34557.34784400971,3801.0710228770604,1647.736586342835,5.006855211512003,152.53696016721187,4.1807739093415295
2002,Non-Hispanic American Indian or Alaska Native,32782.70060066094,3793.0323004091974,776567.0,4221.490302917963,34425.49762942699,3971.825694476307,1642.79702876605,5.011170521848128,178.7933940671096,4.713732441662074
2003,Non-Hispanic American Indian or Alaska Native,32727.412047092705,3967.816596539051,773027.0,4233.66998139686,34405.459205136656,4194.9949791969675,1678.0471580439516,5.127344489168121,227.1783826579167,5.72552629715986
2004,Non-Hispanic American Indian or Alaska Native,32806.77661890195,4129.496703277831,770294.0,4258.99417870345,34543.53620302956,4383.735212245075,1736.7595841276052,5.293904988906937,254.23850896724343,6.1566463720733555
2005,Non-Hispanic American Indian or Alaska Native,32869.59066437553,4108.520127215684,769042.0,4274.095649441192,34704.68373700308,4405.019366274177,1835.0930726275474,5.582950792923759,296.499239058493,7.216691895809904
2006,Non-Hispanic American Indian or Alaska Native,32930.55510098733,4213.7286210477805,767675.0,4289.647976160137,34878.54753534622,4530.087322786436,1947.9924343588864,5.915455808093807,316.3587017386553,7.507809120844379
2007,Non-Hispanic American Indian or Alaska Native,32908.617636355084,4213.116209023659,767316.0,4288.7959636388505,35010.56603514963,4570.919629959676,2101.9483987945496,6.387227874538453,357.80342093601666,8.492607447420337
2008,Non-Hispanic American Indian or Alaska Native,32661.314772928436,4143.6857293188905,766304.0,4262.187692212025,34944.08429191547,4532.975485083717,2282.769518987032,6.98921502351498,389.2897557648266,9.394770288933454
2009,Non-Hispanic American Indian or Alaska Native,32655.973883104474,4285.276889659071,765440.0,4266.300935815279,35170.55668386429,4717.782790628256,2514.5828007598175,7.7002229661287505,432.50590096918586,10.092834421338765
2010,Non-Hispanic American Indian or Alaska Native,32585.295439698304,4294.419166591001,761408.0,4279.610332397126,35416.31553602477,4776.353598797267,2831.020096326465,8.688029548682454,481.93443220626614,11.222342615167575
2011,Non-Hispanic American Indian or Alaska Native,32434.019370364662,4223.164429484854,754571.0,4298.338972789129,35624.02854065562,4757.148776896358,3190.0091702909594,9.835380357470303,533.9843474115041,12.644176098931581
2012,Non-Hispanic American Indian or Alaska Native,32431.75105706977,4248.578136538642,748800.0,4331.16333561295,36064.37169097875,4857.756830083037,3632.6206339089767,11.200815606646392,609.1786935443952,14.338413322455663
2013,Non-Hispanic American Indian or Alaska Native,32684.96964280963,4364.63080790716,744557.0,4389.854590422175,36887.49918863677,5076.294974471176,4202.529545827143,12.857682267273141,711.6641665640163,16.30525462256129
2014,Non-Hispanic American Indian or Alaska Native,33018.95023188325,4356.682512369423,741608.0,4452.3454752218495,37884.73381961194,5143.00082997008,4865.783587728685,14.736336417595318,786.3183176006569,18.048556794491095
2015,Non-Hispanic American Indian or Alaska Native,33536.45141996203,4557.466871957222,737830.0,4545.281625843627,39196.22459900254,5483.763896818489,5659.773179040509,16.87648197528621,926.2970248612673,20.324821899659042
2016,Non-Hispanic American Indian or Alaska Native,34225.25972651086,4832.4177248646065,733084.0,4668.668218991393,40843.095993826064,5924.777452276438,6617.8362673152005,19.33611700889162,1092.359727411832,22.604828257938678
2017,Non-Hispanic American Indian or Alaska Native,35000.832217470044,4983.660360535967,727264.0,4812.672181968315,42705.72797528644,6212.672179073786,7704.895757816397,22.01346445119849,1229.0118185378187,24.66082617246503
2018,Non-Hispanic American Indian or Alaska Native,35772.611992828075,5160.0636722671525,718426.0,4979.303643357573,43993.59056658406,6491.67372929342,8220.978573755987,22.981208572089123,1331.610057026268,25.80607801766145
2019,Non-Hispanic American Indian or Alaska Native,36513.883653707184,5098.608243681197,710762.0,5137.28697562717,45317.63751399289,6491.016058116444,8803.75386028571,24.11070250368145,1392.407814435247,27.309566608905183
2020,Non-Hispanic American Indian or Alaska Native,37334.60436885319,5158.823648426292,704252.0,5301.313218684958,46757.10877519516,6575.351766941356,9422.50440634197,25.23799184598511,1416.5281185150643,27.458355141625724
2021,Non-Hispanic American Indian or Alaska Native,34749.73548102762,6837.6626398726985,575699.0,6036.094466210228,43913.075339927396,8770.721259980975,9163.339858899773,26.36952406127724,1933.058620108277,28.270751599179015
