focal_year,race_eth,prevalent_base,incident_base,N_children_under18,prevalence_rate_per_100k,prevalent_cal,incident_cal,delta_prevalent_abs,delta_prevalent_pct,delta_incident_abs,delta_incident_pct
2000,Non-Hispanic Asian or Pacific Islander,46981.77713008936,,2890679.0,1625.2851710649768,46981.77713008936,,0.0,0.0,,
2001,Non-Hispanic Asian or Pacific Islander,47258.92402805817,5815.103084339824,2980738.0,1585.477288780771,47236.33733548232,5792.5163917639775,-22.586692575852794,-0.04779349729258079,-22.586692575846428,-0.38841431094614287
2002,Non-Hispanic Asian or Pacific Islander,47829.33454511715,6149.45036496896,3066486.0,1559.7441026998704,47749.78121085036,6093.072209796267,-79.55333426679135,-0.16632749550748846,-56.37815517269246,-0.9167999061161142
2003,Non-Hispanic Asian or Pacific Islander,48098.52182966059,5947.683079800489,3154442.0,1524.7870092289093,47940.62517702554,5871.076706809989,-157.89665263504867,-0.3282775574564115,-76.60637299049995,-1.28800361355282
2004,Non-Hispanic Asian or Pacific Islander,48438.20125430462,6080.822203707408,3240904.0,1494.5892027133361,48172.35378731527,5976.342631065538,-265.84746698935487,-0.548838437648899,-104.47957264187062,-1.7181816725075534
2005,Non-Hispanic Asian or Pacific Islander,48839.1224090656,6013.993789850975,3334464.0,1464.676853883131,48441.756576429245,5888.600481345471,-397.3658326363584,-0.8136219756532699,-125.39330850550414,-2.0850255734735526
2006,Non-Hispanic Asian or Pacific Islander,49396.982068755206,6333.916779720401,3424969.0,1442.2607056809918,48825.50748527615,6168.269577797857,-571.474583479052,-1.1569018177742554,-165.6472019225439,-2.615241211455514
2007,Non-Hispanic Asian or Pacific Islander,49842.64761457696,6416.591819545583,3516670.0,1417.325129016284,49068.27770385299,6224.377278529041,-774.3699107239736,-1.5536291665563562,-192.21454101654217,-2.995586230544342
2008,Non-Hispanic Asian or Pacific Islander,50200.82459727226,6409.5000465360645,3613046.0,1389.4322020055174,49192.14612910978,6187.360292190747,-1008.6784681624777,-2.0092866526684223,-222.13975434531767,-3.4657891057411003
2009,Non-Hispanic Asian or Pacific Islander,50547.14474452947,6393.999393190342,3699906.0,1366.1737553475539,49251.070393150534,6126.326135275865,-1296.0743513789348,-2.5640901339322517,-267.6732579144764,-4.186319726579118
2010,Non-Hispanic Asian or Pacific Islander,51023.416568559776,6650.314914104263,3781041.0,1349.454199744456,49377.62804915464,6339.3689637114285,-1645.7885194051341,-3.2255553039920417,-310.9459503928347,-4.675657535154729
2011,Non-Hispanic Asian or Pacific Islander,51152.472130543756,6577.479157671666,3861433.0,1324.7017915510578,49088.16649474532,6187.38475697707,-2064.3056357984387,-4.035593100036737,-390.0944006945965,-5.930758446259896
2012,Non-Hispanic Asian or Pacific Islander,51533.70053011542,6892.274845632825,3946488.0,1305.811661662608,48922.9425909825,6381.999352847914,-2610.75793913292,-5.066117729324013,-510.27549278491097,-7.403585959840799
2013,Non-Hispanic Asian or Pacific Islander,52286.30243430711,7177.633877986002,4043910.0,1292.9640480205323,48950.17776875323,6498.001161726928,-3336.124665553878,-6.380494527692812,-679.6327162590733,-9.468757083633443
2014,Non-Hispanic Asian or Pacific Islander,53251.561309059754,7414.456552566841,4141736.0,1285.7304596203078,49038.68382455474,6598.606272373224,-4212.877484505014,-7.911275051738758,-815.8502801936174,-11.003507464227772
2015,Non-Hispanic Asian or Pacific Islander,54220.96219210623,7421.378717799838,4249496.0,1275.9386570102956,48979.59818168183,6473.801282477886,-5241.364010424397,-9.66667465592756,-947.5774353219522,-12.768212906979548
2016,Non-Hispanic Asian or Pacific Islander,55476.0616269279,7747.002545524631,4350846.0,1275.0637836165174,48985.109235554504,6595.686208652351,-6490.952391373394,-11.700456378869381,-1151.3163368722808,-14.86144260449979
2017,Non-Hispanic Asian or Pacific Islander,57214.028300833685,8316.106979589797,4449302.0,1285.9102012143408,49134.68418925224,6843.043084045077,-8079.344111581442,-14.121264227542104,-1473.0638955447193,-17.71338318710975
2018,Non-Hispanic Asian or Pacific Islander,58516.62995079907,8508.642433436002,4507580.0,1298.182837593544,49615.246551791824,6914.656585082418,-8901.383399007245,-15.211715723361976,-1593.9858483535836,-18.733727040752992
2019,Non-Hispanic Asian or Pacific Islander,59744.914811308496,8653.980496399277,4549177.0,1313.3126016268106,49864.71118408563,6910.418353526796,-9880.203627222865,-16.537313105939425,-1743.5621428724817,-20.147516435909903
2020,Non-Hispanic Asian or Pacific Islander,61317.815251015745,8966.540812610847,4583907.0,1337.6758134712538,50225.698133672515,7008.588361044956,-11092.11711734323,-18.08955043805069,-1957.9524515658904,-21.83620743477975
2021,Non-Hispanic Asian or Pacific Islander,59413.99196092998,10522.017739822015,4141398.0,1434.6361291749788,47651.03335619148,8070.368042967233,-11762.958604738502,-19.79829702820457,-2451.6496968547817,-23.300185928941918
