focal_year,race_eth,prevalent_base,incident_base,N_children_under18,prevalence_rate_per_100k,prevalent_cal,incident_cal,delta_prevalent_abs,delta_prevalent_pct,delta_incident_abs,delta_incident_pct
2000,Non-Hispanic Black,667188.5048831146,,11209172.0,5952.165823515908,577304.6511647378,,-89883.85371837683,-13.47203272546245,,
2001,Non-Hispanic Black,655736.144633782,69044.97826200536,11258976.0,5824.118859777141,567362.6624634545,59875.83924452615,-88373.48217032745,-13.476988098571661,-9169.13901747921,-13.279950618110165
2002,Non-Hispanic Black,646072.3182412148,69234.3815932797,11299841.0,5717.534593993091,559683.2393355813,60665.99674160301,-86389.07890563353,-13.371425530319607,-8568.384851676688,-12.375910139577801
2003,Non-Hispanic Black,635459.2698852016,69260.3826332413,11315538.0,5615.811372691263,551929.6349779541,61352.50148383685,-83529.6349072475,-13.144766134631647,-7907.881149404449,-11.417611120168843
2004,Non-Hispanic Black,625341.3162868512,69089.07844567027,11330590.0,5519.053432229489,545203.0860516332,61706.238781940694,-80138.23023521795,-12.815118423817312,-7382.839663729574,-10.685972124429528
2005,Non-Hispanic Black,613626.2312729097,66711.73459256772,11346440.0,5408.094796895852,537738.5055540642,60203.16515352148,-75887.7257188455,-12.367092841097028,-6508.569439046245,-9.756258743377597
2006,Non-Hispanic Black,601594.5348550099,67091.75588468091,11357398.0,5296.939799547483,530784.8414940203,61249.56682319235,-70809.69336098956,-11.770335210584216,-5842.189061488563,-8.707759969094075
2007,Non-Hispanic Black,587236.3325967911,66313.88558049136,11373749.0,5163.085035521631,522655.33944337175,61330.404559891605,-64580.993153419346,-10.997445077663821,-4983.481020599756,-7.514988719143654
2008,Non-Hispanic Black,567112.5567527985,63563.352351404,11351899.0,4995.750550218941,510109.3197503019,59448.53730708546,-57003.23700249661,-10.051485604354909,-4114.815044318537,-6.473565178831616
2009,Non-Hispanic Black,547125.6091201678,60223.57657264255,11332977.0,4827.7306935341685,498166.84676171746,56899.31375303382,-48958.76235845033,-8.948358757540316,-3324.2628196087317,-5.519869474372645
2010,Non-Hispanic Black,528637.110077435,58849.33432502471,11299028.0,4678.606956965104,488356.52881848527,56207.31127747889,-40280.581258949765,-7.619703666481048,-2642.023047545823,-4.489469724421923
2011,Non-Hispanic Black,506628.6859320655,55546.028032891176,11225722.0,4513.105579597156,474808.77383754577,52920.17583136991,-31819.912094519706,-6.280716623058821,-2625.8522015212657,-4.727344680642847
2012,Non-Hispanic Black,488618.2227894094,55056.69048732142,11165089.0,4376.303877106662,464511.8752243258,52287.15820957353,-24106.34756508359,-4.933575221052129,-2769.532277747894,-5.030328291137784
2013,Non-Hispanic Black,475276.16859787935,54672.55513132378,11136780.0,4267.626446763601,458259.5517640114,51898.390285036454,-17016.61683386797,-3.580363998487236,-2774.1648462873272,-5.074145226290902
2014,Non-Hispanic Black,467450.6983083443,55228.61644041266,11145212.0,4194.183998548832,456914.58169527235,52484.42670384578,-10536.116613071936,-2.2539524812351446,-2744.1897365668847,-4.968782333208817
2015,Non-Hispanic Black,461034.5433735182,55339.83371824116,11156747.0,4132.33842600821,456658.5904648849,52430.322308057686,-4375.952908633335,-0.9491594440219746,-2909.511410183477,-5.2575355122985155
2016,Non-Hispanic Black,457952.8309031036,57788.403420899296,11161647.0,4102.914479405266,459675.55465410766,54896.1931872857,1722.7237510040868,0.3761792994284582,-2892.210233613594,-5.004828066538381
2017,Non-Hispanic Black,459262.6910155367,61253.21395460646,11163634.0,4113.91748435623,466984.10283148143,58390.48728533521,7721.41181594471,1.6812625904514191,-2862.7266692712437,-4.67359422379494
2018,Non-Hispanic Black,460109.5759525953,62485.29359135718,11144557.0,4128.558685218221,459685.0658140048,58520.213474556556,-424.5101385904709,-0.09226283493699941,-3965.080116800622,-6.345621327686396
2019,Non-Hispanic Black,463192.74954999407,63265.4425646708,11130169.0,4161.59673361648,453916.874704764,58202.850596694436,-9275.874845230079,-2.00259500051369,-5062.591967976361,-8.002144239805657
2020,Non-Hispanic Black,469125.62848620425,64699.60839345193,11123707.0,4217.349742187602,450254.92600444827,58521.42131911888,-18870.702481755987,-4.02252644833087,-6178.187074333044,-9.549033182337347
2021,Non-Hispanic Black,456693.6818608724,78379.11980241642,10069442.0,4535.441803635916,429031.61016192526,69703.18578998139,-27662.07169894717,-6.057029645392415,-8675.934012435027,-11.069190409774862
