focal_year,race_eth,prevalent_base,incident_base,N_children_under18,prevalence_rate_per_100k,prevalent_cal,incident_cal,delta_prevalent_abs,delta_prevalent_pct,delta_incident_abs,delta_incident_pct
2000,Non-Hispanic White,1248302.2016289474,,45045692.0,2771.1910866614003,966603.6681656598,,-281698.53346328763,-22.566533416002205,,
2001,Non-Hispanic White,1235627.1793738308,154137.32280010593,44745367.0,2761.4639508350233,956306.355053541,119104.33621745404,-279320.8243202898,-22.605590827310795,-35032.986582651894,-22.72842550151508
2002,Non-Hispanic White,1229860.773701266,158685.2314890083,44414930.0,2769.025581490877,951711.8283084914,123035.0614809763,-278148.94539277453,-22.616295384044594,-35650.170008031986,-22.46596590842884
2003,Non-Hispanic White,1221480.4303171944,160118.42820153243,44017805.0,2774.968970663563,945035.8027010745,124173.90510037621,-276444.6276161199,-22.6319325921851,-35944.523101156214,-22.44871093533018
2004,Non-Hispanic White,1214253.1503758891,159861.5709511979,43645171.0,2782.101942906557,939235.5090823787,124032.84392048503,-275017.64129351045,-22.649119025005195,-35828.72703071288,-22.412345141816836
2005,Non-Hispanic White,1206040.7122726524,156891.14660077207,43260351.0,2787.8662202085516,932732.4497177167,121847.83833420547,-273308.26255493576,-22.661611649901612,-35043.3082665666,-22.33606486141529
2006,Non-Hispanic White,1199493.7301583022,158390.15153574187,42866978.0,2798.176559491323,927590.6241816307,123137.1012238939,-271903.10597667156,-22.66815566770719,-35253.05031184797,-22.257097407911036
2007,Non-Hispanic White,1191459.0187299293,157945.57210205882,42474962.0,2805.085543643169,921460.0595782691,122996.39653907005,-269998.9591516602,-22.66120402860969,-34949.17556298878,-22.127353807934455
2008,Non-Hispanic White,1177226.2608103328,155434.08823916016,41994953.0,2803.2565265886424,910640.3734779453,121198.69744122298,-266585.8873323875,-22.645254884892353,-34235.39079793719,-22.025664502409903
2009,Non-Hispanic White,1166185.9172162456,154915.50751961107,41518105.0,2808.861139534778,902770.9393511189,120783.32910735205,-263414.9778651267,-22.587734423505452,-34132.17841225902,-22.032770610739636
2010,Non-Hispanic White,1158261.2435670395,154519.00379722478,41103007.0,2817.9477077359315,898185.9112155644,120823.79592674605,-260075.33235147514,-22.453944116314734,-33695.20787047873,-21.80651378952516
2011,Non-Hispanic White,1149005.9263289045,150963.63953170824,40707388.0,2822.598016676738,893915.3438752106,119042.23776225506,-255090.58245369385,-22.20098057011012,-31921.40176945318,-21.145092863734543
2012,Non-Hispanic White,1142804.3019632893,152378.32730325725,40330717.0,2833.5829039768605,893723.4903225551,121454.94186372492,-249080.8116407342,-21.79557875419474,-30923.38543953233,-20.29382129782134
2013,Non-Hispanic White,1137074.7393337109,150812.39114630534,39989829.0,2843.4098563755074,895465.155709142,121478.60057098321,-241609.58362456888,-21.248346767965693,-29333.790575322128,-19.450517528672417
2014,Non-Hispanic White,1134284.2286665025,151269.81459418166,39708283.0,2856.5431264466974,900944.7906749431,123051.33897465111,-233339.4379915594,-20.571513919917585,-28218.475619530553,-18.654399554354928
2015,Non-Hispanic White,1135038.3048944364,153906.96191265155,39454934.0,2876.796866253626,910989.231101474,126788.57346610482,-224049.07379296236,-19.739340322421974,-27118.388446546727,-17.619988147084285
2016,Non-Hispanic White,1139872.6224857888,158049.42938510983,39198395.0,2907.957385718953,926586.448641492,132303.89077117524,-213286.17384429672,-18.711404207530727,-25745.538613934594,-16.289548601407436
2017,Non-Hispanic White,1151491.6925602262,165761.90202573757,38874426.0,2962.080244117884,950470.5277960243,141295.30850817505,-201021.16476420185,-17.457456798255443,-24466.59351756252,-14.760082515078544
2018,Non-Hispanic White,1161203.0659085845,167044.37776379948,38489844.0,3016.9076962447143,968340.2902926828,143959.28822750255,-192862.7756159017,-16.608875852820454,-23085.08953629693,-13.819734519254048
2019,Non-Hispanic White,1167890.7793628627,162914.87187092393,38110303.0,3064.50142724623,984463.0810953929,141173.83655110523,-183427.69826746976,-15.705894892631818,-21741.035319818708,-13.345028032213008
2020,Non-Hispanic White,1175776.4490746688,161323.35322958973,37778412.0,3112.2971740439193,1002392.1567997644,140625.30900282308,-173384.29227490444,-14.74636546865326,-20698.04422676665,-12.830159931841933
2021,Non-Hispanic White,1176062.4355485842,178769.9668914181,35864829.0,3279.1524965826106,1014423.6734066207,157657.41045934314,-161638.76214196347,-13.744063006873075,-21112.556432074955,-11.809901181498999
