focal_year,race_eth,prevalent,incident,N_children_under18,prevalence_rate_per_100k
2000,All,2106002.976652818,,72376189.0,2909.800869251098
2001,All,2085574.1964332527,245023.6491751891,72671175.0,2869.8781826952054
2002,All,2076302.7030891874,252526.4948126979,72936457.0,2846.7282186317157
2003,All,2062693.5887320382,254610.51057415333,73100758.0,2821.712996097849
2004,All,2051993.0588909336,256185.9935543665,73297735.0,2799.5313346189123
2005,All,2039502.5660045613,251612.14026535134,73523669.0,2773.940138929358
2006,All,2030814.1512273506,256247.07324790265,73757714.0,2753.3583148026396
2007,All,2020241.5411553895,257170.5447104338,74019405.0,2729.340422495141
2008,All,1997508.8369889664,253044.5609107928,74104602.0,2695.526030878577
2009,All,1979061.0512672057,250547.50806551942,74134167.0,2669.566721195108
2010,All,1965243.2288916388,250632.99066792865,74122633.0,2651.340284811036
2011,All,1941451.220664526,243084.6518837319,73916808.0,2626.5355244568004
2012,All,1926189.1620788865,245569.1476575456,73712974.0,2613.093811787985
2013,All,1917959.5193468821,245013.76331760403,73591734.0,2606.215963530472
2014,All,1920590.7348129852,247934.88459401327,73593217.0,2609.7387953742873
2015,All,1931312.5526967482,253229.77417466984,73653720.0,2622.1520823343994
2016,All,1953078.4898918134,263278.1211072152,73699293.0,2650.0640784869042
2017,All,1989818.0584555266,279222.03679899,73632336.0,2702.369864315491
2018,All,2008125.3783305422,283015.5047453481,73385501.0,2736.406171473221
2019,All,2024000.801136671,279729.89283420437,73088675.0,2769.2399693066964
2020,All,2045412.2693446924,281305.26427041285,72822113.0,2808.7790714678827
2021,All,2165353.524456669,350648.97010236525,72812036.0,2973.8950363325494
