focal_year,race_eth,prevalent,incident,N_children_under18,prevalence_rate_per_100k
2000,Non-Hispanic American Indian or Alaska Native,34893.536029098235,,782530.0,4459.066876554028
2001,Non-Hispanic American Indian or Alaska Native,34557.34784400971,3801.0710228770604,779394.0,4433.873989793315
2002,Non-Hispanic American Indian or Alaska Native,34425.49762942699,3971.825694476307,776567.0,4433.036380560466
2003,Non-Hispanic American Indian or Alaska Native,34405.459205136656,4194.9949791969675,773027.0,4450.744825877577
2004,Non-Hispanic American Indian or Alaska Native,34543.53620302956,4383.735212245075,770294.0,4484.461284007088
2005,Non-Hispanic American Indian or Alaska Native,34704.68373700308,4405.019366274177,769042.0,4512.716306391989
2006,Non-Hispanic American Indian or Alaska Native,34878.54753534622,4530.087322786436,767675.0,4543.40020651268
2007,Non-Hispanic American Indian or Alaska Native,35010.56603514963,4570.919629959676,767316.0,4562.731134910471
2008,Non-Hispanic American Indian or Alaska Native,34944.08429191547,4532.975485083717,766304.0,4560.081154726515
2009,Non-Hispanic American Indian or Alaska Native,35170.55668386429,4717.782790628256,765440.0,4594.815620279093
2010,Non-Hispanic American Indian or Alaska Native,35416.31553602477,4776.353598797267,761408.0,4651.424142644255
2011,Non-Hispanic American Indian or Alaska Native,35624.02854065562,4757.148776896358,754571.0,4721.096959816323
2012,Non-Hispanic American Indian or Alaska Native,36064.37169097875,4857.756830083037,748800.0,4816.288954457632
2013,Non-Hispanic American Indian or Alaska Native,36887.49918863677,5076.294974471176,744557.0,4954.288145653962
2014,Non-Hispanic American Indian or Alaska Native,37884.73381961194,5143.00082997008,741608.0,5108.458082924124
2015,Non-Hispanic American Indian or Alaska Native,39196.22459900254,5483.763896818489,737830.0,5312.365260155123
2016,Non-Hispanic American Indian or Alaska Native,40843.095993826064,5924.777452276438,733084.0,5571.407368572505
2017,Non-Hispanic American Indian or Alaska Native,42705.72797528644,6212.672179073786,727264.0,5872.108061898628
2018,Non-Hispanic American Indian or Alaska Native,43993.59056658406,6491.67372929342,718426.0,6123.607799075209
2019,Non-Hispanic American Indian or Alaska Native,45317.63751399289,6491.016058116444,710762.0,6375.9229550810105
2020,Non-Hispanic American Indian or Alaska Native,46757.10877519516,6575.351766941356,704252.0,6639.258216546798
2021,Non-Hispanic American Indian or Alaska Native,43913.075339927396,8770.721259980975,575699.0,7627.783848838959
