focal_year,race_eth,prevalent,incident,N_children_under18,prevalence_rate_per_100k
2000,Non-Hispanic White,966603.6681656598,,45045692.0,2145.8293240686808
2001,Non-Hispanic White,956306.355053541,119104.33621745404,44745367.0,2137.218709265567
2002,Non-Hispanic White,951711.8283084914,123035.0614809763,44414930.0,2142.774576721142
2003,Non-Hispanic White,945035.8027010745,124173.90510037621,44017805.0,2146.939863768933
2004,Non-Hispanic White,939235.5090823787,124032.84392048503,43645171.0,2151.980362460669
2005,Non-Hispanic White,932732.4497177167,121847.83833420547,43260351.0,2156.090804066099
2006,Non-Hispanic White,927590.6241816307,123137.1012238939,42866978.0,2163.8815411285364
2007,Non-Hispanic White,921460.0595782691,122996.39653907005,42474962.0,2169.4193854211553
2008,Non-Hispanic White,910640.3734779453,121198.69744122298,41994953.0,2168.4519410652642
2009,Non-Hispanic White,902770.9393511189,120783.32910735205,41518105.0,2174.4030450116134
2010,Non-Hispanic White,898185.9112155644,120823.79592674605,41103007.0,2185.2073042139336
2011,Non-Hispanic White,893915.3438752106,119042.23776225506,40707388.0,2195.953579422022
2012,Non-Hispanic White,893723.4903225551,121454.94186372492,40330717.0,2215.9871105751854
2013,Non-Hispanic White,895465.155709142,121478.60057098321,39989829.0,2239.232270058324
2014,Non-Hispanic White,900944.7906749431,123051.33897465111,39708283.0,2268.908959561266
2015,Non-Hispanic White,910989.231101474,126788.57346610482,39454934.0,2308.936142439052
2016,Non-Hispanic White,926586.448641492,132303.89077117524,39198395.0,2363.8377250943363
2017,Non-Hispanic White,950470.5277960243,141295.30850817505,38874426.0,2444.976365171345
2018,Non-Hispanic White,968340.2902926828,143959.28822750255,38489844.0,2515.8332423812444
2019,Non-Hispanic White,984463.0810953929,141173.83655110523,38110303.0,2583.194054099735
2020,Non-Hispanic White,1002392.1567997644,140625.30900282308,37778412.0,2653.3464582888355
2021,Non-Hispanic White,1014423.6734066207,157657.41045934314,35864829.0,2828.4637113608455
