year,caregivers,mort_50_79,deaths_per_year,incident_children,prevalent_stock
2000,2641514.0,0.020341435974281737,53732.187906168845,91344.71944048704,91344.71944048704
2001,2641514.0,0.019978788855534814,52774.250464939185,89716.22579039661,174536.322413706
2002,2641514.0,0.019676636224364757,51976.11005956664,88359.38710126329,249962.78485562047
2003,2641514.0,0.01927180840116468,50906.75169699411,86541.47788488999,317259.9532882143
2004,2641514.0,0.01852960826060092,48946.21963489297,83208.57337931806,375042.6830806011
2005,2641514.0,0.018359103487479767,48495.82888962663,82442.90911236528,426116.2790789409
2006,2641514.0,0.017799697906574877,47018.15121598823,79930.85706718,468789.0438097839
2007,2641514.0,0.017362546625469728,45863.409986831044,77967.79697761277,503789.40151768946
2008,2641514.0,0.01732053988348646,45752.448589787855,77779.16260263935,533031.9964950779
2009,2641514.0,0.016790295293314373,44351.80008142402,75398.06013842084,554337.8345366307
2010,2641514.0,0.016569988268889762,43769.855992108074,74408.75518658373,569268.7919021734
2011,2687216.0,0.01643087513548776,44153.31055808488,75060.6279487443,579536.7109451207
2012,2723744.0,0.016223946816964895,44189.87779902723,75122.7922583463,584505.32087276
2013,2733807.0,0.016208562499591732,44311.08162132138,75328.83875624633,584314.0635655599
2014,2715879.0,0.016118824890006937,43776.77802344715,74420.52263986015,577833.8588022421
2015,2685185.0,0.016212062651738347,43532.38745150803,74005.05866756366,572147.0612666723
2016,2646027.0,0.016116709888394355,42645.24951585845,72496.92417695936,566074.3554635579
2017,2582410.0,0.01605632317297871,41464.00952513194,70488.8161927243,559126.57474223
2018,2520926.0,0.01589885957568006,40079.84847468083,68135.74240695742,550972.3389274328
2019,2467425.0,0.01566888683430307,38661.80309713026,65725.06526512143,541484.0567545397
2020,2400774.0,0.01867914082958573,44844.395646007855,76235.47259821335,543700.3136181129
2021,2321357.0,0.019287949054177685,44774.21555255875,76116.16643934988,546061.2203563205
