cause,year,deaths,children_nhis,children_naive,delta_pct
drug,1999,16450,10333.211829812328,14293.449296149667,-27.706660472809304
drug,2000,17006,10770.631250426959,14314.351936164221,-24.756417206595966
drug,2001,19002,11801.479833051808,15764.525180993878,-25.139008644040995
drug,2002,23054,14085.001708422033,18837.21548645649,-25.22779325559654
drug,2003,25324,15181.101725448754,20301.31396839634,-25.22108791045926
drug,2004,26961,15698.858118534963,21040.871112152996,-25.388744435265036
drug,2005,29311,16821.52568740326,22439.245036410088,-25.035242228031617
drug,2006,33854,19104.233120507346,25358.660278801595,-24.663870604878117
drug,2007,35442,19416.124447206555,25816.93279492576,-24.793062749023633
drug,2008,35902,19381.988827384648,25795.234671552465,-24.86213413379209
drug,2009,36429,19385.34178035616,25801.89214230017,-24.868526410993635
drug,2010,37744,17998.08951571638,25785.156032954026,-30.199803744780894
drug,2011,40760,19387.807309437998,27748.520138194104,-30.130301677775268
drug,2012,40942,19309.60764969004,27562.68083651124,-29.942926218877332
drug,2013,43401,20119.19164080914,28578.508310615,-29.600273666711267
drug,2014,46480,21728.709324211333,30660.028882043203,-29.13017333477698
drug,2015,51772,24738.66123720626,34556.21968715452,-28.410394825675073
drug,2016,63037,30952.99340154307,42575.35198815812,-27.298326482063352
drug,2017,69625,34360.57511359549,47361.00146578649,-27.449644116124706
drug,2018,66773,32729.25094762754,45210.81409068227,-27.607472667976392
drug,2019,69997,34239.30260917411,47383.773384010456,-27.740447490979932
drug,2020,91035,45730.324061588464,63005.98927726596,-27.41908414397512
firearm,1999,27095,14154.42962859743,18138.972701949264,-21.966751584138187
firearm,2000,26880,15752.212170296105,17837.109717673804,-11.688539120841364
firearm,2001,27788,16189.07732880658,18308.975768219527,-11.578465481901171
firearm,2002,28410,16511.151052643032,18694.573930333096,-11.679447126352132
firearm,2003,28381,16548.542432813752,18631.417705128897,-11.179370809456794
firearm,2004,27864,16074.167007535172,18148.29071957128,-11.428755159841879
firearm,2005,28851,16779.39292985023,18822.490437829445,-10.854554633604687
firearm,2006,29129,16936.70183274375,18820.391935188374,-10.0087719157575
firearm,2007,29451,16952.122541524637,18959.74736344829,-10.588879606033506
firearm,2008,29742,16599.44755611479,18730.52379471096,-11.377558160962563
firearm,2009,29504,16106.510110431112,18327.41173303791,-12.117922895807967
firearm,2010,29801,12358.381564466132,17158.86777906795,-27.97670730033783
firearm,2011,30318,12489.265173672547,17259.137327036253,-27.636793560311684
firearm,2012,31479,12869.878352637916,17766.071259072844,-27.55923262400809
firearm,2013,31466,12838.645076758163,17684.345678104015,-27.401073749341982
firearm,2014,31317,12625.089505506587,17347.527435277018,-27.22254192933069
firearm,2015,33998,13926.359245561242,19072.593632537115,-26.98235219669649
firearm,2016,36336,15233.314799759371,20683.0839535427,-26.348919561629806
firearm,2017,37311,15537.976884910457,21049.57020553335,-26.18387580746921
firearm,2018,37295,15482.479683036392,20864.305088542354,-25.794414827941694
firearm,2019,37154,15533.050389041011,21046.346408069938,-26.19597678443099
firearm,2020,42307,18567.79436049457,24861.034216257034,-25.313668775883887
