cause,race_eth,deaths,children_naive,children_nhis,delta_pct
drug,Hispanic,77200,75751.46411272523,68037.71106045044,-10.182975527437993
drug,Non-Hispanic White,716657,497109.2908873175,349327.5248669011,-29.72822450303286
drug,Non-Hispanic Black,107538,63682.22074161061,47526.34422212901,-25.369524384260657
drug,Non-Hispanic Asian or Pacific Islander,9104,6203.032876037235,3558.6209298151375,-42.63095165008156
drug,Non-Hispanic American Indian or Alaska Native,9802,7445.7273799885015,4823.810059858954,-35.21371635464843
firearm,Hispanic,72202,67106.30366041444,64275.41029944228,-4.2185207745872155
firearm,Non-Hispanic White,422430,221026.3256523508,157600.49580775676,-28.6960522269893
firearm,Non-Hispanic Black,180800,119356.88408682,106842.78618463877,-10.484605054768775
firearm,Non-Hispanic Asian or Pacific Islander,9910,6020.496073569928,4289.0654234251015,-28.75893662227992
firearm,Non-Hispanic American Indian or Alaska Native,6535,4702.779316976274,3058.2319119380754,-34.96969120157622
